model infra upper mean lower type metric
blade-limited medium, medium 0.469810104905396 0.358792477730122 0.247774850554848 Unused CPU
drawer-limited medium, medium 0.187746567243542 0.0646664791688076 -0.0584136089059269 Unused CPU
blade-limited medium, medium 11.7629468040275 9.56620616937582 7.36946553472414 Unused RAM
drawer-limited medium, medium 16.6195849535236 14.0034590782187 11.3873332029138 Unused RAM
blade-limited medium, medium 4.96766972407046 4.69632818714628 4.4249866502221 Pending CPU
drawer-limited medium, medium 5.95685091913109 5.64929691244146 5.34174290575182 Pending CPU
blade-limited medium, medium 6.92173151497342 5.92777769402769 4.93382387308196 Pending RAM
drawer-limited medium, medium 6.8840594915252 5.61143895118206 4.33881841083892 Pending RAM
blade-limited medium, medium 0.903522492122446 0.772400737133268 0.64127898214409 Idleness CPU
drawer-limited medium, medium 0.00650319849484334 0.00396824565046981 0.00143329280609629 Idleness CPU
blade-limited medium, medium 5.26942745571247 4.83999367481307 4.41055989391367 Idleness RAM
drawer-limited medium, medium 0.247517865221602 0.232927513826568 0.218337162431534 Idleness RAM
