servers infra.cpu infra.freeCpu cpu.fragmentation cpu.remaing infra.mem infra.freeMem mem.fragmentation mem.remaing
3425 120.421875 403.1905703 0.0610227087671101 -120.421875 0.00133000000005268 684.2410644 0.116709882079374 -0.00133000000005268
3481 0 339.699731 0.0514443237799568 0 1081.12633 1302.19455188 0.213286921998156 -1081.12633
3523 0 451.353712 0.0683532672547609 0 630.50133 959.83178048 0.15890250455894 -630.50133
3201 0 363.997632 0.0551240119638057 0 898.93883 1141.31849184 0.187643023455624 -898.93883
3052 33.3125 466.265995 0.0706002938717238 -33.3125 571.75133 916.6561547 0.152181957544935 -571.75133
2415 301.609375 402.0289353 0.0607433072333179 -301.609375 0.00133000000005268 812.7662012 0.138632206718171 -0.00133000000005268
3521 0 431.778449 0.0653887781016923 0 864.25133 1182.12923748 0.194555962985629 -864.25133
3124 0 306.745579 0.0464537279370007 0 760.31383 1004.1112911 0.164145963973224 -760.31383
2929 57.90625 397.8125693 0.0602236231909065 -57.90625 0.00133000000005268 727.0386434 0.124009795760415 -0.00133000000005268
3467 0 365.229547 0.0553105738840722 0 847.12633 1178.2479821 0.194186298670377 -847.12633
3125 0 313.291529 0.0474450503918525 0 784.00133 1010.72798864 0.16586190744611 -784.00133
3187 0 419.550781 0.0635370129860296 0 693.25133 1041.76522148 0.172392083480036 -693.25133
3193 0 378.240887 0.0572810187407716 0 620.00133 1007.86500664 0.166709784833393 -620.00133
3124 0 359.757363 0.0544818631734373 0 656.87633 902.2673861 0.14838474033915 -656.87633
3123 0 463.417716 0.0701802469995835 0 192.06383 701.08784164 0.118270587961479 -192.06383
2883 15.359375 445.088233 0.0674000976360674 -15.359375 398.18883 822.3251581 0.137169965263499 -398.18883
3121 0 402.409184 0.0609410796198841 0 616.12633 1002.35795984 0.165811464398233 -616.12633
1438 122.96875 436.28054 0.0660142580439805 -122.96875 674.31383 862.152701 0.140396361081456 -674.31383
3119 0 523.332328 0.0792537505016469 0 198.43883 779.89026464 0.131645706519445 -198.43883
3124 0 460.660975 0.0697627645477606 0 505.18883 964.42338664 0.160794691445641 -505.18883
3123 0 398.4886 0.0603473441108545 0 738.62633 1015.98872064 0.167621457828573 -738.62633
3414 0 475.51325 0.0720120016658464 0 782.93883 1038.01405778 0.170744354139265 -782.93883
3123 0 381.323862 0.0577479062582819 0 905.68883 1081.72148564 0.177520621234714 -905.68883
3120 0 395.34493 0.0598712649074319 0 651.87633 834.09038464 0.136704944737231 -651.87633
3413 0 305.266025 0.0462296634233143 0 1090.93883 1074.17079178 0.173840067099481 -1090.93883
2922 0 510.139877 0.0772558780903343 0 0.00133000000005268 490.10433648 0.0835962941564984 -0.00133000000005268
3124 0 403.992293 0.0611808265626775 0 805.50133 1021.68016864 0.168117637777087 -805.50133
2230 191.71875 522.0296523 0.0789921209051727 -191.71875 0.00133000000005268 540.387818 0.0921730677058423 -0.00133000000005268
