servers infra.cpu infra.freeCpu cpu.fragmentation cpu.remaing infra.mem infra.freeMem mem.fragmentation mem.remaing
3426 51.375 401.452729 0.0607786758421688 -51.375 39.1575800000001 801.7302006 0.136641824689463 -39.1575800000001
3479 0 339.515499 0.0514164235792981 0 1217.12633 1435.34878588 0.240548014655752 -1217.12633
3521 0 451.215552 0.0683323442244349 0 781.62633 1095.78070954 0.184326688074515 -781.62633
3362 0 364.229042 0.0551590568280771 0 1038.47008 1270.98632984 0.213195156780351 -1038.47008
3518 12.3125 467.553167 0.0708027236813768 -12.3125 660.00133 1043.4604171 0.175829108545129 -660.00133
2834 36.6875 403.6463072 0.0611134344301647 -36.6875 0.00133000000005268 930.2378866 0.158669166404325 -0.00133000000005268
3520 0 431.825479 0.0653959003520993 0 1046.40758 1326.21720598 0.222656521905551 -1046.40758
2777 0 301.776028 0.0457011362586605 0 961.37633 1200.6906851 0.201999618472164 -961.37633
2456 0 395.2757042 0.0598607813122326 0 0.00133000000005268 830.8560987 0.141717775002239 -0.00133000000005268
3320 0 365.054644 0.0552840864725703 0 986.93883 1314.6396879 0.220812825879823 -986.93883
2776 0 308.481094 0.0467165553326014 0 921.50133 1158.3143241 0.194369983537057 -921.50133
2950 0 419.457207 0.0635228420853368 0 829.00133 1166.83377558 0.196029310301864 -829.00133
2846 0 373.760371 0.0566024868057396 0 767.75133 1166.76963064 0.196472177817152 -767.75133
2785 0 353.899305 0.0535947154810131 0 822.25133 1054.2830021 0.176929050586664 -822.25133
2861 0 459.856106 0.0696408747207814 0 314.06383 828.2461071 0.140306289041627 -314.06383
2554 2.8125 439.688826 0.0665855918636874 -2.8125 521.59508 966.5718807 0.163124522698207 -521.59508
2770 0 397.846847 0.0602501566652785 0 776.84508 1155.40296764 0.194352116420328 -776.84508
2568 139 435.20217 0.065839937308949 -139 879.40758 1064.335202 0.178585032200246 -879.40758
2707 0 519.210506 0.0786295393934805 0 327.18883 904.39503264 0.153189968024092 -327.18883
2881 0 455.277332 0.0689474625373869 0 603.75133 1086.9244921 0.183282374955279 -603.75133
3021 0 395.377206 0.0598761528035437 0 867.72008 1146.06848564 0.192499324314482 -867.72008
3412 0 475.497504 0.0720096170824973 0 913.87633 1166.52523878 0.195462356898566 -913.87633
3122 0 380.792679 0.0576674635974709 0 1036.90758 1210.82221724 0.203042792079986 -1036.90758
2860 0 390.027256 0.0590659532805815 0 837.97008 1007.0863851 0.169280074170851 -837.97008
3412 0 304.484209 0.0461112647559914 0 1223.31383 1199.79206678 0.199478692388858 -1223.31383
3054 9.1875 509.750146 0.0771950791844508 -9.1875 139.31383 604.6253983 0.102658691997785 -139.31383
3122 0 403.011585 0.0610323075758149 0 941.62633 1147.07394264 0.192360433642182 -941.62633
2423 104.0625 514.4624292 0.0778576806798157 -104.0625 0.00133000000005268 641.5461624 0.109427486604823 -0.00133000000005268
