tasks prod nonprod.tasks total.cpu total.mem nTasks cpu.request mem.request pendingFraction cpuOnQueue memOnQueue
5860 238 5622 337.5561353 706.057192 0 0 0 0.0447878690604483 0.0412418398844205 0.0999347189991555
3397 238 3159 267.82835 158.350095 0 0 0 0.0305945079390812 0.0362331388447876 0.0326351831888259
12341 238 12103 411.122483 333.743293 0 0 0 0.0883348722683903 0.0513231833964268 0.059064442779345
6131 238 5893 306.951194 219.260034 0 0 0 0.0512689718610194 0.0419126408182129 0.043481385000273
8692 238 8454 412.74485 299.378209 0 0 0 0.0699810796666801 0.0558471802206542 0.054727632637557
5182 238 4944 315.7138143 893.291444000001 0 0 0 0.0371235349743531 0.0387687546797996 0.126200180735791
6797 238 6559 406.59967 346.852662999999 0 0 0 0.0507651746569971 0.0516921930631248 0.060529797312588
7044 238 6806 249.19013 203.0848 0 0 0 0.0574738903394256 0.0360636959629164 0.039759813874449
7949 238 7711 369.329665300001 753.170207000002 0 0 0 0.0539043162784389 0.0461307937147764 0.106742903089598
4759 238 4521 259.92011 171.913585 0 0 0 0.0451500891806763 0.0384940978372028 0.0354737023509629
7064 238 6826 260.82795 218.901926 0 0 0 0.0570726820282455 0.0371246515585622 0.0420227161114581
3544 238 3306 398.061088 324.708015000001 0 0 0 0.0274237605528085 0.0501024964904621 0.0466375374016033
7292 238 7054 318.311538 399.388787 0 0 0 0.0542127918993064 0.0434998937354564 0.0702530453029271
7202 238 6964 296.235255 206.861908 0 0 0 0.0561283735864644 0.0424778225707578 0.0389838261126139
9046 238 8808 386.5416 466.501289 0 0 0 0.0769446689065623 0.0554939116524628 0.0824141907375864
7985 238 7747 373.954828 416.207569 0 0 0 0.0654449189007549 0.0512054260471432 0.0733708701150904
8482 238 8244 346.825163 280.463949 0 0 0 0.0677952554511158 0.047559752697263 0.0525787388647584
5503 238 5265 315.37035 179.257109 0 0 0 0.0462083616730064 0.0485941641126077 0.0366284469426245
11145 238 10907 466.27934 553.669483 0 0 0 0.0861269532155608 0.0637197033144307 0.0922555202219146
8268 238 8030 391.955392 388.268643 0 0 0 0.067492775628153 0.054721485320092 0.071971225622915
6513 238 6275 324.004323 194.721895 0 0 0 0.0542424545272836 0.0463202866779431 0.0376292441142723
7057 238 6819 462.85238 424.5538808 0 0 0 0.0436382299834278 0.053790562660093 0.0653087748942939
6240 238 6002 313.63911 193.970883 0 0 0 0.0523766755919655 0.0437163579967633 0.0386105770894821
3014 238 2776 319.42027 107.491681 0 0 0 0.0251552380316485 0.0469564144382286 0.0213647990579949
4420 238 4182 276.54369 206.918319 0 0 0 0.0309402475219802 0.0333569763877934 0.0342396451827379
8694 238 8456 446.2380913 492.697181 0 0 0 0.0532221630456741 0.0548571122913895 0.0684703824385098
7833 238 7595 354.904085 241.881257 0 0 0 0.0692321969931325 0.0511223392485767 0.0477076493797882
5360 238 5122 390.9143673 599.840898 0 0 0 0.0387386801384763 0.0510344116081165 0.092346319524921
