tasks prod nonprod.tasks total.cpu total.mem nTasks cpu.request mem.request pendingFraction cpuOnQueue memOnQueue
1303 238 1065 302.8439953 689.300888 0 0 0 0.00995880433204166 0.0370007896701998 0.0975630463490107
-633 238 -871 272.7886 179.244863 0 0 0 -0.00570100780848939 0.0369041859051711 0.0369414930863224
8874 238 8636 415.909574 323.810448 0 0 0 0.0635186497455389 0.0519207881480219 0.0573065708836584
2888 238 2650 301.874004 202.834616 0 0 0 0.0241501860601246 0.0412193760745162 0.0402240657760663
7379 238 7141 408.60158 281.449841 0 0 0 0.059409846624532 0.0552865676620896 0.0514502493538092
-1059 238 -1297 256.3870043 881.590027000001 0 0 0 -0.00758661202968736 0.031483591856232 0.124547057390456
7475 238 7237 412.04261 348.570335599999 0 0 0 0.0558289952274612 0.052384169781431 0.0608295510276903
3029 238 2791 248.9577 187.40576 0 0 0 0.0247144255874674 0.0360300578535231 0.0366901813262227
280 238 42 371.651249300001 757.127649600002 0 0 0 0.00189875563693082 0.046420769101694 0.107303770882839
4502 238 4264 303.98597 199.651735 0 0 0 0.042711851542636 0.0450202397587359 0.0411973621586876
930 238 692 247.19742 185.101088 0 0 0 0.00751381572568915 0.0351845654718966 0.0355339517339195
-1679 238 -1917 370.074697 326.375188000001 0 0 0 -0.0129922387043356 0.0465799515868563 0.0468769920487035
3446 238 3208 313.791208 375.759819 0 0 0 0.0256194844877962 0.0428821534050723 0.0660966768384179
4310 238 4072 260.941165 177.150413 0 0 0 0.0335897375947878 0.0374169256399845 0.0333845944037688
6450 238 6212 379.54878 452.335729 0 0 0 0.0548632671288223 0.0544899862398253 0.079911639959544
5036 238 4798 377.830807 447.451661 0 0 0 0.0412749670111711 0.0517361616900181 0.078878713765084
3921 238 3683 339.301396 306.233467 0 0 0 0.0313399194321888 0.0465280268133142 0.0574097653208278
5910 238 5672 340.19731 193.104869 0 0 0 0.0496259163160944 0.052419651729491 0.0394580247778567
10466 238 10228 465.5552 589.648045 0 0 0 0.0808797391075872 0.0636207454966597 0.0982504703791122
6763 238 6525 396.774292 416.149184 0 0 0 0.0552072619222543 0.0553942592402656 0.0771392883624032
6296 238 6058 330.58967 191.299339 0 0 0 0.0524352055433407 0.0472617406625361 0.03696784856233
5655 238 5417 466.366 410.3571673 0 0 0 0.0349687105790398 0.0541988993240932 0.0631249061131084
2511 238 2273 339.8572 185.99406 0 0 0 0.0210765757069592 0.0473707472992689 0.0370227628020633
725 238 487 310.97561 103.984349 0 0 0 0.00605094478199906 0.0457150061996408 0.0206676898239354
-3774 238 -4012 288.53217 130.6353096 0 0 0 -0.0264182113456908 0.034803038831979 0.021616774535275
7505 238 7267 450.0830923 521.707919 0 0 0 0.045943447625694 0.055329787429908 0.0725020197246249
3292 238 3054 370.776385 217.044522 0 0 0 0.0290964371889943 0.0534086727667023 0.042808955451144
1513 238 1275 308.4799273 563.362263 0 0 0 0.0109350043002826 0.0402724813912718 0.0867303842081148
