tasks prod nonprod.tasks total.cpu total.mem nTasks cpu.request mem.request pendingFraction cpuOnQueue memOnQueue
4367 238 4129 303.4772453 662.218021 0 0 0 0.0333768983254228 0.0370781587130808 0.0937297609806258
3779 238 3541 301.30618 179.293053 0 0 0 0.034034926553367 0.0407621846407692 0.0369514248105684
10110 238 9872 429.9765 330.782393 0 0 0 0.0723657368635788 0.0536768570879975 0.0585404355189942
5600 238 5362 317.386544 220.108844 0 0 0 0.0468286156290505 0.0433375353451335 0.0436497122313181
9009 238 8771 441.70216 316.014602 0 0 0 0.0725333118634515 0.0597653008471752 0.0577688372982409
3451 238 3213 300.0739923 871.537744000001 0 0 0 0.0247227555377253 0.0368482292073932 0.123126916248471
6313 238 6075 404.72798 347.3057934 0 0 0 0.0471502938957809 0.0514542396952966 0.0606088738029656
5932 238 5694 271.87336 203.318437 0 0 0 0.0484007832898172 0.0393464949653363 0.0398055551787425
5160 238 4922 367.708616300001 759.374193000002 0 0 0 0.0349913538805818 0.0459283180296461 0.107622161815199
5434 238 5196 324.45569 226.254093 0 0 0 0.0515540207202763 0.0480517997422252 0.0466866556867457
5414 238 5176 277.67248 211.362347 0 0 0 0.0437417186439582 0.0395221987037886 0.040575339225807
4987 238 4749 397.96054 324.382782000001 0 0 0 0.0385898120420023 0.0500898408806349 0.0465908244610504
5079 238 4841 327.351485 367.941262 0 0 0 0.0377601165738586 0.0447352769589014 0.0647213817450067
7640 238 7402 332.913255 228.868822 0 0 0 0.0595419014441249 0.0477371613900022 0.0431311034772374
9487 238 9249 384.91683 468.390009 0 0 0 0.0806957853102539 0.0552606512664253 0.0827478604058173
6274 238 6036 411.785147 482.4872 0 0 0 0.0514215931350452 0.0563855105302196 0.0850549300880053
6605 238 6367 368.747683 311.558 0 0 0 0.0527926977428224 0.0505659637249813 0.058407958604428
5909 238 5671 340.13481 193.087409 0 0 0 0.0496175193759394 0.0524100213528337 0.0394544570940578
10475 238 10237 464.36809 513.821918 0 0 0 0.0809492898100493 0.0634585202155619 0.0856158950456584
8620 238 8382 435.671422 408.211303 0 0 0 0.0703661981028881 0.0608247464123586 0.0756678869636071
7516 238 7278 359.837473 227.566257 0 0 0 0.0625957758678126 0.0514430633285921 0.0439762885258703
6189 238 5951 458.632106 406.96619214 0 0 0 0.0382707957159465 0.0533001019368711 0.0626032751884793
5855 238 5617 351.82393 200.613179 0 0 0 0.0491451018575254 0.0490387212095717 0.0399327491484667
3395 238 3157 337.2797 113.589151 0 0 0 0.0283351138412232 0.0495818420502913 0.0225767181581544
969 238 731 280.01352 208.83771528 0 0 0 0.00678305426443412 0.0337755107516751 0.034557255764101
10349 238 10111 469.9354283 493.545603 0 0 0 0.0633535961996413 0.0577702824177423 0.0685882880832941
7251 238 7013 384.701425 246.941871 0 0 0 0.0640881731644585 0.0554145122287361 0.0487057837592471
4487 238 4249 356.7756973 547.151891 0 0 0 0.032429189884579 0.0465775609976691 0.0842347754603268
