tasks prod nonprod.tasks total.cpu total.mem nTasks cpu.request mem.request pendingFraction cpuOnQueue memOnQueue
3331 238 3093 201.880546 628.313657 0 0 0 0.0254587699386269 0.0246653053617639 0.0889309668778599
3706 238 3468 281.63687 165.574653 0 0 0 0.0333774643574433 0.0381012234683945 0.0341241293987306
11515 238 11277 417.19864 331.507296 0 0 0 0.0824224985147488 0.0520817109227759 0.0586687257128711
6379 238 6141 325.758154 225.938025 0 0 0 0.053342810553163 0.0444806365607625 0.0448056951921585
10170 238 9932 412.71553 308.128574 0 0 0 0.0818807616440562 0.0558432130256084 0.0563272372405912
3247 238 3009 260.094432 754.518784000001 0 0 0 0.0232613118606184 0.0319388533889371 0.10659500608555
6577 238 6339 405.87971 341.869541599999 0 0 0 0.0491220470382625 0.0516006624641999 0.0596601850521048
8831 238 8593 255.56086 221.409567 0 0 0 0.0720545039164491 0.0369856910266126 0.0433474251836787
4392 238 4154 315.256976000001 695.165966000002 0 0 0 0.0297833384192859 0.0393768924984327 0.0985222631621235
5125 238 4887 281.02842 191.167385 0 0 0 0.0486224431710372 0.0416202328265963 0.0394466494006389
7839 238 7601 262.69685 235.039121 0 0 0 0.0633341951329864 0.0373906593284266 0.045120581793646
2637 238 2399 398.414076 321.9136 0 0 0 0.0204053207047844 0.0501469258018526 0.0462361779400017
7830 238 7592 332.505418 407.973808 0 0 0 0.0582125837317017 0.0454396043584934 0.0717631624841578
8583 238 8345 297.480165 209.133879 0 0 0 0.0668911178134717 0.0426563329445368 0.0394119867307442
8693 238 8455 382.308294 460.96375 0 0 0 0.0739420745970314 0.0548861563444653 0.0814359044903156
7735 238 7497 404.937594 457.693835 0 0 0 0.0633959233183893 0.055447878916742 0.0806842484891538
7742 238 7504 359.163766 275.275781 0 0 0 0.0618805550226997 0.0492517317400572 0.0516061100066427
5789 238 5551 333.11452 189.906749 0 0 0 0.0486098865573385 0.0513282927617404 0.0388045378986493
10776 238 10538 467.459678 488.231283 0 0 0 0.0832753744146149 0.0638810031635099 0.0813518396530043
9002 238 8764 392.579132 392.837552 0 0 0 0.0734845145385381 0.0548085666052337 0.0728181391875769
6861 238 6623 337.934463 204.994111 0 0 0 0.0571407155706576 0.0483117665208335 0.0396143096532993
6928 238 6690 464.54812 417.8087124 0 0 0 0.0428405352593436 0.053987633719175 0.0642711711775887
6833 238 6595 321.75951 190.385378 0 0 0 0.0573541385128046 0.0448482140126693 0.0378968698821627
3210 238 2972 326.22383 107.376921 0 0 0 0.0267910796554717 0.0479565725778963 0.0213419896245849
4992 238 4754 278.86729 251.958716 0 0 0 0.0349442795542364 0.0336372513430262 0.0416926692534082
6516 238 6278 350.208766 367.954476 0 0 0 0.0398890745808158 0.0430519984206712 0.0511348241135593
8181 238 7943 361.886105 241.856085 0 0 0 0.0723080050556385 0.0521280678670015 0.0477026845595905
2819 238 2581 293.514372 497.762038 0 0 0 0.0203739439011875 0.0383187074371462 0.0766311406270999
