tasks prod nonprod.tasks total.cpu total.mem nTasks cpu.request mem.request pendingFraction cpuOnQueue memOnQueue
5894 238 5656 336.4575353 703.848985 0 0 0 0.0450477304167718 0.0411076154382946 0.099622171306791
3223 238 2985 259.31839 150.830076 0 0 0 0.0290274062666054 0.0350818695253015 0.0310853439061374
12398 238 12160 409.894148 331.3513258 0 0 0 0.0887428690044164 0.0511698420806777 0.0586411227822762
6154 238 5916 308.490164 222.665371 0 0 0 0.0514613036752101 0.0421227794268935 0.0441566962571921
8673 238 8435 414.41627 299.839383 0 0 0 0.0698281067589872 0.0560733346934826 0.0548119372412163
5148 238 4910 315.9580213 889.642778000001 0 0 0 0.0368799610281686 0.0387987426019153 0.125684713682191
6808 238 6570 406.36755 346.756558999999 0 0 0 0.0508473310379338 0.0516626829755887 0.0605130260541792
7189 238 6951 246.75327 203.106129 0 0 0 0.0586569843342037 0.035711024779093 0.0397639896525975
7845 238 7607 367.992459300001 752.973726000002 0 0 0 0.0531990641847218 0.0459637711873819 0.106715056857569
4764 238 4526 259.58867 170.018728 0 0 0 0.0451975257105992 0.0384450116630428 0.0350827059488134
7079 238 6841 260.01508 217.993114 0 0 0 0.0571938726044663 0.037008952625559 0.0418482510011114
3452 238 3214 398.334735 324.905873000001 0 0 0 0.02671185706216 0.050136939439724 0.0466659555787007
7231 238 6993 313.461658 387.939501 0 0 0 0.05375928390344 0.0428371176829286 0.0682390999088012
7163 238 6925 295.647995 205.567956 0 0 0 0.0558244293251658 0.0423936140720668 0.0387399764824245
9143 238 8905 393.76937 468.179696 0 0 0 0.0777697443967167 0.0565315677024826 0.0827107055766554
7860 238 7622 376.780311 418.335819 0 0 0 0.0644204211095721 0.0515923178585893 0.0737460472285139
8374 238 8136 346.304143 279.723415 0 0 0 0.0669320289021037 0.0474883057983817 0.0524399105271225
5640 238 5402 324.02007 184.897229 0 0 0 0.0473587424742424 0.0499269650978877 0.0377809191504076
11037 238 10799 463.68523 545.382247 0 0 0 0.0852923447860157 0.0633652035427595 0.0908746543951777
8326 238 8088 395.540692 389.872819 0 0 0 0.0679662372859219 0.0552220344777832 0.0722685829164188
6479 238 6241 323.009313 193.816181 0 0 0 0.0539592910920115 0.0461780381177366 0.0374542184285182
6960 238 6722 462.975078 420.7360047 0 0 0 0.0430384130203567 0.0538048220541081 0.0647214741485809
6270 238 6032 314.44453 194.183646 0 0 0 0.0526284865323115 0.0438286208744948 0.0386529283026448
3130 238 2892 327.34341 108.674863 0 0 0 0.0261233891967684 0.04812115656775 0.021599965588501
4400 238 4162 276.28332 210.6632218 0 0 0 0.0308002464019712 0.0333255702980645 0.0348593300116864
8767 238 8529 449.0293923 495.691711 0 0 0 0.0536690480125862 0.0552002535771322 0.0688865338236414
7882 238 7644 354.937185 240.869032 0 0 0 0.0696652849099796 0.0511271071548947 0.047508002346395
5439 238 5201 391.9656973 602.613868 0 0 0 0.039309642028577 0.0511716641944733 0.0927732220160763
