tasks prod nonprod.tasks total.cpu total.mem nTasks cpu.request mem.request pendingFraction cpuOnQueue memOnQueue
6480 238 6242 356.8041432 746.291198 0 0 0 0.0495265173228166 0.0435935176555869 0.105629405108691
3144 238 2906 260.17227 152.732818 0 0 0 0.0283159060819756 0.0351973866189803 0.0314774897632717
11700 238 11462 423.789608 329.2691404 0 0 0 0.0837466984474651 0.0529045057671629 0.0582726266267167
5775 238 5537 298.873484 209.554538 0 0 0 0.0482920098674583 0.0408096701685412 0.0415566912907271
8750 238 8512 421.33983 296.906015 0 0 0 0.0704480495954269 0.0570101393637008 0.0542757048720302
4566 238 4328 332.5912042 899.673316000001 0 0 0 0.0327105481846577 0.0408412499556847 0.127101782788785
6834 238 6596 402.14268 340.683979599999 0 0 0 0.0510415188474207 0.0511255630224255 0.0594532907848364
7085 238 6847 251.74816 204.366079 0 0 0 0.0578084203655352 0.0364339033069392 0.0400106618678057
8402 238 8164 371.685621200001 799.208831000002 0 0 0 0.0569762316481877 0.0464250622933259 0.11326771824338
5035 238 4797 276.57011 184.881715 0 0 0 0.0477685856324238 0.0409599583240633 0.0381496257439199
6839 238 6601 263.4753 216.467211 0 0 0 0.0552548233849336 0.0375014591296203 0.041555322611881
3414 238 3176 397.244309 321.370850000001 0 0 0 0.0264178099681965 0.0499996914984279 0.0461582232168185
7201 238 6963 315.280588 395.349759 0 0 0 0.0535362471841614 0.0430856894507299 0.0695425746380013
7545 238 7307 305.648595 217.081463 0 0 0 0.058801524397372 0.0438276220276733 0.0409097358120849
8673 238 8435 374.55464 459.929462 0 0 0 0.0737719559392676 0.0537730016670393 0.0812531825761011
7465 238 7227 375.476475 431.196528 0 0 0 0.0611830080894346 0.0514137843222457 0.0760131886260001
8314 238 8076 342.881813 275.32099 0 0 0 0.066452458597097 0.0470190054539646 0.0516145853640418
5844 238 5606 338.10356 192.643069 0 0 0 0.0490717182658639 0.0520970341114721 0.0393636630150654
10514 238 10276 459.78626 512.282435 0 0 0 0.081250676187385 0.0628323872879542 0.0853593777381336
7711 238 7473 404.519306 381.336297 0 0 0 0.0629459110871659 0.0564755523632975 0.070686214723742
6529 238 6291 329.534463 197.166367 0 0 0 0.0543757079085882 0.0471108862224101 0.0381016287611991
7431 238 7193 461.061058 427.17384714 0 0 0 0.0459509263152688 0.0535823835030896 0.065711802165196
6243 238 6005 312.06887 193.618027 0 0 0 0.0524018566860001 0.0434974912426112 0.0385403398787278
2881 238 2643 321.37612 108.338623 0 0 0 0.0240452026440542 0.0472439343979951 0.0215331353001621
4810 238 4572 276.56422 237.9928488 0 0 0 0.0336702693621549 0.0333594527369201 0.0393816784242336
9565 238 9327 457.3845602 569.293943 0 0 0 0.0585541740892423 0.0562273742838573 0.0791150741273212
7684 238 7446 340.320185 233.60363 0 0 0 0.0679152561847606 0.0490215939630799 0.0460750047858639
5783 238 5545 452.1936902 654.681231 0 0 0 0.0417958558285091 0.0590345120125747 0.100789063144032
