tasks prod nonprod.tasks total.cpu total.mem nTasks cpu.request mem.request pendingFraction cpuOnQueue memOnQueue
-527 238 -765 18.3581059999999 382.463956 0 0 0 -0.00402785102301301 0.00224295158362423 0.0541336146748936
3142 238 2904 293.17296 175.688288 0 0 0 0.0282978934190736 0.0396618825647746 0.0362085003044122
7044 238 6806 339.474836 190.255563 0 0 0 0.0504198071678585 0.0423789259574498 0.0336706056719634
5177 238 4939 321.545644 222.432449 0 0 0 0.043291382698499 0.0439054395195901 0.044110505572222
7657 238 7419 401.444322 273.38955 0 0 0 0.0616480818002496 0.0543181420659575 0.0499767932653609
-1115 238 -1353 44.674072 493.155015000001 0 0 0 -0.00798779264693239 0.00548584844713179 0.0696707132277893
5371 238 5133 395.181542 292.635122999999 0 0 0 0.0401147201828353 0.0502405733975321 0.0510682101400912
3835 238 3597 234.85702 163.90203 0 0 0 0.0312907963446475 0.0339893564967303 0.0320886359119164
24 238 -214 191.558533000001 427.965356000002 0 0 0 0.000162750483165497 0.0239264483749234 0.0606533079729394
5343 238 5105 305.26189 186.486628 0 0 0 0.0506906758756783 0.0452092031648857 0.0384807933247786
3458 238 3220 237.73969 165.732074 0 0 0 0.0279384675047668 0.0338384101584612 0.0318156720844255
175 238 -63 380.998266 313.586479000001 0 0 0 0.0013541642485162 0.0479548613531829 0.0450401605978207
3826 238 3588 307.491735 332.205427 0 0 0 0.0284446162653245 0.0420212785281793 0.0584353984702861
5052 238 4814 238.907584 145.222873 0 0 0 0.0393724720020575 0.0342574821621432 0.0273677415206197
3617 238 3379 282.008472 335.982629 0 0 0 0.0307659592565815 0.0404865950531949 0.0593561842675246
4869 238 4631 346.496094 317.822687 0 0 0 0.039906237962151 0.0474455169139866 0.0560271576596581
6758 238 6520 334.735559 260.169128 0 0 0 0.0540156020205896 0.0459019186131546 0.0487740570242913
5681 238 5443 327.0249 186.494789 0 0 0 0.0477030170205977 0.0503899674129452 0.0381073560879667
5769 238 5531 353.745717 372.222986 0 0 0 0.0445820002782028 0.04834134863447 0.0620218853781118
7086 238 6848 346.576424 312.886866 0 0 0 0.057843953568105 0.0483860589375589 0.0579981196867674
5388 238 5150 306.434365 187.745742 0 0 0 0.0448730761543074 0.0438084513914755 0.0362811298500006
5356 238 5118 448.034332 336.528626 0 0 0 0.0331197902495733 0.0520684776630486 0.0517679222234542
6154 238 5916 328.22874 186.919079 0 0 0 0.0516548175629737 0.0457499229055539 0.037206891042634
2593 238 2355 325.77451 103.06528 0 0 0 0.0216415169927222 0.0478905202383394 0.0204850177852924
1986 238 1748 280.657682 166.867924 0 0 0 0.0139021112168897 0.0338532102161753 0.0276123377463745
2880 238 2642 172.099291 220.251269 0 0 0 0.0176305302014655 0.0211565760873348 0.0306084329331633
6196 238 5958 358.966789 207.556478 0 0 0 0.0547635251588725 0.0517075535104936 0.0409375732611135
-471 238 -709 121.888582 427.08247 0 0 0 -0.00340408924351163 0.0159127230525754 0.0657499253045472
