tasks prod nonprod.tasks total.cpu total.mem nTasks cpu.request mem.request pendingFraction cpuOnQueue memOnQueue
-2784 238 -3022 312.4033853 723.7686402 0 0 0 -0.0212780592942471 0.0381687341705192 0.102441581926111
-4054 238 -4292 341.633082 222.29328614 0 0 0 -0.0365116677023948 0.0462178066439893 0.0458135633882947
8287 238 8049 452.954179 316.66760648 0 0 0 0.0593169991482174 0.0565453152290748 0.0560424617222498
504 238 266 366.743586 252.97975284 0 0 0 0.00421457540661455 0.0500769910424306 0.0501683313180091
8126 238 7888 468.014292 392.1118757 0 0 0 0.0654240972585645 0.0633255109328823 0.0716797483618221
-3483 238 -3721 213.6029323 851.668977400001 0 0 0 -0.0249520016047225 0.0262298300110352 0.120319946638766
2807 238 2569 433.078459 299.766967739999 0 0 0 0.0209648146626734 0.0550585181589266 0.0523127994502706
2412 238 2174 311.096489 246.5980021 0 0 0 0.0196801566579634 0.0450230079113758 0.0482788010983933
-4892 238 -5130 360.781558300001 761.087017200002 0 0 0 -0.0331739734852338 0.0450631000044742 0.107864911496335
311 238 73 367.236113 340.4428051 0 0 0 0.00295055216120831 0.0543875687924881 0.0702490541142766
-1721 238 -1959 316.553634 235.3515041 0 0 0 -0.013904598778399 0.0450563038272802 0.0451805501391476
-5420 238 -5658 423.463683 341.775456540001 0 0 0 -0.0419404012969025 0.0532998284206711 0.0490889195862144
740 238 502 381.591339 387.92903164 0 0 0 0.00550157240887089 0.0521475998047879 0.0682372583337588
1670 238 1432 363.558875 236.6849871 0 0 0 0.0130150491376556 0.0521315040178939 0.0446040862224506
5243 238 5005 465.93452 504.8036481 0 0 0 0.0445966061327776 0.0668919699424659 0.0891808557029364
3105 238 2867 429.173378 431.6777983 0 0 0 0.0254485251329798 0.0587664713038058 0.0760980290356937
2033 238 1795 405.761397 388.6829871 0 0 0 0.0162494405013108 0.055641613568321 0.072866624579636
4204 238 3966 308.48943 187.309377 0 0 0 0.0353007364116516 0.04753391049103 0.0382738046796267
7534 238 7296 525.393066 571.09958264 0 0 0 0.0582216658166025 0.0717979275877398 0.0951598213603756
4158 238 3920 462.979358 466.1518291 0 0 0 0.0339423029828085 0.0646372486752335 0.0864080040238805
2513 238 2275 401.61553 265.4024701 0 0 0 0.020929109201146 0.0574157354187958 0.0512879886256435
1433 238 1195 476.087662 262.553428780001 0 0 0 0.00886121348536945 0.0553287059137693 0.0403883783740414
-1412 238 -1650 382.14545 174.32578644 0 0 0 -0.0118519015922845 0.0532650641019681 0.0347001524761127
-2422 238 -2660 397.982604 183.6506891 0 0 0 -0.0202143286372438 0.0585054796072566 0.0365019881816137
-12203 238 -12441 306.132727 -11.4761682200001 0 0 0 -0.085421683373467 0.036926035615095 -0.00189900985958724
3877 238 3639 512.514785 445.91089668 0 0 0 0.0237338769413479 0.0630046642361621 0.0619684682733722
-615 238 -853 404.862028 210.83531564 0 0 0 -0.00543569528287713 0.0583185565313591 0.041584277509481
-696 238 -934 287.637849 565.8469688 0 0 0 -0.00503024652544393 0.0375515192274164 0.087112908034845
