tasks prod nonprod.tasks total.cpu total.mem nTasks cpu.request mem.request pendingFraction cpuOnQueue memOnQueue
-3305 238 -3543 363.4052121 762.1669334 0 0 0 -0.0252600524308501 0.0444000212209802 0.107876442847391
-4036 238 -4274 350.03458 214.39397594 0 0 0 -0.0363495537362766 0.0473544026896962 0.044185554036975
7349 238 7111 462.238108 294.08416258 0 0 0 0.0526029475974719 0.0577042904989979 0.052045741614403
-753 238 -991 374.615032 229.88925884 0 0 0 -0.0062967763515491 0.0511517973809196 0.0455892630713058
7257 238 7019 478.510004 387.13947484 0 0 0 0.0584275995330301 0.0647456520190959 0.0707707719586907
-1333 238 -1571 382.2258823 969.753343800001 0 0 0 -0.00954953147835058 0.0469362466638149 0.137002372606065
1754 238 1516 442.635906 287.675724579999 0 0 0 0.0131002083784571 0.0562735840627296 0.0502027378137191
2630 238 2392 317.040525 256.4697919 0 0 0 0.0214588772845953 0.0458832502777032 0.050211493870357
-4624 237 -4861 411.265345000001 793.466983500002 0 0 0 -0.0313565930898857 0.0513687325301116 0.112453956008029
157 238 -81 375.922218 336.2296433 0 0 0 0.00148950703958105 0.0556739785885374 0.0693796844966885
-3146 238 -3384 323.72949 218.89624584 0 0 0 -0.0254177035193743 0.0460776711831729 0.0420216256882009
-6255 238 -6493 430.319642 322.721692580001 0 0 0 -0.0484016992826798 0.0541627629603472 0.0463522435933972
-347 238 -585 388.205707 398.41986084 0 0 0 -0.00257979138632192 0.0530515076773552 0.0700826098384641
2121 238 1883 370.131958 251.3017733 0 0 0 0.0165298917490823 0.0530740327976533 0.0473586690117869
4599 238 4361 475.369843 510.8520723 0 0 0 0.0391187853527836 0.0682465537207046 0.0902493971998939
2335 238 2097 432.315382 449.7031843 0 0 0 0.019137618739294 0.0591967041592613 0.0792756220289157
90 238 -148 413.399445 390.75315184 0 0 0 0.000719355457510062 0.0566890106799597 0.0732547195617525
4529 238 4291 314.44865 188.248741 0 0 0 0.038029741962029 0.0484521430219675 0.038465749337363
7754 238 7516 535.097294 584.35341044 0 0 0 0.0599217940990093 0.0731240651109154 0.0973682486191715
2499 238 2261 472.69645 460.48233844 0 0 0 0.0203996669442132 0.0659938665916723 0.0853570816823154
1521 238 1283 409.940889 289.68490344 0 0 0 0.0126673995602639 0.0586059448950341 0.0559804738330179
264 238 26 482.263816 265.13518778 0 0 0 0.00163249152835837 0.0560464699635844 0.0407855282412022
-1295 238 -1533 390.691282 175.37452644 0 0 0 -0.0108698389249352 0.0544562186460943 0.0349089078108854
-15463 238 -15701 400.0153683 154.72720264 0 0 0 -0.129056219536623 0.0588043063627598 0.0307532225978423
-16539 238 -16777 310.8691628 5.90460057999985 0 0 0 -0.11577392619141 0.0374973492369784 0.000977059110967265
-6785 238 -7023 511.899520899999 439.6232503 0 0 0 -0.0415358150753277 0.0629290283537024 0.0610946707992261
-819 238 -1057 412.441321 211.33176564 0 0 0 -0.00723875518158759 0.0594103196425399 0.0416821952350144
-6403 238 -6641 453.6916669 685.403228 0 0 0 -0.0462768225609447 0.0592300749436974 0.105518756235758
