tasks prod nonprod.tasks total.cpu total.mem nTasks cpu.request mem.request pendingFraction cpuOnQueue memOnQueue
-3518 238 -3756 308.3821733 736.6866354 0 0 0 -0.0268880073984057 0.0376774316459838 0.104269983697202
-2981 238 -3219 332.451332 228.35155414 0 0 0 -0.026847874055461 0.0449756542632271 0.0470621429106941
8095 238 7857 447.808442 341.94561124 0 0 0 0.0579426943531821 0.0559029382862385 0.0605160535427842
1268 238 1030 358.170674 255.08360984 0 0 0 0.0106033365388636 0.0489064030517478 0.0505855465055363
7096 238 6858 455.266126 375.9626425 0 0 0 0.0571313554204742 0.061600597529154 0.0687275986215321
-4517 238 -4755 124.0182653 830.066964600001 0 0 0 -0.0323595151445683 0.0152290887679095 0.11726811183398
2602 238 2364 432.563211 319.726839239999 0 0 0 0.0194337184724888 0.0549930131891577 0.0557960276481763
1723 238 1485 301.332184 231.9481811 0 0 0 0.0140584203655353 0.0436098824123474 0.0454106683959262
-2615 238 -2853 368.797652300001 757.189713000002 0 0 0 -0.0177330213949072 0.0460643431036763 0.107312566806297
603 238 365 358.578259 339.4568661 0 0 0 0.00572084550870934 0.0531053429618811 0.0700456094206987
-1892 238 -2130 308.16523 237.8777271 0 0 0 -0.0152861713473161 0.043862349821843 0.04566551047688
-4178 238 -4416 412.990245 367.268590940001 0 0 0 -0.0323297041731473 0.051981575000638 0.0527504769058392
2075 238 1837 372.579189 403.75703364 0 0 0 0.0154267064167664 0.0509160152703687 0.0710214259863194
1610 238 1372 353.928317 231.2292001 0 0 0 0.0125474425818117 0.0507505571958103 0.0435759247123313
6557 238 6319 458.657698 511.6304551 0 0 0 0.0557734019478586 0.0658472717335831 0.0903869097642934
3619 238 3381 439.576266 424.25844374 0 0 0 0.0296612600503233 0.0601909329560584 0.074790113129533
2121 238 1883 397.521642 377.18730664 0 0 0 0.0169528102819873 0.0545117050383392 0.0707115227095591
3001 238 2763 285.85769 183.012286 0 0 0 0.0251992174051776 0.0440466756012762 0.0373957598947968
9670 238 9432 517.37632 590.8888461 0 0 0 0.0747283658676064 0.0707023940033713 0.0984572196302217
4697 238 4459 454.3527 474.64823364 0 0 0 0.0383422311472466 0.0634328678994016 0.0879829358633592
3922 238 3684 393.044739 221.4556411 0 0 0 0.032663735092278 0.0561904385076285 0.0427954359186704
1273 238 1035 475.219418 255.34952778 0 0 0 0.00787182468030379 0.0552278026121891 0.0392802081981305
-1028 238 -1266 380.633454 177.43407364 0 0 0 -0.00862872155585587 0.0530543156451647 0.0353188678250131
-1670 238 -1908 389.70436 167.7059781 0 0 0 -0.0139380383254323 0.0572885353723627 0.0333328541297163
-12640 238 -12878 303.849409 -24.09773922 0 0 0 -0.0884807078456628 0.0366506195149778 -0.00398755433828432
5461 238 5223 505.554411 525.15380968 0 0 0 0.0334306685521539 0.0621490088684284 0.0729808969372406
-503 238 -741 403.079935 226.24617364 0 0 0 -0.00444578004436944 0.0580618540397028 0.0446238508076539
651 238 413 327.3072513 592.918399 0 0 0 0.00470501506905749 0.0427304145931948 0.0912805914181907
