tasks prod nonprod.tasks total.cpu total.mem nTasks cpu.request mem.request pendingFraction cpuOnQueue memOnQueue
-5746 238 -5984 414.180313 780.0746399 0 0 0 -0.0439165692186581 0.0506036074173088 0.110411084002914
-7372 238 -7610 351.6107641 186.77318398 0 0 0 -0.0663946754568462 0.0475676366409947 0.0384930433666464
4356 238 4118 463.0819569 284.98629258 0 0 0 0.031179540037364 0.0578096338301082 0.0504356399785061
302 238 64 376.8808027 206.40667784 0 0 0 0.00252540034285237 0.0514611769675829 0.0409324401809969
2951 238 2713 480.8551626 209.41207598 0 0 0 0.023759107926412 0.0650629678983376 0.0382814340508718
-4997 238 -5235 419.7473122 996.137924600001 0 0 0 -0.0357982061495258 0.0515437710898641 0.140729867017842
-1310 238 -1548 443.47595 280.976607579999 0 0 0 -0.00978407809337445 0.056380381288191 0.0490336644940101
-3999 238 -4237 318.1972975 136.67645464 0 0 0 -0.0326289164490862 0.04605066257344 0.0267584299637687
-7801 238 -8039 413.580673200001 781.396053980002 0 0 0 -0.0529006882989184 0.0516579265418882 0.110743205837644
-1174 238 -1412 377.4670729 288.96897164 0 0 0 -0.0111380972259117 0.0559027711804799 0.0596276279656504
-2937 238 -3175 325.8944681 192.49260864 0 0 0 -0.0237291148240313 0.0463858208948676 0.0369529057795167
-9497 238 -9735 432.0455257 310.52001858 0 0 0 -0.0734885592466204 0.0543799936433478 0.0445997274827703
1029 238 791 390.1969782 339.49019564 0 0 0 0.0076501594712543 0.0533236312897845 0.0597167994458405
60 238 -178 372.4278024 194.57284264 0 0 0 0.000467606555843908 0.0534032389587271 0.0366679101872866
5130 238 4892 477.3298229 452.22995164 0 0 0 0.0436354357164122 0.0685279385740069 0.0798929528610765
-505 238 -743 457.2002299 319.51854798 0 0 0 -0.00413897107637837 0.0626041725041756 0.056326111366809
1508 238 1270 415.2986207 340.19205664 0 0 0 0.0120532003325021 0.0569494425524322 0.0637760017774679
5947 238 5709 342.50981 193.750889 0 0 0 0.0499366031018297 0.0527759756658103 0.0395900290784162
8354 238 8116 537.1260641 543.24530764 0 0 0 0.0645585075964823 0.0734013079946881 0.090518585551955
4026 238 3788 474.8430708 450.80385064 0 0 0 0.0328647695547828 0.0662935595694768 0.0835630335620235
944 238 706 412.374892 200.16055964 0 0 0 0.0078619494969685 0.0589539146865821 0.0386802447703322
-12288 238 -12526 483.198352 251.67763878 0 0 0 -0.0759850602290435 0.0561550774147681 0.0387153645281446
-1882 238 -2120 394.5236097 107.77079224 0 0 0 -0.015796939657705 0.0549903848401449 0.0214521500207693
-15249 238 -15487 400.7854022 108.58589864 0 0 0 -0.127270147559591 0.0589175052869855 0.021582283237113
-27312 238 -27550 311.807459299999 -29.3657132200003 0 0 0 -0.191185529484236 0.0376105274989566 -0.00485926816944057
-11036 238 -11274 518.041751199999 429.43785258 0 0 0 -0.0675592122581159 0.0636841073661306 0.0596792008025006
-818 238 -1056 418.0702228 147.23269124 0 0 0 -0.00722991665267234 0.0602211376623339 0.0290395613866044
-12457 238 -12695 535.997277799999 723.41132908 0 0 0 -0.0900312944934701 0.0699751863432601 0.111370154929265
