tasks prod nonprod.tasks total.cpu total.mem nTasks cpu.request mem.request pendingFraction cpuOnQueue memOnQueue
-2971 238 -3209 379.2792 775.4219844 0 0 0 -0.0227072967540259 0.0463394689123018 0.10975255120237
-4126 238 -4364 349.659674 211.85510294 0 0 0 -0.0371601235668675 0.0473036835587613 0.0436623046796055
7375 238 7137 459.921431 302.97003458 0 0 0 0.0527890513717996 0.0574150841348174 0.0536183247622794
-762 238 -1000 375.106569 228.45524184 0 0 0 -0.00637203662666722 0.0512189142846247 0.0453048836331728
7309 238 7071 478.96571 386.22459784 0 0 0 0.0588462622277686 0.0648073121345635 0.0706035284825146
-1705 237 -1942 379.1216763 974.945680300001 0 0 0 -0.0122145170071926 0.0465550590329968 0.137735922456052
1743 238 1505 440.407566 289.076638579999 0 0 0 0.0130180519975204 0.0559902887479787 0.0504472134932164
3004 238 2766 317.4518911 265.1471159 0 0 0 0.0245104438642298 0.0459427846660028 0.0519103348824282
-4705 238 -4943 411.321388000001 792.272437680002 0 0 0 -0.0319058759705693 0.0513757325312354 0.112284659230866
119 238 -119 375.306611 336.0173721 0 0 0 0.00112898941216652 0.0555828073587035 0.0693358831568091
-3395 238 -3633 323.854624 217.5097497 0 0 0 -0.0274294670846395 0.0460954819896763 0.0417554593060886
-6274 238 -6512 429.71378 328.560455580001 0 0 0 -0.0485487228296616 0.0540865053213973 0.0471908601818777
-396 238 -634 388.296396 397.90987984 0 0 0 -0.00294408469447688 0.0530639010762491 0.0699929034684737
2026 238 1788 370.166521 250.4611285 0 0 0 0.0157895147023294 0.0530789888619864 0.0472002466563976
4478 238 4240 475.928828 511.63890344 0 0 0 0.0380895674733126 0.0683268044989004 0.0903884022855802
2648 238 2410 438.169638 451.9041371 0 0 0 0.0217029612084156 0.0599983241684808 0.0796636155063199
182 238 -56 413.408283 388.51204724 0 0 0 0.00145469659185371 0.0566902226251678 0.0728345783851338
4472 238 4234 313.42423 188.047757 0 0 0 0.0375511163731936 0.0482942942146835 0.0384246813327445
7293 238 7055 535.5728 585.01605544 0 0 0 0.0563592525617842 0.0731890456893906 0.0974786622523489
1831 238 1593 473.217007 456.90222264 0 0 0 0.0149466947478409 0.0660665423420643 0.084693455281772
1711 238 1473 410.88709 292.11759224 0 0 0 0.0142497834632554 0.058741215625897 0.0564505814226614
-6376 238 -6614 482.3609447 261.38400298 0 0 0 -0.039427143881867 0.0560577578118254 0.0402084865634098
-2205 238 -2443 392.32223 184.57184164 0 0 0 -0.0185081041154301 0.0546835471404332 0.0367396653042452
-15892 238 -16130 399.990598 169.61024524 0 0 0 -0.13263670962142 0.0588006650018888 0.0337113418826322
-19884 238 -20122 310.8649163 -9.86301342000024 0 0 0 -0.139189113512908 0.0374968370199025 -0.00163207434491769
-3904 238 -4142 516.9450651 442.29978718 0 0 0 -0.0238991631619866 0.063549289129613 0.0614666305157651
-1641 238 -1879 414.213341 201.69074264 0 0 0 -0.0145040259499209 0.0596655711637932 0.0397806401056458
-6442 238 -6680 492.9764911 681.1029636 0 0 0 -0.0465586898231464 0.064358763106332 0.104856724700983
