tasks prod nonprod.tasks total.cpu total.mem nTasks cpu.request mem.request pendingFraction cpuOnQueue memOnQueue
-3052 238 -3290 372.565356 769.1891972 0 0 0 -0.0233263782205612 0.0455191867420166 0.108870367939497
-3980 238 -4218 350.487579 214.23085194 0 0 0 -0.03584519917502 0.0474156866264548 0.0441519349752214
7340 238 7102 461.747629 293.5240791 0 0 0 0.0525385270602046 0.0576430607080962 0.0519466204654542
-88 238 -326 374.983581 246.95311784 0 0 0 -0.00073587824559937 0.0512021208921581 0.0489731913195764
7075 238 6837 470.734583 384.5471233 0 0 0 0.0569622801014452 0.0636935847725186 0.0702968788746803
-1022 238 -1260 374.1861183 970.344233800001 0 0 0 -0.00732154626472192 0.0459489866071381 0.137085850876562
1749 238 1511 442.299152 286.819934579999 0 0 0 0.0130628645689404 0.0562307715518814 0.0500533925707156
2044 238 1806 317.475518 253.5538539 0 0 0 0.016677545691906 0.0459462040363372 0.0496406133704405
-4843 237 -5080 403.861380000001 788.407776500002 0 0 0 -0.0328416912487709 0.0504439468598108 0.111736940866575
104 238 -134 376.053242 336.3448633 0 0 0 0.000986679822397626 0.0556933832074221 0.0694034596973795
-3240 238 -3478 324.05408 225.65495584 0 0 0 -0.0261771644636913 0.0461238713340746 0.0433190987474817
-6151 238 -6389 430.190503 336.715259580001 0 0 0 -0.0475969388149902 0.054146508705688 0.0483621277791766
296 238 58 388.368352 394.90073564 0 0 0 0.00220062896354833 0.0530737344563814 0.0694635908020026
1763 238 1525 370.278039 250.2356625 0 0 0 0.0137398392992136 0.0530949796724572 0.0471577568262337
4571 238 4333 475.484902 510.86077864 0 0 0 0.0388806192319142 0.0682630721859379 0.0902509353006072
2890 237 2653 440.302798 489.8151768 0 0 0 0.0236863889321454 0.0602904165776387 0.0863467375274784
704 238 466 413.448622 391.95866544 0 0 0 0.00562695824541212 0.0566957542678187 0.0734807178941525
4473 238 4235 313.44297 188.181938 0 0 0 0.0375595133133486 0.0482971817868204 0.0384520991666403
7194 237 6957 535.235295 584.98535584 0 0 0 0.0555941948347012 0.0731429237263907 0.0974735469125016
3048 238 2810 472.516754 465.3190967 0 0 0 0.0248812264289563 0.0659687789612256 0.086253644993028
1541 238 1303 410.171761 290.41401824 0 0 0 0.0128339662868945 0.0586389508041124 0.0561213724145386
-8995 238 -9233 482.5471736 261.19194938 0 0 0 -0.0556222018847857 0.0560794004731737 0.0401789431158115
-1293 238 -1531 393.721493 184.30909844 0 0 0 -0.0108530515289121 0.0548785823904683 0.0366873653589058
-14987 238 -15225 400.0163349 172.31735464 0 0 0 -0.125083461307338 0.0588044484579067 0.0342494007149153
-23819 238 -24057 311.1567614 -13.4481182200004 0 0 0 -0.166734333874671 0.0375320396676635 -0.00222531672620213
-6675 237 -6912 512.127319599999 452.6120007 0 0 0 -0.0408624267690217 0.0629570321909126 0.0628997241699015
-1504 238 -1742 416.518342 207.35707964 0 0 0 -0.013293147488532 0.0599975962039961 0.04089824476099
-9980 238 -10218 468.126307799999 670.2597734 0 0 0 -0.0721291096608197 0.0611145372882104 0.103187400868251
