tasks prod nonprod.tasks total.cpu total.mem nTasks cpu.request mem.request pendingFraction cpuOnQueue memOnQueue
-3813 238 -4051 289.5081603 687.3409682 0 0 0 -0.0291426868135647 0.0353714477199898 0.0972856410103312
-4403 238 -4641 338.477784 217.50933814 0 0 0 -0.0396548773787973 0.0457909423836126 0.0448276150101405
7812 238 7574 449.916852 313.37453774 0 0 0 0.0559170263479998 0.0561661452806973 0.0554596686766913
650 238 412 364.379328 256.23378284 0 0 0 0.00543546431408623 0.0497541635105867 0.0508136369336802
6968 238 6730 452.816199 383.4323832 0 0 0 0.056100801094964 0.0612691057741474 0.0700930995586007
-4926 238 -5164 145.5829873 816.474390600001 0 0 0 -0.0352895664383758 0.0178771750380962 0.115347814368929
2292 238 2054 430.406903 301.898475739999 0 0 0 0.0171184022824536 0.0547188755110834 0.0526847722242266
1622 238 1384 307.36653 236.8711931 0 0 0 0.0132343342036554 0.044483194768174 0.0463744925758829
-4951 238 -5189 334.843314300001 727.856440000002 0 0 0 -0.0335740684230156 0.0418233066823873 0.103155314318029
-281 238 -519 364.098017 333.0230341 0 0 0 -0.00266593298167052 0.0539228176254986 0.0687180131091908
-2228 238 -2466 313.684216 233.1699691 0 0 0 -0.0180008402546618 0.0446478884583526 0.0447617597353015
-5716 238 -5954 418.667893 338.246074540001 0 0 0 -0.0442308733972499 0.0526961998347893 0.0485819974363883
1362 238 1124 378.115407 390.38089164 0 0 0 0.0101258670552462 0.0516725850642551 0.0686685439313098
1082 238 844 360.153244 230.3066101 0 0 0 0.00843250489038522 0.0516431631235616 0.0434020595068859
5426 238 5188 463.62506 501.03475964 0 0 0 0.0461531918513163 0.0665604119181681 0.0885150271195322
2669 238 2431 426.979942 410.3256231 0 0 0 0.0218750768373343 0.0584661253355833 0.0723339752558984
2050 238 1812 402.808814 393.0565251 0 0 0 0.0163853187543961 0.0552367291127541 0.0736865342801055
4415 238 4177 313.01245 188.067137 0 0 0 0.0370724907843582 0.0482308446706845 0.0384286413391605
8063 238 7825 523.181309 576.17502364 0 0 0 0.0623097015502079 0.0714956785113736 0.0960055198577418
4010 238 3772 460.230652 467.9682551 0 0 0 0.0327341594422948 0.0642534976716799 0.0867447049340113
2175 238 1937 399.06195 269.84925664 0 0 0 0.0181141315210873 0.0570506706673138 0.0521473127208498
1485 238 1247 475.18549 260.25870878 0 0 0 0.0091827648470158 0.0552238596569645 0.040035383480571
-1091 238 -1329 381.77575 178.41456564 0 0 0 -0.00915752453058244 0.0532135337378135 0.0355140381586534
-2253 238 -2491 394.556772 185.0370031 0 0 0 -0.018803832543233 0.058001864770328 0.0367775287608078
-11939 238 -12177 304.199965 -12.89885222 0 0 0 -0.0835736685893487 0.0366929039301984 -0.00213442736927208
3882 238 3644 511.175767 455.15874948 0 0 0 0.0237644855007254 0.0628400555615144 0.0632536471669592
-754 238 -992 403.954208 210.91082064 0 0 0 -0.00666425080209651 0.0581877891382009 0.0415991698004799
427 238 189 325.6997963 544.610705 0 0 0 0.00308608515282266 0.0425205591185082 0.0838435564302294
