tasks prod nonprod.tasks total.cpu total.mem nTasks cpu.request mem.request pendingFraction cpuOnQueue memOnQueue
-5781 238 -6019 415.9353971 781.4944846 0 0 0 -0.0441840735560498 0.050818039595742 0.110612047583096
-7472 238 -7710 351.6064749 186.96462998 0 0 0 -0.0672953086019472 0.0475670563768848 0.0385324994546315
4245 238 4007 463.0773146 282.51547058 0 0 0 0.0303850200777341 0.0578090543005906 0.0499983646004
75 238 -163 376.890756 206.36456784 0 0 0 0.000627168959317637 0.0514625360406083 0.0409240893607906
3122 238 2884 480.8483553 213.0163955 0 0 0 0.0251358640956483 0.0650620468244346 0.038940319262517
-5145 238 -5383 413.1981884 990.449138500001 0 0 0 -0.0368584692093876 0.0507395573923013 0.139926181010538
-1371 238 -1609 443.4832511 277.701473579999 0 0 0 -0.0102396725694782 0.0563813094981691 0.0484621157693242
-4019 238 -4257 318.1909599 135.99672064 0 0 0 -0.0327921018276763 0.0460497453730696 0.0266253520705727
-7897 238 -8135 413.556961000001 782.794652700002 0 0 0 -0.0535516902315804 0.0516549647906142 0.110941421972911
-1429 238 -1667 377.4669283 287.10533964 0 0 0 -0.0135573602519828 0.0559027497652591 0.0592430747212996
-3024 238 -3262 325.8973566 193.13701664 0 0 0 -0.0244320201661119 0.0463862320262514 0.0370766131170389
-9498 238 -9736 432.0453773 309.54179558 0 0 0 -0.0734962973280405 0.0543799749647814 0.0444592261411277
912 238 674 390.1774087 339.9338593 0 0 0 0.00678031626606795 0.0533209569564072 0.0597948405031255
70 238 -168 372.420608 196.43395864 0 0 0 0.000545540981817888 0.0534022073379408 0.0370186437912684
4980 238 4742 477.316738 452.74659044 0 0 0 0.0423595457831838 0.0685260600380754 0.0799842245673068
-563 238 -801 457.1996159 318.3679672 0 0 0 -0.00461433805148717 0.062604088429498 0.0561232820113287
1213 238 975 415.3093366 337.53773964 0 0 0 0.0096953129995524 0.0569509120119994 0.0632783954330344
5947 238 5709 342.50981 193.750889 0 0 0 0.0499366031018297 0.0527759756658103 0.0395900290784162
8274 238 8036 537.1253367 543.7290679 0 0 0 0.0639402791301525 0.0734012085913729 0.0905991924046339
3702 238 3464 474.8167664 451.4945859 0 0 0 0.0302199147769016 0.0662898871723933 0.0836910713630137
769 238 531 412.3794108 198.63808864 0 0 0 0.00640449063894996 0.0589545607029979 0.038386033208166
-12337 238 -12575 483.2014815 251.48842778 0 0 0 -0.0762880605505948 0.0561554411107824 0.0386862583553704
-1969 238 -2207 394.5325025 105.07788824 0 0 0 -0.0165271913847084 0.0549916243565699 0.0209161181386719
-15281 238 -15519 400.791793 109.05962364 0 0 0 -0.127537223743073 0.0589184447672927 0.0216764397275464
-27255 238 -27493 311.810350399999 -27.7871062200002 0 0 0 -0.19078652629221 0.0376108762263292 -0.00459804942465172
-11302 238 -11540 517.993250499999 426.903428 0 0 0 -0.0691875876170012 0.0636781450594653 0.0593269905059002
-907 238 -1145 418.0678283 147.34598824 0 0 0 -0.00801654572612934 0.0602207927453648 0.0290619076139178
-12444 238 -12682 533.971016099999 722.6502662 0 0 0 -0.0899373387394029 0.0697106550743334 0.111252988267023
