tasks prod nonprod.tasks total.cpu total.mem nTasks cpu.request mem.request pendingFraction cpuOnQueue memOnQueue
-3175 238 -3413 312.1744723 737.1203486 0 0 0 -0.0242664648919664 0.0381407661014896 0.104331371085164
-2990 238 -3228 332.748964 229.00574214 0 0 0 -0.0269289310385201 0.0450159193866938 0.0471969678706661
8555 238 8317 445.090047 351.94298514 0 0 0 0.0612352995912875 0.0555635827634978 0.062285345483762
1315 238 1077 358.16245 256.48223484 0 0 0 0.010996362420036 0.0489052801059349 0.0508629073678264
7368 238 7130 458.597344 382.0566399 0 0 0 0.0593212833621835 0.0620513339393122 0.0698416077276572
-4640 238 -4878 122.5778223 827.793705800001 0 0 0 -0.0332406797145887 0.0150522064815863 0.11694695609769
2532 238 2294 432.387867 325.757888239999 0 0 0 0.0189109051392551 0.0549707211988556 0.056848515382867
1631 238 1393 301.053523 231.2004571 0 0 0 0.0133077676240209 0.0435695535855969 0.0452642794634731
-2648 238 -2886 370.729068300001 757.155267000002 0 0 0 -0.0179568033092598 0.0463055849031972 0.107307684953555
550 238 312 358.819242 339.2987321 0 0 0 0.00521801829152593 0.0531410324788604 0.0700129790823367
-1930 238 -2168 307.832274 237.1148331 0 0 0 -0.0155931874737421 0.0438149589057839 0.0455190573205695
-4105 238 -4343 412.980018 369.041456940001 0 0 0 -0.0317648242294806 0.0519802877654698 0.0530051121490839
1880 238 1642 372.898645 409.3882771 0 0 0 0.0139769677414558 0.0509596715642639 0.0720119695738819
1591 238 1353 353.825068 231.1021431 0 0 0 0.0123993671724611 0.0507357520953755 0.0435519803910095
6616 238 6378 458.556018 511.8271621 0 0 0 0.0562752519882618 0.0658326740267985 0.0904216608970334
3563 238 3325 439.639242 432.19634614 0 0 0 0.0292022850398735 0.0601995562246173 0.0761894408913419
2125 238 1887 397.596687 377.79626764 0 0 0 0.0169847816356545 0.0545219958765537 0.0708256849807244
1689 238 1451 256.61286 172.516886 0 0 0 0.0141824319218077 0.0395404559504266 0.0352511855223427
9600 238 9362 517.332889 590.5896161 0 0 0 0.0741874159595678 0.0706964589121133 0.0984073602463048
4651 238 4413 454.38254 474.1352451 0 0 0 0.0379667270738437 0.0634370339069506 0.0878878459955063
3916 238 3678 393.113073 221.7900481 0 0 0 0.0326137650742888 0.0562002076688562 0.0428600587626322
1288 238 1050 475.483466 255.18341478 0 0 0 0.0079645798807787 0.0552584890493837 0.0392546551717312
-206 238 -444 380.284361 187.05296664 0 0 0 -0.0017291017903758 0.0530056575726362 0.0372335418417931
-454 238 -692 389.709542 168.2721131 0 0 0 -0.00378914335314148 0.0572892971528834 0.0334453778190118
-12673 238 -12911 303.991058 -25.1210072199999 0 0 0 -0.0887117096936775 0.0366677053589844 -0.00415687880127133
5583 238 5345 505.3041793 526.57563788 0 0 0 0.034177517400966 0.0621182472890532 0.0731784891386376
-43 238 -281 402.92937 226.15414364 0 0 0 -0.000380056743355645 0.0580401658277765 0.0446056991946399
586 238 348 328.1045043 593.87723 0 0 0 0.0042352362987215 0.0428344970756035 0.0914282047506454
