tasks prod nonprod.tasks total.cpu total.mem nTasks cpu.request mem.request pendingFraction cpuOnQueue memOnQueue
-5657 238 -5895 416.0444206 783.140974 0 0 0 -0.0432363439035761 0.0508313598386896 0.110845090256392
-7441 238 -7679 351.6033509 188.92472898 0 0 0 -0.0670161123269659 0.047566633746772 0.0389364663100555
4373 238 4135 463.0828341 283.82823558 0 0 0 0.0313012232744244 0.0578097433368814 0.0502306920654053
212 238 -26 376.8890804 206.86299384 0 0 0 0.0017727975916712 0.0514623072458607 0.0410229320564009
3115 238 2877 480.8508621 213.02473598 0 0 0 0.025079505655972 0.0650623860114926 0.0389418439383676
-4940 238 -5178 418.5366302 995.981842000001 0 0 0 -0.035389861592687 0.051395102798116 0.140707816373047
-1367 238 -1605 443.4824664 277.434830579999 0 0 0 -0.0102097975218648 0.0563812097369866 0.0484155834849668
-4031 238 -4269 318.1936025 136.10060264 0 0 0 -0.0328900130548303 0.0460501278196896 0.0266456900229202
-7704 238 -7942 413.525195200001 784.069647600002 0 0 0 -0.0522429050961245 0.0516509971115874 0.111122120380503
-1396 238 -1634 377.4626494 288.14277864 0 0 0 -0.0132442791544913 0.055902116061329 0.0594571462403903
-2862 238 -3100 325.9056985 194.44763464 0 0 0 -0.0231231619429273 0.0463874193611626 0.0373282131333155
-9549 238 -9787 432.0462274 308.99483558 0 0 0 -0.0738909394804652 0.0543800819637661 0.0443806667392072
1144 238 906 390.1975138 340.80018364 0 0 0 0.00850513356182203 0.0533237044839364 0.0599472281641868
59 238 -179 372.4194498 196.89723604 0 0 0 0.000459813113246527 0.053402041261104 0.037105949983975
5112 238 4874 477.283057 453.6521273 0 0 0 0.0434823289244248 0.0685212246194856 0.0801442007329888
-567 238 -805 457.1859925 322.7685709 0 0 0 -0.00464712198080502 0.0626022229849336 0.0568990394615751
1293 238 1055 415.2966167 338.4412339 0 0 0 0.0103347400728947 0.0569491677461189 0.0634477740249416
5947 238 5709 342.50981 193.750889 0 0 0 0.0499366031018297 0.0527759756658103 0.0395900290784162
8225 238 7987 537.1152678 544.1460319 0 0 0 0.0635616141945256 0.0733998326193629 0.0906686692891561
3882 238 3644 474.8380027 453.16371364 0 0 0 0.0316892785423911 0.0662928520043676 0.0840004684037863
1016 238 778 412.3804405 199.39340164 0 0 0 0.00846158971283897 0.0589547079109078 0.0385319944893033
-12325 238 -12563 483.1977313 251.53467178 0 0 0 -0.0762138563902149 0.0561550052798852 0.0386933720319207
-1908 238 -2146 394.5287941 107.95524324 0 0 0 -0.0160151758060049 0.0549911074639477 0.0214888656321259
-15193 238 -15431 400.7895075 109.82707064 0 0 0 -0.126802764238499 0.0589181087870958 0.0218289757265198
-27174 238 -27412 311.823930399999 -27.7182652200001 0 0 0 -0.190219521756174 0.0376125142595071 -0.0045866580146238
-11269 238 -11507 518.045706099999 431.40840128 0 0 0 -0.0689855711251094 0.0636845935514152 0.059953048975995
-860 238 -1098 418.0662314 147.53171124 0 0 0 -0.00760113486711272 0.0602205627190929 0.0290985388431237
-12454 238 -12692 535.931675999999 726.9492815 0 0 0 -0.0900096123963776 0.0699666219374887 0.11191482750116
