tasks prod nonprod.tasks total.cpu total.mem nTasks cpu.request mem.request pendingFraction cpuOnQueue memOnQueue
-2538 238 -2776 414.429255 787.46297058 0 0 0 -0.0193978859514365 0.0506340225839458 0.111456821881863
-3995 238 -4233 350.172083 214.85325294 0 0 0 -0.0359802941467852 0.0473730047730477 0.0442802087893414
7287 238 7049 458.745214 289.56058858 0 0 0 0.0521591616740751 0.0572682490593808 0.0512451790764133
-656 237 -893 374.801119 233.89244684 0 0 0 -0.00548563783083161 0.0511772066242925 0.046383133962781
7402 238 7164 479.049406 385.96885784 0 0 0 0.0595950243548971 0.0648186367715535 0.0705567781033955
-1544 237 -1781 379.096175 1004.835256 0 0 0 -0.0110611227326131 0.0465519275461916 0.141958586717299
1495 238 1257 442.8244304 287.217263579999 0 0 0 0.0111657990454923 0.056297551715438 0.0501227310720505
2651 238 2413 317.4345408 257.7104813 0 0 0 0.0216302219321149 0.0459402736678984 0.0504543952574623
-4585 238 -4823 411.168436000001 792.337952500002 0 0 0 -0.0310921235547418 0.051356628197565 0.112293944306162
152 238 -86 376.056515 336.3612219 0 0 0 0.00144207050965808 0.0556938679378349 0.0694068352311238
-3484 238 -3722 323.912673 214.60929884 0 0 0 -0.0281485311702162 0.0461037443285028 0.0411986582522458
-6215 238 -6453 430.231428 326.522478580001 0 0 0 -0.0480921760258762 0.0541516597860892 0.0468981472700603
92 238 -146 388.40896 391.13674564 0 0 0 0.000683979272454227 0.0530792838740868 0.0688014997053145
2379 238 2141 370.707236 255.1786783 0 0 0 0.0185405999392111 0.0531565231710995 0.0480892848696621
4612 238 4374 475.821789 512.76026784 0 0 0 0.03922936248033 0.0683114374263541 0.0905865075035659
3107 238 2869 443.197582 507.7443423 0 0 0 0.0254649170976387 0.0606867977363664 0.0895073683548636
507 238 269 413.618661 390.17544224 0 0 0 0.00405236907730674 0.056719071528651 0.073146416008635
4443 237 4206 312.849502 187.920938 0 0 0 0.0373076051086984 0.0482057366608357 0.0383987678108835
6090 237 5853 504.9118 552.4945064 0 0 0 0.0470626419993508 0.0689990470003564 0.0920597390188505
2798 238 2560 473.464056 466.53146564 0 0 0 0.0228404434213319 0.0661010332267485 0.0864783751639858
1518 238 1280 410.216187 291.37412984 0 0 0 0.0126424145512692 0.0586453020312717 0.0563069102235937
-4344 238 -4582 482.360361 260.84857578 0 0 0 -0.0268619060575329 0.0560576899769114 0.0401261222368579
-1767 238 -2005 392.046475 181.44528184 0 0 0 -0.0148316643863787 0.0546451112314058 0.0361173127309326
-15532 238 -15770 400.0400265 163.41743984 0 0 0 -0.129632102557254 0.058807931244357 0.0324804741378411
-19360 238 -19598 310.9520571 -9.78599362000023 0 0 0 -0.135521084168673 0.0375073480303255 -0.00161932955442842
-7488 238 -7726 509.674672199999 435.3788135 0 0 0 -0.0458393785238104 0.0626555223994893 0.060504819218703
-1398 238 -1636 414.105744 208.49899164 0 0 0 -0.0123562634235158 0.0596500722992587 0.0411234707168754
-7742 238 -7980 531.1163958 713.7995202 0 0 0 -0.0559542652298664 0.0693379804438733 0.109890403920282
