tasks prod nonprod.tasks total.cpu total.mem nTasks cpu.request mem.request pendingFraction cpuOnQueue memOnQueue
-3342 238 -3580 354.729202 758.9614578 0 0 0 -0.0255428427303785 0.0433400060650956 0.107422742627388
-4883 238 -5121 338.044188 191.21297798 0 0 0 -0.0439779164752821 0.0457322833802974 0.0394080632819212
7149 238 6911 450.121475 287.48548658 0 0 0 0.0511713801026434 0.0561916897454016 0.0508779365103123
-755 238 -993 362.514219 235.52819884 0 0 0 -0.00631350085713089 0.0494994922627406 0.0467075194022039
6754 238 6516 453.280947 375.508319 0 0 0 0.0543778430820015 0.0613319893335987 0.0686445463189291
-1809 238 -2047 361.0974048 981.647160600001 0 0 0 -0.0129595667249334 0.0443417299722621 0.138682677326188
1512 238 1274 429.878582 278.262810579999 0 0 0 0.011292767997849 0.0546517085329811 0.0485600755616469
1837 238 1599 302.440454 246.8951451 0 0 0 0.0149885770234987 0.0437702752510398 0.0483369755672561
-4318 238 -4556 396.140855000001 833.376055840002 0 0 0 -0.0292815244295256 0.0494796215439565 0.118110061628766
-824 238 -1062 363.706683 328.5287453 0 0 0 -0.00781754013130431 0.0538648611661734 0.0677906340241088
-3230 238 -3468 309.379204 225.69019764 0 0 0 -0.0260963707462108 0.0440351394394862 0.0433258641340807
-6423 238 -6661 418.418757 319.09340058 0 0 0 -0.0497016969612554 0.0526648419956487 0.0458311150839764
-91 238 -329 374.501309 392.13763104 0 0 0 -0.000676544715144944 0.0511786888016901 0.0689775568447185
1312 238 1074 354.669401 243.7031475 0 0 0 0.0102249966877869 0.050856822855048 0.0459266822833167
4406 238 4168 462.54354 504.00914004 0 0 0 0.037477140305363 0.0664051433123302 0.0890404943784485
2587 238 2349 424.072582 432.4882077 0 0 0 0.0212030062863184 0.0580680221521891 0.0762408915092674
92 238 -146 398.638052 379.18100144 0 0 0 0.00073534113434362 0.0546647971123095 0.0710852818277595
4532 238 4294 314.54863 188.273197 0 0 0 0.0380549327824941 0.0484675485428986 0.0384707465466979
7133 238 6895 521.655386 575.76823984 0 0 0 0.0551227956291247 0.071287152521694 0.0959377392553443
1544 238 1306 459.721809 444.9945593 0 0 0 0.0126038758550881 0.0641824573305517 0.0824861971363213
1076 238 838 396.638293 277.50919784 0 0 0 0.00896128989273104 0.05670417996 0.0536275663785896
683 238 445 475.007842 250.05121578 0 0 0 0.00422345346162412 0.0552032142281229 0.0384651732134644
-2561 238 -2799 380.597621 164.61489624 0 0 0 -0.0214962606075359 0.0530493210886628 0.0327671660975613
-3950 238 -4188 394.29075 162.18596264 0 0 0 -0.0329672163984777 0.0579627581748647 0.0322357085645639
-13090 238 -13328 304.195956 -17.5398142199999 0 0 0 -0.0916307330458644 0.03669242036061 -0.0029023868856384
3019 238 2781 501.779644 444.8719753 0 0 0 0.0184814481521612 0.0616849677629513 0.0618240888310791
-1669 238 -1907 403.09275 199.62065064 0 0 0 -0.0147515047595478 0.058063699982889 0.0393723438013153
-2678 238 -2916 495.7141011 697.0708396 0 0 0 -0.0193548853378432 0.0647161618802054 0.107315000860789
