tasks prod nonprod.tasks total.cpu total.mem nTasks cpu.request mem.request pendingFraction cpuOnQueue memOnQueue
-3360 238 -3598 350.077729 762.5726206 0 0 0 -0.0256804163896086 0.0427716996868922 0.107933863459762
-4478 238 -4716 339.515499 218.22245588 0 0 0 -0.0403303522376231 0.0459313295818921 0.0449745851024546
7488 238 7250 451.215552 314.15437954 0 0 0 0.0535978870063777 0.0563282707324375 0.0555976817014895
-362 238 -600 364.229042 232.51624984 0 0 0 -0.00302713551030648 0.0497336427135963 0.046110220789771
7228 238 6990 455.240667 383.4590871 0 0 0 0.0581941145686567 0.0615971527536196 0.070097981147124
-2138 238 -2376 366.9588072 930.236556600001 0 0 0 -0.015316502851248 0.045061493446119 0.131419619384555
1945 238 1707 431.825479 279.80962598 0 0 0 0.0145267419019949 0.0548992231844269 0.0488300127212241
1838 238 1600 301.776028 239.3143551 0 0 0 0.0149967362924282 0.043674117119681 0.0468528132891275
-3552 238 -3790 395.275704200001 830.854768700002 0 0 0 -0.0240870715084935 0.0493715606519224 0.117752732692565
-130 238 -368 365.054644 327.7008579 0 0 0 -0.00123334977799704 0.0540644938248958 0.067619802665972
-2252 238 -2490 308.481094 236.8129941 0 0 0 -0.0181947451766151 0.0439073079673941 0.0454611131314062
-6034 238 -6272 419.457207 337.832445580001 0 0 0 -0.0466915832888394 0.0527955479075024 0.0485225882589081
1254 238 1016 373.760371 399.01830064 0 0 0 0.0093229348658434 0.0510774335205681 0.0701878762348902
1363 238 1125 353.899305 232.0316721 0 0 0 0.0106224622602542 0.0507463971015351 0.0437271532744706
5707 238 5469 459.856106 514.1822771 0 0 0 0.0485433589928975 0.0660193213853556 0.0908377259785147
3521 238 3283 436.876326 444.9768007 0 0 0 0.028858053782036 0.0598212316775881 0.0784424346890918
1671 238 1433 397.846847 378.55788764 0 0 0 0.013356032994437 0.0545563000418912 0.0709684663229859
3553 238 3315 296.20217 184.927622 0 0 0 0.0298343283707417 0.0456406154208553 0.0377871294948348
8724 238 8486 519.210506 577.20620264 0 0 0 0.0674178142532573 0.0709530458717202 0.0961773406967222
5120 238 4882 455.277332 483.1731621 0 0 0 0.041795235996147 0.063561957171924 0.0895631550252087
1852 238 1614 395.377206 278.34840564 0 0 0 0.0154240788860018 0.0565238925156074 0.0537897400014829
865 238 627 475.497504 252.648908780001 0 0 0 0.0053488832273863 0.0552601204808104 0.0388647741947623
-2049 238 -2287 380.792679 173.91463724 0 0 0 -0.017198687225631 0.0530765091053554 0.0346183118016962
-1170 238 -1408 390.027256 169.1163051 0 0 0 -0.00976497295853643 0.0573360027368992 0.0336131674775098
-13019 238 -13257 304.484209 -23.5217632199999 0 0 0 -0.0911337290698326 0.0367271897256775 -0.00389224516522954
3406 238 3168 500.562646 465.3115683 0 0 0 0.0208505506479832 0.061535359297771 0.0646645896570773
-860 238 -1098 403.011585 205.44761264 0 0 0 -0.00760113486711272 0.0580520085292245 0.0405216294611189
1361 238 1123 410.3999292 641.5448324 0 0 0 0.00983644471426609 0.0535782786787705 0.0987666967689361
