tasks prod nonprod.tasks total.cpu total.mem nTasks cpu.request mem.request pendingFraction cpuOnQueue memOnQueue
-9109 238 -9347 217.4642343 637.055824 0 0 0 -0.0696199145514717 0.0265692849090653 0.0901683255684696
-7732 238 -7970 351.5432482 178.0096141 0 0 0 -0.0696369547792098 0.0475585027573751 0.0366869143054553
3696 238 3458 462.823398 277.5421978 0 0 0 0.02645536730443 0.0577773561844133 0.0491182163196662
-1002 238 -1240 336.6836939 177.4292463 0 0 0 -0.00837897729648368 0.0459724640516624 0.035185935293062
2420 238 2182 476.0525632 197.3002048 0 0 0 0.0194839177166781 0.0644131435959401 0.0360673315659028
-6853 238 -7091 310.8635196 904.194523400001 0 0 0 -0.0490944780353612 0.0381731523436587 0.12774051855062
-2020 238 -2258 435.4930768 265.685780699999 0 0 0 -0.0150868990447454 0.0553654955096245 0.0463652385295588
-4648 238 -4886 314.196644 126.8838083 0 0 0 -0.0379242819843342 0.0454716735441515 0.0248412318484164
-8598 238 -8836 411.800595900001 776.793617700002 0 0 0 -0.0583053605940392 0.0514355875682345 0.110090926438849
-1915 238 -2153 377.4015502 283.3498331 0 0 0 -0.0181681909604949 0.0558930672863705 0.0584681404938675
-3812 238 -4050 317.923499 185.6509073 0 0 0 -0.0307985651035775 0.04525128201427 0.0356395008297119
-10180 238 -10418 425.1138084 297.4603833 0 0 0 -0.0787736688565437 0.0535075236829177 0.0427239831195697
-365 238 -603 332.1544542 324.2213393 0 0 0 -0.00271361341788906 0.045391642264185 0.0570309862956132
-1514 238 -1752 320.5775381 166.0559613 0 0 0 -0.0117992720924614 0.0459683159034605 0.031293807462523
2667 238 2429 361.4109354 398.7569089 0 0 0 0.0226853230128014 0.0518860234430694 0.0704461675089069
-2059 238 -2297 436.0287073 301.1244865 0 0 0 -0.0168755276163625 0.0597051677217056 0.053083526665669
347 238 109 388.2171 316.7423111 0 0 0 0.00277351493062217 0.0532357834395326 0.0593798644072682
5947 238 5709 342.50981 193.750889 0 0 0 0.0499366031018297 0.0527759756658103 0.0395900290784162
5570 238 5332 467.9099379 499.7182257 0 0 0 0.0430441569682076 0.0639425337199407 0.083265858588644
2937 238 2699 426.5823342 436.9679439 0 0 0 0.023975118773571 0.0595558051124754 0.0809983475292085
-1431 238 -1669 358.7307157 151.1673027 0 0 0 -0.0119178492904257 0.0512848391575556 0.0292124896144545
-12656 238 -12894 483.1846466 250.25613104 0 0 0 -0.0782606544806945 0.056153484636575 0.0384966951596601
-2471 238 -2709 378.2853572 96.5908935 0 0 0 -0.0207408277864979 0.0527270278897574 0.0192267523967693
-16431 238 -16669 346.4883565 69.3436895 0 0 0 -0.137135274086933 0.0509355616844062 0.013782592088289
-27461 238 -27699 311.784358599999 -29.7135051000002 0 0 0 -0.192228537828303 0.0376077410694255 -0.00491681875571146
-14160 238 -14398 367.233310299999 337.5503465 0 0 0 -0.0866834401572056 0.0451448662340263 0.0469095464889751
-1813 238 -2051 384.0669169 122.9882437 0 0 0 -0.0160242529233434 0.0553231141870816 0.0242576877640236
-14698 238 -14936 396.211420499999 629.2608385 0 0 0 -0.106227821021516 0.0517259492335714 0.096875559253115
