tasks prod nonprod.tasks total.cpu total.mem nTasks cpu.request mem.request pendingFraction cpuOnQueue memOnQueue
-3906 238 -4144 295.535733 708.6453882 0 0 0 -0.02985348405292 0.0361078828257068 0.10030105003139
-4066 238 -4304 349.587043 215.44165224 0 0 0 -0.0366197436798069 0.0472938576792103 0.0444014750187281
8047 238 7809 459.554916 321.56754684 0 0 0 0.0575991181544232 0.0573693296034056 0.0569096319488449
-211 238 -449 374.960469 242.28902484 0 0 0 -0.00176443533888029 0.0511989650648685 0.048048256575609
5854 238 5616 441.406289 356.1872018 0 0 0 0.0471317579807576 0.0597252674922853 0.0651125624520981
-4252 238 -4490 246.083759 879.558050000001 0 0 0 -0.0304610711522481 0.0302183827606872 0.124259988857142
2552 238 2314 439.65135 313.158108839999 0 0 0 0.0190602803773219 0.0558941488188208 0.0546497082966855
3078 238 2840 316.553166 245.6902391 0 0 0 0.0251142297650131 0.0458127179223455 0.0481010798316018
-5503 238 -5741 331.303459000001 736.409003400002 0 0 0 -0.0373173295358221 0.0413811642011116 0.104367424725065
206 238 -32 374.976565 334.1549147 0 0 0 0.00195438503282608 0.0555339276355656 0.0689515722866184
-1977 238 -2215 323.107777 229.9443811 0 0 0 -0.0159729179459005 0.0459891803657799 0.0441425419362926
-5806 238 -6044 429.374243 344.343835840001 0 0 0 -0.0449273007250582 0.0540437690382897 0.0494578137315136
951 238 713 387.567024 395.16842924 0 0 0 0.00707026400113003 0.0529642263843012 0.0695106784800252
2193 238 1955 369.254857 237.7753841 0 0 0 0.017091019616095 0.0529482633626324 0.0448095752245231
4336 238 4098 460.40632 492.6950703 0 0 0 0.0368817250031897 0.0660983129534196 0.0870417005410949
3076 238 2838 443.32483 430.1716029 0 0 0 0.0252108416454254 0.0607042217340414 0.0758325103971767
1482 238 1244 412.559315 387.2963127 0 0 0 0.0118453865336658 0.056573804578165 0.0726066639271956
4639 237 4402 316.522542 188.653226 0 0 0 0.0389534053790799 0.0487717007996717 0.0385483996570309
8104 238 7866 529.441544 576.5293372 0 0 0 0.0626265436392019 0.0723511749545114 0.0960645575739301
2408 238 2170 442.460748 454.3030106 0 0 0 0.0196568219294379 0.0617726144877194 0.0842116536231904
2396 238 2158 409.748738 275.8723023 0 0 0 0.0199546938503564 0.0585784746152457 0.0533112427218984
-5359 238 -5597 482.3289723 260.76927658 0 0 0 -0.0331383412896683 0.0560540421273872 0.0401139237060322
-1219 238 -1457 393.17024 180.72115044 0 0 0 -0.0102319178760586 0.0548017463941705 0.0359731718639623
-13739 238 -13977 400.0006508 166.3996785 0 0 0 -0.114667490151566 0.0588021428149377 0.0330732170284643
-18811 238 -19049 310.8933108 -6.62651842000014 0 0 0 -0.131678053424427 0.0375002619928825 -0.00109651789456922
-7051 238 -7289 498.544026699999 433.3949287 0 0 0 -0.043164190434213 0.0612872056153027 0.0602291177204841
-390 238 -628 414.031273 217.85557864 0 0 0 -0.00344702627694649 0.0596393450862255 0.0429689248770027
-8628 238 -8866 343.97906 574.0819278 0 0 0 -0.0623577112378309 0.0449069422898466 0.0883806911380382
