tasks prod nonprod.tasks total.cpu total.mem nTasks cpu.request mem.request pendingFraction cpuOnQueue memOnQueue
-11440 238 -11678 -288.412275 53.2078318000003 0 0 0 -0.0874357034217626 -0.0352375549497276 0.0075309900950451
-1947 238 -2185 337.988546 224.67160124 0 0 0 -0.0175353273351166 0.0457247558563754 0.0463037225446202
7478 238 7240 351.592998 253.480529 0 0 0 0.0535263086316362 0.0438917175863951 0.0448598863702067
3003 238 2765 363.261284 254.20607174 0 0 0 0.0251118451310783 0.0496015002289089 0.0504115222144586
981 238 743 326.147704 238.6515384 0 0 0 0.00789823276035587 0.0441299984817268 0.0436265343612334
-14850 238 -15088 -280.706350999999 99.5959644000004 0 0 0 -0.106384502965871 -0.0344699381720424 0.0140704680339863
4036 238 3798 433.467468 344.201779139999 0 0 0 0.0301439230418774 0.0551079739991915 0.0600671874500683
1512 238 1274 304.45125 210.664997 0 0 0 0.0123368146214099 0.0440612849133705 0.0412438600554121
-11935 238 -12173 -137.399819 101.335985400001 0 0 0 -0.0809344590241752 -0.0171618023198544 0.0143618230892679
719 238 481 364.909655 329.6297101 0 0 0 0.00682137300292208 0.0540430209932965 0.0680178138459599
-1821 238 -2059 254.232276 205.564786 0 0 0 -0.0147125359532043 0.0361858637521026 0.0394623784378701
-4440 238 -4678 361.268744 311.337333 0 0 0 -0.0343570815052116 0.0454715784185709 0.0447171176612407
-3462 238 -3700 202.134186 217.190787 0 0 0 -0.0257384374047447 0.0276233015823102 0.038204162698462
-1866 238 -2104 106.744838 78.7529340000002 0 0 0 -0.0145425638867457 0.0153063763086142 0.0148412567330384
-8789 238 -9027 -158.365234 -81.051019 0 0 0 -0.0747586441542976 -0.0227357322068766 -0.014318833188351
-2037 238 -2275 79.70769 54.754258 0 0 0 -0.0166952160051143 0.0109143295395122 0.00965231738004782
833 238 595 210.644054 188.186672 0 0 0 0.00665803440117654 0.0288853871752924 0.0352794643311392
1785 238 1547 203.969458 117.615801 0 0 0 0.0149885381766884 0.0314288433139375 0.024032988987582
-5706 238 -5944 -54.9594400000001 25.7785283000001 0 0 0 -0.0440951453609681 -0.00751051764619737 0.0042953632300371
-3299 238 -3537 148.364138 207.1227872 0 0 0 -0.0269301725686111 0.0207133417865957 0.0383932133536166
568 238 330 220.071134 133.60496 0 0 0 0.00473049503631157 0.0314617963181313 0.025818635622448
2010 238 1772 468.154335 275.7173647 0 0 0 0.0124291968636375 0.0544067313457731 0.0424133758280799
2556 238 2318 378.590189 191.417621 0 0 0 0.0214542921174782 0.0527695166472902 0.0381023414318621
-4638 238 -4876 132.43841 37.5160239 0 0 0 -0.0387093543433264 0.0194691240712433 0.00745659854438814
-10385 238 -10623 306.787217 29.38467378 0 0 0 -0.0726955815646525 0.0370049808532815 0.00486240565311039
-12230 238 -12468 -257.793375999999 -184.569806400001 0 0 0 -0.0748685362374735 -0.0316911542311635 -0.0256497615942515
1346 238 1108 318.297325 176.607275 0 0 0 0.0118966599199229 0.0458492999046897 0.0348332816610914
-15440 238 -15678 -316.3495098 -254.5429282 0 0 0 -0.111590526369044 -0.0412998662767724 -0.0391872289114342
