tid,jid,cpuReq,memReq,priority,couldCreateServer
1044,6279310884,0.0625,0.0318,1,true
1045,6279310884,0.0625,0.0318,1,true
1046,6279310884,0.0625,0.0318,1,true
1047,6279310884,0.0625,0.0318,1,true
1048,6279310884,0.0625,0.0318,1,true
1049,6279310884,0.0625,0.0318,1,true
1050,6279310884,0.0625,0.0318,1,true
1051,6279310884,0.0625,0.0318,1,true
1052,6279310884,0.0625,0.0318,1,true
1053,6279310884,0.0625,0.0318,1,true
1054,6279310884,0.0625,0.0318,1,true
1055,6279310884,0.0625,0.0318,1,true
1056,6279310884,0.0625,0.0318,1,true
1057,6279310884,0.0625,0.0318,1,true
1058,6279310884,0.0625,0.0318,1,true
1059,6279310884,0.0625,0.0318,1,true
1060,6279310884,0.0625,0.0318,1,true
1061,6279310884,0.0625,0.0318,1,true
1062,6279310884,0.0625,0.0318,1,true
1063,6279310884,0.0625,0.0318,1,true
1064,6279310884,0.0625,0.0318,1,true
1065,6279310884,0.0625,0.0318,1,true
1066,6279310884,0.0625,0.0318,1,true
1067,6279310884,0.0625,0.0318,1,true
1068,6279310884,0.0625,0.0318,1,true
1069,6279310884,0.0625,0.0318,1,true
1070,6279310884,0.0625,0.0318,1,true
1071,6279310884,0.0625,0.0318,1,true
1072,6279310884,0.0625,0.0318,1,true
1073,6279310884,0.0625,0.0318,1,true
1074,6279310884,0.0625,0.0318,1,true
1075,6279310884,0.0625,0.0318,1,true
1076,6279310884,0.0625,0.0318,1,true
1077,6279310884,0.0625,0.0318,1,true
1078,6279310884,0.0625,0.0318,1,true
1079,6279310884,0.0625,0.0318,1,true
1080,6279310884,0.0625,0.0318,1,true
1081,6279310884,0.0625,0.0318,1,true
1082,6279310884,0.0625,0.0318,1,true
1083,6279310884,0.0625,0.0318,1,true
1084,6279310884,0.0625,0.0318,1,true
1085,6279310884,0.0625,0.0318,1,true
1086,6279310884,0.0625,0.0318,1,true
1087,6279310884,0.0625,0.0318,1,true
1088,6279310884,0.0625,0.0318,1,true
1089,6279310884,0.0625,0.0318,1,true
1090,6279310884,0.0625,0.0318,1,true
1091,6279310884,0.0625,0.0318,1,true
1092,6279310884,0.0625,0.0318,1,true
1093,6279310884,0.0625,0.0318,1,true
1094,6279310884,0.0625,0.0318,1,true
1095,6279310884,0.0625,0.0318,1,true
1096,6279310884,0.0625,0.0318,1,true
1097,6279310884,0.0625,0.0318,1,true
1098,6279310884,0.0625,0.0318,1,true
1099,6279310884,0.0625,0.0318,1,true
1100,6279310884,0.0625,0.0318,1,true
1101,6279310884,0.0625,0.0318,1,true
