tid,jid,cpuReq,memReq,priority,couldCreateServer
1843,6316893120,0.0625,0.0318,1,false
1844,6316893120,0.0625,0.0318,1,false
1845,6316893120,0.0625,0.0318,1,false
1846,6316893120,0.0625,0.0318,1,false
1847,6316893120,0.0625,0.0318,1,false
1848,6316893120,0.0625,0.0318,1,false
1849,6316893120,0.0625,0.0318,1,false
1850,6316893120,0.0625,0.0318,1,false
1851,6316893120,0.0625,0.0318,1,false
1852,6316893120,0.0625,0.0318,1,false
1853,6316893120,0.0625,0.0318,1,false
1854,6316893120,0.0625,0.0318,1,false
1855,6316893120,0.0625,0.0318,1,false
1856,6316893120,0.0625,0.0318,1,false
1857,6316893120,0.0625,0.0318,1,false
1858,6316893120,0.0625,0.0318,1,false
1859,6316893120,0.0625,0.0318,1,false
1860,6316893120,0.0625,0.0318,1,false
1861,6316893120,0.0625,0.0318,1,false
1862,6316893120,0.0625,0.0318,1,false
1863,6316893120,0.0625,0.0318,1,false
1864,6316893120,0.0625,0.0318,1,false
1865,6316893120,0.0625,0.0318,1,false
1866,6316893120,0.0625,0.0318,1,false
1867,6316893120,0.0625,0.0318,1,false
1868,6316893120,0.0625,0.0318,1,false
1869,6316893120,0.0625,0.0318,1,false
1870,6316893120,0.0625,0.0318,1,false
1871,6316893120,0.0625,0.0318,1,false
1872,6316893120,0.0625,0.0318,1,false
1873,6316893120,0.0625,0.0318,1,false
1874,6316893120,0.0625,0.0318,1,false
1875,6316893120,0.0625,0.0318,1,false
1876,6316893120,0.0625,0.0318,1,false
1877,6316893120,0.0625,0.0318,1,false
1878,6316893120,0.0625,0.0318,1,false
1879,6316893120,0.0625,0.0318,1,false
1880,6316893120,0.0625,0.0318,1,false
1881,6316893120,0.0625,0.0318,1,false
1882,6316893120,0.0625,0.0318,1,false
1883,6316893120,0.0625,0.0318,1,false
1884,6316893120,0.0625,0.0318,1,false
1885,6316893120,0.0625,0.0318,1,false
1886,6316893120,0.0625,0.0318,1,false
1887,6316893120,0.0625,0.0318,1,false
1888,6316893120,0.0625,0.0318,1,false
1889,6316893120,0.0625,0.0318,1,false
1890,6316893120,0.0625,0.0318,1,false
1891,6316893120,0.0625,0.0318,1,false
1892,6316893120,0.0625,0.0318,1,false
1893,6316893120,0.0625,0.0318,1,false
1894,6316893120,0.0625,0.0318,1,false
1895,6316893120,0.0625,0.0318,1,false
1896,6316893120,0.0625,0.0318,1,false
1897,6316893120,0.0625,0.0318,1,false
1898,6316893120,0.0625,0.0318,1,false
1899,6316893120,0.0625,0.0318,1,false
1900,6316893120,0.0625,0.0318,1,false
1901,6316893120,0.0625,0.0318,1,false
1902,6316893120,0.0625,0.0318,1,false
1903,6316893120,0.0625,0.0318,1,false
1904,6316893120,0.0625,0.0318,1,false
1905,6316893120,0.0625,0.0318,1,false
1906,6316893120,0.0625,0.0318,1,false
1907,6316893120,0.0625,0.0318,1,false
1908,6316893120,0.0625,0.0318,1,false
1909,6316893120,0.0625,0.0318,1,false
1910,6316893120,0.0625,0.0318,1,false
1911,6316893120,0.0625,0.0318,1,false
1912,6316893120,0.0625,0.0318,1,false
1913,6316893120,0.0625,0.0318,1,false
1914,6316893120,0.0625,0.0318,1,false
1915,6316893120,0.0625,0.0318,1,false
1916,6316893120,0.0625,0.0318,1,false
1917,6316893120,0.0625,0.0318,1,false
1918,6316893120,0.0625,0.0318,1,false
1919,6316893120,0.0625,0.0318,1,false
1920,6316893120,0.0625,0.0318,1,false
1921,6316893120,0.0625,0.0318,1,false
1922,6316893120,0.0625,0.0318,1,false
1923,6316893120,0.0625,0.0318,1,false
1924,6316893120,0.0625,0.0318,1,false
1925,6316893120,0.0625,0.0318,1,false
1926,6316893120,0.0625,0.0318,1,false
1927,6316893120,0.0625,0.0318,1,false
1928,6316893120,0.0625,0.0318,1,false
1929,6316893120,0.0625,0.0318,1,false
1930,6316893120,0.0625,0.0318,1,false
1931,6316893120,0.0625,0.0318,1,false
1932,6316893120,0.0625,0.0318,1,false
1933,6316893120,0.0625,0.0318,1,false
1934,6316893120,0.0625,0.0318,1,false
1935,6316893120,0.0625,0.0318,1,false
1936,6316893120,0.0625,0.0318,1,false
1937,6316893120,0.0625,0.0318,1,false
1938,6316893120,0.0625,0.0318,1,false
1939,6316893120,0.0625,0.0318,1,false
1940,6316893120,0.0625,0.0318,1,false
1941,6316893120,0.0625,0.0318,1,false
1942,6316893120,0.0625,0.0318,1,false
1943,6316893120,0.0625,0.0318,1,false
1944,6316893120,0.0625,0.0318,1,false
1945,6316893120,0.0625,0.0318,1,false
1946,6316893120,0.0625,0.0318,1,false
1947,6316893120,0.0625,0.0318,1,false
1948,6316893120,0.0625,0.0318,1,false
1949,6316893120,0.0625,0.0318,1,false
1950,6316893120,0.0625,0.0318,1,false
1951,6316893120,0.0625,0.0318,1,false
1952,6316893120,0.0625,0.0318,1,false
1953,6316893120,0.0625,0.0318,1,false
1954,6316893120,0.0625,0.0318,1,false
1955,6316893120,0.0625,0.0318,1,false
1956,6316893120,0.0625,0.0318,1,false
1957,6316893120,0.0625,0.0318,1,false
1958,6316893120,0.0625,0.0318,1,false
1959,6316893120,0.0625,0.0318,1,false
1960,6316893120,0.0625,0.0318,1,false
1961,6316893120,0.0625,0.0318,1,false
1962,6316893120,0.0625,0.0318,1,false
1963,6316893120,0.0625,0.0318,1,false
1964,6316893120,0.0625,0.0318,1,false
1965,6316893120,0.0625,0.0318,1,false
1966,6316893120,0.0625,0.0318,1,false
1967,6316893120,0.0625,0.0318,1,false
1968,6316893120,0.0625,0.0318,1,false
1969,6316893120,0.0625,0.0318,1,false
1970,6316893120,0.0625,0.0318,1,false
1971,6316893120,0.0625,0.0318,1,false
1972,6316893120,0.0625,0.0318,1,false
1973,6316893120,0.0625,0.0318,1,false
1974,6316893120,0.0625,0.0318,1,false
1975,6316893120,0.0625,0.0318,1,false
1976,6316893120,0.0625,0.0318,1,false
1977,6316893120,0.0625,0.0318,1,false
1978,6316893120,0.0625,0.0318,1,false
1979,6316893120,0.0625,0.0318,1,false
1980,6316893120,0.0625,0.0318,1,false
1981,6316893120,0.0625,0.0318,1,false
1982,6316893120,0.0625,0.0318,1,false
1983,6316893120,0.0625,0.0318,1,false
1984,6316893120,0.0625,0.0318,1,false
1985,6316893120,0.0625,0.0318,1,false
1986,6316893120,0.0625,0.0318,1,false
1987,6316893120,0.0625,0.0318,1,false
1988,6316893120,0.0625,0.0318,1,false
1989,6316893120,0.0625,0.0318,1,false
1990,6316893120,0.0625,0.0318,1,false
1991,6316893120,0.0625,0.0318,1,false
1992,6316893120,0.0625,0.0318,1,false
1993,6316893120,0.0625,0.0318,1,false
1994,6316893120,0.0625,0.0318,1,false
1995,6316893120,0.0625,0.0318,1,false
1996,6316893120,0.0625,0.0318,1,false
1997,6316893120,0.0625,0.0318,1,false
1998,6316893120,0.0625,0.0318,1,false
1999,6316893120,0.0625,0.0318,1,false
0,6316898144,0.0625,0.0318,1,false
1,6316898144,0.0625,0.0318,1,false
2,6316898144,0.0625,0.0318,1,false
3,6316898144,0.0625,0.0318,1,false
4,6316898144,0.0625,0.0318,1,false
5,6316898144,0.0625,0.0318,1,false
6,6316898144,0.0625,0.0318,1,false
7,6316898144,0.0625,0.0318,1,false
8,6316898144,0.0625,0.0318,1,false
9,6316898144,0.0625,0.0318,1,false
10,6316898144,0.0625,0.0318,1,false
11,6316898144,0.0625,0.0318,1,false
12,6316898144,0.0625,0.0318,1,false
13,6316898144,0.0625,0.0318,1,false
14,6316898144,0.0625,0.0318,1,false
15,6316898144,0.0625,0.0318,1,false
16,6316898144,0.0625,0.0318,1,false
17,6316898144,0.0625,0.0318,1,false
18,6316898144,0.0625,0.0318,1,false
19,6316898144,0.0625,0.0318,1,false
20,6316898144,0.0625,0.0318,1,false
21,6316898144,0.0625,0.0318,1,false
22,6316898144,0.0625,0.0318,1,false
23,6316898144,0.0625,0.0318,1,false
24,6316898144,0.0625,0.0318,1,false
25,6316898144,0.0625,0.0318,1,false
26,6316898144,0.0625,0.0318,1,false
27,6316898144,0.0625,0.0318,1,false
28,6316898144,0.0625,0.0318,1,false
29,6316898144,0.0625,0.0318,1,false
30,6316898144,0.0625,0.0318,1,false
31,6316898144,0.0625,0.0318,1,false
32,6316898144,0.0625,0.0318,1,false
33,6316898144,0.0625,0.0318,1,false
34,6316898144,0.0625,0.0318,1,false
35,6316898144,0.0625,0.0318,1,false
36,6316898144,0.0625,0.0318,1,false
37,6316898144,0.0625,0.0318,1,false
38,6316898144,0.0625,0.0318,1,false
39,6316898144,0.0625,0.0318,1,false
40,6316898144,0.0625,0.0318,1,false
41,6316898144,0.0625,0.0318,1,false
42,6316898144,0.0625,0.0318,1,false
43,6316898144,0.0625,0.0318,1,false
44,6316898144,0.0625,0.0318,1,false
45,6316898144,0.0625,0.0318,1,false
46,6316898144,0.0625,0.0318,1,false
47,6316898144,0.0625,0.0318,1,false
