tid,jid,cpuReq,memReq,priority,couldCreateServer
11,6035592005,0.0625,0.0318,0,true
3,6035592170,0.0625,0.0318,0,true
4,6035592170,0.0625,0.0318,0,true
5,6035592170,0.0625,0.0318,0,true
6,6035592170,0.0625,0.0318,0,true
7,6035592170,0.0625,0.0318,0,true
8,6035592170,0.0625,0.0318,0,true
1,4707865726,0.0625,0.01746,0,false
5,4707865726,0.0625,0.01746,0,false
7,4707865726,0.0625,0.01746,0,false
10,4707865726,0.0625,0.01746,0,false
11,4707865726,0.0625,0.01746,0,false
13,4707865726,0.0625,0.01746,0,false
15,4707865726,0.0625,0.01746,0,false
17,4707865726,0.0625,0.01746,0,false
19,4707865726,0.0625,0.01746,0,false
20,4707865726,0.0625,0.01746,0,false
21,4707865726,0.0625,0.01746,0,false
24,4707865726,0.0625,0.01746,0,false
27,4707865726,0.0625,0.01746,0,false
29,4707865726,0.0625,0.01746,0,false
30,4707865726,0.0625,0.01746,0,false
31,4707865726,0.0625,0.01746,0,false
33,4707865726,0.0625,0.01746,0,false
35,4707865726,0.0625,0.01746,0,false
41,4707865726,0.0625,0.01746,0,true
42,4707865726,0.0625,0.01746,0,true
43,4707865726,0.0625,0.01746,0,true
44,4707865726,0.0625,0.01746,0,false
45,4707865726,0.0625,0.01746,0,true
46,4707865726,0.0625,0.01746,0,true
47,4707865726,0.0625,0.01746,0,true
48,4707865726,0.0625,0.01746,0,false
49,4707865726,0.0625,0.01746,0,false
50,4707865726,0.0625,0.01746,0,true
51,4707865726,0.0625,0.01746,0,true
52,4707865726,0.0625,0.01746,0,true
53,4707865726,0.0625,0.01746,0,false
54,4707865726,0.0625,0.01746,0,true
55,4707865726,0.0625,0.01746,0,true
56,4707865726,0.0625,0.01746,0,true
57,4707865726,0.0625,0.01746,0,true
58,4707865726,0.0625,0.01746,0,true
59,4707865726,0.0625,0.01746,0,true
60,4707865726,0.0625,0.01746,0,true
61,4707865726,0.0625,0.01746,0,false
62,4707865726,0.0625,0.01746,0,true
63,4707865726,0.0625,0.01746,0,false
64,4707865726,0.0625,0.01746,0,true
65,4707865726,0.0625,0.01746,0,false
66,4707865726,0.0625,0.01746,0,true
67,4707865726,0.0625,0.01746,0,true
68,4707865726,0.0625,0.01746,0,false
69,4707865726,0.0625,0.01746,0,false
70,4707865726,0.0625,0.01746,0,false
71,4707865726,0.0625,0.01746,0,true
72,4707865726,0.0625,0.01746,0,true
73,4707865726,0.0625,0.01746,0,false
74,4707865726,0.0625,0.01746,0,true
75,4707865726,0.0625,0.01746,0,false
76,4707865726,0.0625,0.01746,0,false
77,4707865726,0.0625,0.01746,0,true
78,4707865726,0.0625,0.01746,0,false
79,4707865726,0.0625,0.01746,0,true
80,4707865726,0.0625,0.01746,0,false
81,4707865726,0.0625,0.01746,0,true
82,4707865726,0.0625,0.01746,0,true
83,4707865726,0.0625,0.01746,0,false
84,4707865726,0.0625,0.01746,0,true
85,4707865726,0.0625,0.01746,0,false
86,4707865726,0.0625,0.01746,0,true
87,4707865726,0.0625,0.01746,0,true
88,4707865726,0.0625,0.01746,0,false
89,4707865726,0.0625,0.01746,0,false
90,4707865726,0.0625,0.01746,0,true
91,4707865726,0.0625,0.01746,0,true
92,4707865726,0.0625,0.01746,0,true
93,4707865726,0.0625,0.01746,0,true
94,4707865726,0.0625,0.01746,0,true
95,4707865726,0.0625,0.01746,0,false
96,4707865726,0.0625,0.01746,0,false
97,4707865726,0.0625,0.01746,0,true
98,4707865726,0.0625,0.01746,0,true
99,4707865726,0.0625,0.01746,0,true
15,4374347510,0.0625,0.0159,0,true
16,4374347510,0.0625,0.0159,0,true
17,4374347510,0.0625,0.0159,0,true
18,4374347510,0.0625,0.0159,0,true
19,4374347510,0.0625,0.0159,0,true
0,4374347550,0.0625,0.0159,0,true
0,4695853952,0.0625,0.0159,0,true
0,6035591679,0.0625,0.0159,0,true
1,6035591679,0.0625,0.0159,0,true
2,6035591679,0.0625,0.0159,0,true
3,6035591679,0.0625,0.0159,0,true
4,6035591679,0.0625,0.0159,0,true
6,6035591679,0.0625,0.0159,0,true
7,6035591679,0.0625,0.0159,0,true
9,6035591679,0.0625,0.0159,0,true
10,6035591679,0.0625,0.0159,0,true
11,6035591679,0.0625,0.0159,0,true
13,6035591679,0.0625,0.0159,0,true
14,6035591679,0.0625,0.0159,0,true
15,6035591679,0.0625,0.0159,0,true
16,6035591679,0.0625,0.0159,0,true
17,6035591679,0.0625,0.0159,0,true
0,6294276474,0.0625,0.0159,0,true
186,5567180387,0.05627,0.0318,0,true
187,5567180387,0.05627,0.0318,0,true
188,5567180387,0.05627,0.0318,0,true
189,5567180387,0.05627,0.0318,0,true
190,5567180387,0.05627,0.0318,0,true
191,5567180387,0.05627,0.0318,0,true
192,5567180387,0.05627,0.0318,0,true
193,5567180387,0.05627,0.0318,0,true
194,5567180387,0.05627,0.0318,0,true
195,5567180387,0.05627,0.0318,0,true
196,5567180387,0.05627,0.0318,0,true
197,5567180387,0.05627,0.0318,0,true
198,5567180387,0.05627,0.0318,0,true
199,5567180387,0.05627,0.0318,0,true
200,5567180387,0.05627,0.0318,0,true
201,5567180387,0.05627,0.0318,0,true
202,5567180387,0.05627,0.0318,0,true
203,5567180387,0.05627,0.0318,0,true
204,5567180387,0.05627,0.0318,0,true
205,5567180387,0.05627,0.0318,0,true
206,5567180387,0.05627,0.0318,0,true
207,5567180387,0.05627,0.0318,0,true
208,5567180387,0.05627,0.0318,0,true
