tid,jid,cpuReq,memReq,priority,couldCreateServer
5,6397399151,0.03064,0.0163,4,false
6,6397399151,0.03064,0.0163,4,false
7,6397399151,0.03064,0.0163,4,false
8,6397399151,0.03064,0.0163,4,false
9,6397399151,0.03064,0.0163,4,false
10,6397399151,0.03064,0.0163,4,false
11,6397399151,0.03064,0.0163,4,false
12,6397399151,0.03064,0.0163,4,false
13,6397399151,0.03064,0.0163,4,false
14,6397399151,0.03064,0.0163,4,false
15,6397399151,0.03064,0.0163,4,false
16,6397399151,0.03064,0.0163,4,false
17,6397399151,0.03064,0.0163,4,false
18,6397399151,0.03064,0.0163,4,false
19,6397399151,0.03064,0.0163,4,false
20,6397399151,0.03064,0.0163,4,false
21,6397399151,0.03064,0.0163,4,false
22,6397399151,0.03064,0.0163,4,false
23,6397399151,0.03064,0.0163,4,false
24,6397399151,0.03064,0.0163,4,false
25,6397399151,0.03064,0.0163,4,false
26,6397399151,0.03064,0.0163,4,false
27,6397399151,0.03064,0.0163,4,false
28,6397399151,0.03064,0.0163,4,false
29,6397399151,0.03064,0.0163,4,false
30,6397399151,0.03064,0.0163,4,false
31,6397399151,0.03064,0.0163,4,false
32,6397399151,0.03064,0.0163,4,false
33,6397399151,0.03064,0.0163,4,false
34,6397399151,0.03064,0.0163,4,false
35,6397399151,0.03064,0.0163,4,false
36,6397399151,0.03064,0.0163,4,false
37,6397399151,0.03064,0.0163,4,false
38,6397399151,0.03064,0.0163,4,false
39,6397399151,0.03064,0.0163,4,false
40,6397399151,0.03064,0.0163,4,false
41,6397399151,0.03064,0.0163,4,false
42,6397399151,0.03064,0.0163,4,false
43,6397399151,0.03064,0.0163,4,false
44,6397399151,0.03064,0.0163,4,false
45,6397399151,0.03064,0.0163,4,false
46,6397399151,0.03064,0.0163,4,false
47,6397399151,0.03064,0.0163,4,false
48,6397399151,0.03064,0.0163,4,false
49,6397399151,0.03064,0.0163,4,false
50,6397399151,0.03064,0.0163,4,false
51,6397399151,0.03064,0.0163,4,false
52,6397399151,0.03064,0.0163,4,false
53,6397399151,0.03064,0.0163,4,false
54,6397399151,0.03064,0.0163,4,false
55,6397399151,0.03064,0.0163,4,false
56,6397399151,0.03064,0.0163,4,false
57,6397399151,0.03064,0.0163,4,false
58,6397399151,0.03064,0.0163,4,false
59,6397399151,0.03064,0.0163,4,false
60,6397399151,0.03064,0.0163,4,false
61,6397399151,0.03064,0.0163,4,false
62,6397399151,0.03064,0.0163,4,false
63,6397399151,0.03064,0.0163,4,false
64,6397399151,0.03064,0.0163,4,false
65,6397399151,0.03064,0.0163,4,false
66,6397399151,0.03064,0.0163,4,false
67,6397399151,0.03064,0.0163,4,false
68,6397399151,0.03064,0.0163,4,false
69,6397399151,0.03064,0.0163,4,false
70,6397399151,0.03064,0.0163,4,false
71,6397399151,0.03064,0.0163,4,false
72,6397399151,0.03064,0.0163,4,false
73,6397399151,0.03064,0.0163,4,false
74,6397399151,0.03064,0.0163,4,false
75,6397399151,0.03064,0.0163,4,false
76,6397399151,0.03064,0.0163,4,false
77,6397399151,0.03064,0.0163,4,false
78,6397399151,0.03064,0.0163,4,false
0,6369299385,0.03064,0.01317,4,false
1,6369299385,0.03064,0.01317,4,false
2,6369299385,0.03064,0.01317,4,false
3,6369299385,0.03064,0.01317,4,false
4,6369299385,0.03064,0.01317,4,false
5,6369299385,0.03064,0.01317,4,false
6,6369299385,0.03064,0.01317,4,false
7,6369299385,0.03064,0.01317,4,false
8,6369299385,0.03064,0.01317,4,false
9,6369299385,0.03064,0.01317,4,false
10,6369299385,0.03064,0.01317,4,false
11,6369299385,0.03064,0.01317,4,false
12,6369299385,0.03064,0.01317,4,false
13,6369299385,0.03064,0.01317,4,false
14,6369299385,0.03064,0.01317,4,false
15,6369299385,0.03064,0.01317,4,false
16,6369299385,0.03064,0.01317,4,false
17,6369299385,0.03064,0.01317,4,false
18,6369299385,0.03064,0.01317,4,false
19,6369299385,0.03064,0.01317,4,false
20,6369299385,0.03064,0.01317,4,false
21,6369299385,0.03064,0.01317,4,false
