tid,jid,cpuReq,memReq,priority,couldCreateServer
9,6445518056,0.03589,0.04968,4,false
10,6445518056,0.03589,0.04968,4,false
11,6445518056,0.03589,0.04968,4,false
12,6445518056,0.03589,0.04968,4,false
13,6445518056,0.03589,0.04968,4,false
14,6445518056,0.03589,0.04968,4,false
15,6445518056,0.03589,0.04968,4,false
16,6445518056,0.03589,0.04968,4,false
17,6445518056,0.03589,0.04968,4,false
18,6445518056,0.03589,0.04968,4,false
19,6445518056,0.03589,0.04968,4,false
20,6445518056,0.03589,0.04968,4,false
21,6445518056,0.03589,0.04968,4,false
22,6445518056,0.03589,0.04968,4,false
23,6445518056,0.03589,0.04968,4,false
24,6445518056,0.03589,0.04968,4,false
25,6445518056,0.03589,0.04968,4,false
26,6445518056,0.03589,0.04968,4,false
27,6445518056,0.03589,0.04968,4,false
28,6445518056,0.03589,0.04968,4,false
29,6445518056,0.03589,0.04968,4,false
30,6445518056,0.03589,0.04968,4,false
31,6445518056,0.03589,0.04968,4,false
32,6445518056,0.03589,0.04968,4,false
33,6445518056,0.03589,0.04968,4,false
34,6445518056,0.03589,0.04968,4,false
35,6445518056,0.03589,0.04968,4,false
36,6445518056,0.03589,0.04968,4,false
37,6445518056,0.03589,0.04968,4,false
38,6445518056,0.03589,0.04968,4,false
39,6445518056,0.03589,0.04968,4,false
40,6445518056,0.03589,0.04968,4,false
41,6445518056,0.03589,0.04968,4,false
42,6445518056,0.03589,0.04968,4,false
43,6445518056,0.03589,0.04968,4,false
44,6445518056,0.03589,0.04968,4,false
45,6445518056,0.03589,0.04968,4,false
46,6445518056,0.03589,0.04968,4,false
47,6445518056,0.03589,0.04968,4,false
48,6445518056,0.03589,0.04968,4,false
49,6445518056,0.03589,0.04968,4,false
50,6445518056,0.03589,0.04968,4,false
51,6445518056,0.03589,0.04968,4,false
52,6445518056,0.03589,0.04968,4,false
53,6445518056,0.03589,0.04968,4,false
54,6445518056,0.03589,0.04968,4,false
55,6445518056,0.03589,0.04968,4,false
56,6445518056,0.03589,0.04968,4,false
57,6445518056,0.03589,0.04968,4,false
58,6445518056,0.03589,0.04968,4,false
59,6445518056,0.03589,0.04968,4,false
60,6445518056,0.03589,0.04968,4,false
61,6445518056,0.03589,0.04968,4,false
62,6445518056,0.03589,0.04968,4,false
63,6445518056,0.03589,0.04968,4,false
64,6445518056,0.03589,0.04968,4,false
65,6445518056,0.03589,0.04968,4,false
66,6445518056,0.03589,0.04968,4,false
67,6445518056,0.03589,0.04968,4,false
68,6445518056,0.03589,0.04968,4,false
69,6445518056,0.03589,0.04968,4,false
70,6445518056,0.03589,0.04968,4,false
71,6445518056,0.03589,0.04968,4,false
72,6445518056,0.03589,0.04968,4,false
73,6445518056,0.03589,0.04968,4,false
74,6445518056,0.03589,0.04968,4,false
75,6445518056,0.03589,0.04968,4,false
76,6445518056,0.03589,0.04968,4,false
77,6445518056,0.03589,0.04968,4,false
78,6445518056,0.03589,0.04968,4,false
79,6445518056,0.03589,0.04968,4,false
80,6445518056,0.03589,0.04968,4,false
81,6445518056,0.03589,0.04968,4,false
82,6445518056,0.03589,0.04968,4,false
83,6445518056,0.03589,0.04968,4,false
84,6445518056,0.03589,0.04968,4,false
85,6445518056,0.03589,0.04968,4,false
86,6445518056,0.03589,0.04968,4,false
87,6445518056,0.03589,0.04968,4,false
88,6445518056,0.03589,0.04968,4,false
89,6445518056,0.03589,0.04968,4,false
90,6445518056,0.03589,0.04968,4,false
91,6445518056,0.03589,0.04968,4,false
92,6445518056,0.03589,0.04968,4,false
93,6445518056,0.03589,0.04968,4,false
94,6445518056,0.03589,0.04968,4,false
95,6445518056,0.03589,0.04968,4,false
96,6445518056,0.03589,0.04968,4,false
97,6445518056,0.03589,0.04968,4,false
98,6445518056,0.03589,0.04968,4,false
99,6445518056,0.03589,0.04968,4,false
100,6445518056,0.03589,0.04968,4,false
101,6445518056,0.03589,0.04968,4,false
102,6445518056,0.03589,0.04968,4,false
103,6445518056,0.03589,0.04968,4,false
104,6445518056,0.03589,0.04968,4,false
105,6445518056,0.03589,0.04968,4,false
106,6445518056,0.03589,0.04968,4,false
107,6445518056,0.03589,0.04968,4,false
108,6445518056,0.03589,0.04968,4,false
109,6445518056,0.03589,0.04968,4,false
110,6445518056,0.03589,0.04968,4,false
111,6445518056,0.03589,0.04968,4,false
112,6445518056,0.03589,0.04968,4,false
113,6445518056,0.03589,0.04968,4,false
114,6445518056,0.03589,0.04968,4,false
115,6445518056,0.03589,0.04968,4,false
116,6445518056,0.03589,0.04968,4,false
117,6445518056,0.03589,0.04968,4,false
118,6445518056,0.03589,0.04968,4,false
119,6445518056,0.03589,0.04968,4,false
120,6445518056,0.03589,0.04968,4,false
121,6445518056,0.03589,0.04968,4,false
122,6445518056,0.03589,0.04968,4,false
123,6445518056,0.03589,0.04968,4,false
124,6445518056,0.03589,0.04968,4,false
125,6445518056,0.03589,0.04968,4,false
126,6445518056,0.03589,0.04968,4,false
127,6445518056,0.03589,0.04968,4,false
128,6445518056,0.03589,0.04968,4,false
129,6445518056,0.03589,0.04968,4,false
130,6445518056,0.03589,0.04968,4,false
131,6445518056,0.03589,0.04968,4,false
132,6445518056,0.03589,0.04968,4,false
133,6445518056,0.03589,0.04968,4,false
134,6445518056,0.03589,0.04968,4,false
135,6445518056,0.03589,0.04968,4,false
136,6445518056,0.03589,0.04968,4,false
137,6445518056,0.03589,0.04968,4,false
138,6445518056,0.03589,0.04968,4,false
139,6445518056,0.03589,0.04968,4,false
140,6445518056,0.03589,0.04968,4,false
141,6445518056,0.03589,0.04968,4,false
142,6445518056,0.03589,0.04968,4,false
143,6445518056,0.03589,0.04968,4,false
144,6445518056,0.03589,0.04968,4,false
145,6445518056,0.03589,0.04968,4,false
146,6445518056,0.03589,0.04968,4,false
147,6445518056,0.03589,0.04968,4,false
148,6445518056,0.03589,0.04968,4,false
149,6445518056,0.03589,0.04968,4,false
150,6445518056,0.03589,0.04968,4,false
151,6445518056,0.03589,0.04968,4,false
152,6445518056,0.03589,0.04968,4,false
153,6445518056,0.03589,0.04968,4,false
154,6445518056,0.03589,0.04968,4,false
155,6445518056,0.03589,0.04968,4,false
156,6445518056,0.03589,0.04968,4,false
157,6445518056,0.03589,0.04968,4,false
158,6445518056,0.03589,0.04968,4,false
159,6445518056,0.03589,0.04968,4,false
160,6445518056,0.03589,0.04968,4,false
161,6445518056,0.03589,0.04968,4,false
162,6445518056,0.03589,0.04968,4,false
163,6445518056,0.03589,0.04968,4,false
164,6445518056,0.03589,0.04968,4,false
165,6445518056,0.03589,0.04968,4,false
166,6445518056,0.03589,0.04968,4,false
167,6445518056,0.03589,0.04968,4,false
168,6445518056,0.03589,0.04968,4,false
169,6445518056,0.03589,0.04968,4,false
170,6445518056,0.03589,0.04968,4,false
171,6445518056,0.03589,0.04968,4,false
172,6445518056,0.03589,0.04968,4,false
173,6445518056,0.03589,0.04968,4,false
174,6445518056,0.03589,0.04968,4,false
175,6445518056,0.03589,0.04968,4,false
176,6445518056,0.03589,0.04968,4,false
177,6445518056,0.03589,0.04968,4,false
178,6445518056,0.03589,0.04968,4,false
179,6445518056,0.03589,0.04968,4,false
180,6445518056,0.03589,0.04968,4,false
181,6445518056,0.03589,0.04968,4,false
182,6445518056,0.03589,0.04968,4,false
183,6445518056,0.03589,0.04968,4,false
184,6445518056,0.03589,0.04968,4,false
185,6445518056,0.03589,0.04968,4,false
186,6445518056,0.03589,0.04968,4,false
187,6445518056,0.03589,0.04968,4,false
188,6445518056,0.03589,0.04968,4,false
189,6445518056,0.03589,0.04968,4,false
190,6445518056,0.03589,0.04968,4,false
191,6445518056,0.03589,0.04968,4,false
192,6445518056,0.03589,0.04968,4,false
193,6445518056,0.03589,0.04968,4,false
194,6445518056,0.03589,0.04968,4,false
195,6445518056,0.03589,0.04968,4,false
196,6445518056,0.03589,0.04968,4,false
197,6445518056,0.03589,0.04968,4,false
198,6445518056,0.03589,0.04968,4,false
199,6445518056,0.03589,0.04968,4,false
200,6445518056,0.03589,0.04968,4,false
201,6445518056,0.03589,0.04968,4,false
202,6445518056,0.03589,0.04968,4,false
203,6445518056,0.03589,0.04968,4,false
204,6445518056,0.03589,0.04968,4,false
205,6445518056,0.03589,0.04968,4,false
