hostId,cpuCapacity,freeCpu,memCapacity,freeMem
5,0.5,0.11244,0.2493,0.002643
6,0.5,0.15124,0.2493,0.001156
7,0.5,0.026334,0.2493,9.56E-5
10,0.5,0.012506,0.2493,1.234E-4
13,0.5,0.10003,0.2493,5.43E-4
14,0.5,0.181862,0.2493,8.63E-4
19,0.5,0.10748,0.2493,1.54E-4
21,0.5,0.193762,0.2493,7.23E-4
23,0.5,0.23016,0.2493,0.00259
25,0.5,6.1E-4,0.2493,0.12363
26,0.5,0.11184,0.2493,0.001163
27,0.5,0.19931,0.2493,3.03E-4
28,0.5,0.002592,0.2493,8.798E-4
36,0.5,0.08813,0.2493,0.002091
37,0.5,0.036304,0.2493,4.914E-4
38,0.5,0.06814,0.2493,0.00185
39,0.5,0.00185,0.2493,0.07591
41,0.5,0.08495,0.2493,6.7E-4
43,0.5,0.00704,0.2493,0.08335
45,0.5,0.11877,0.2493,0.001896
46,0.5,0.21899,0.2493,2.64E-4
49,0.5,0.20001,0.2493,2.3E-5
52,0.5,0.031264,0.2493,3.508E-4
54,0.5,0.00567,0.2493,7.36E-4
56,0.5,0.0625,0.2493,0.002023
60,0.5,0.04632,0.2493,2.71E-4
61,0.5,0.035828,0.2493,2.884E-4
62,0.5,0.00622,0.2493,0.08859
63,0.5,0.12561,0.2493,0.00281
67,0.5,0.026252,0.2493,5.528E-4
68,0.5,0.02819,0.2493,2.1E-5
72,0.5,0.10626,0.2493,5.23E-4
73,0.5,0.03112,0.2493,6.88E-4
74,0.5,0.0011459,0.2493,0.001421
75,0.5,0.0044366,0.2493,0.001871
121306,0.5,0.00499,0.2493,0.002988
243096,0.5,0.088703,0.2493,0.0020748
381113,0.5,0.09359,0.4995,2.86E-4
381126,0.5,0.020522,0.4995,6.418E-4
381128,0.5,0.006202,0.4995,0.076643
381129,0.5,4.0E-5,0.4995,0.04174
381133,0.5,0.10376,0.4995,0.001126
381139,0.5,0.0019406,0.4995,9.64E-4
381227,0.5,0.02374,0.4995,5.07E-4
381233,0.5,5.21E-4,0.4995,0.01112
381234,0.5,0.00131,0.4995,0.07184
381235,0.5,0.00366,0.4995,0.15029
381236,0.5,0.0030465,0.4995,0.002301
381352,0.5,0.001922,0.4995,4.8E-4
381361,0.5,0.19377,0.2493,1.4E-5
381364,0.5,0.00628,0.4995,0.175253
381365,0.5,0.003122,0.4995,0.318216
381368,0.5,0.001054,0.4995,0.0020238
381369,0.5,6.1E-4,0.4995,0.09729
381370,0.5,0.00564,0.4995,0.271897
381371,0.5,5.512E-4,0.4995,0.010748
381374,0.5,0.0012828,0.4995,5.2E-4
381378,0.5,0.003629,0.4995,0.0855943
381381,0.5,0.001831,0.4995,0.182952
381384,0.5,1.171E-4,0.4995,0.01213
381386,0.5,0.0,0.4995,0.129201
381389,0.5,0.00496,0.4995,0.17311
410692,0.5,0.09359,0.4995,2.86E-4
410695,0.5,5.66E-4,0.4995,0.14514
418535,0.5,0.003812,0.4995,0.107684
418536,0.5,0.00484,0.4995,0.10585
418547,0.5,9.53E-5,0.4995,0.010539
418548,0.5,4.8E-4,0.4995,0.00898
418549,0.5,0.0017981,0.4995,0.002759
418551,0.5,0.0281,0.4995,1.04E-4
418552,0.5,0.0,0.4995,0.053199
