hostId,cpuCapacity,freeCpu,memCapacity,freeMem
5,0.5,0.06753,0.2493,0.00185
6,0.5,0.037552,0.2493,0.0017028
7,0.5,0.010694,0.2493,3.174E-4
10,0.5,0.21875,0.2493,0.00186
13,0.5,0.028143,0.2493,0.0019948
14,0.5,0.07293,0.2493,0.0029
19,0.5,0.01056,0.2493,4.5E-4
21,0.5,0.09436,0.2493,0.002508
23,0.5,0.13813,0.2493,0.002381
25,0.5,0.025002,0.2493,0.0018328
26,0.5,6.973E-4,0.2493,1.13E-4
27,0.5,0.094302,0.2493,6.128E-4
28,0.5,0.002402,0.2493,0.058775
36,0.5,0.0023878,0.2493,2.96E-4
37,0.5,0.009938,0.2493,3.708E-4
38,0.5,0.063082,0.2493,0.002793
39,0.5,0.17906,0.2493,2.1E-5
41,0.5,0.019264,0.2493,4.774E-4
43,0.5,0.1456,0.2493,8.13E-4
45,0.5,8.73E-5,0.2493,0.005312
46,0.5,0.06251,0.2493,5.01E-4
49,0.5,0.13876,0.2493,0.001413
52,0.5,0.026222,0.2493,3.546E-4
54,0.5,0.021314,0.2493,0.0011278
56,0.5,0.195043,0.2493,0.001928
60,0.5,0.13485,0.2493,0.00266
61,0.5,5.783E-4,0.2493,0.001862
62,0.5,0.002392,0.2493,0.00296
63,0.5,0.007424,0.2493,0.0010438
67,0.5,0.056984,0.2493,0.001963
68,0.5,0.031264,0.2493,3.52E-4
72,0.5,0.115661,0.2493,3.04E-4
73,0.5,0.10192,0.2493,6.04E-4
74,0.5,0.00621,0.2493,6.13E-4
75,0.5,0.05803,0.2493,0.002993
121306,0.5,0.0305093,0.2493,0.0019148
243096,0.5,0.0011353,0.2493,0.002684
381113,0.5,0.00794,0.4995,0.34621
381126,0.5,0.005616,0.4995,0.197231
381128,0.5,0.010962,0.4995,6.86E-4
381129,0.5,6.1E-4,0.4995,0.06326
381133,0.5,0.00236,0.4995,0.125778
381139,0.5,2.959E-4,0.4995,0.001481
381227,0.5,0.09359,0.4995,0.001064
381233,0.5,3.0E-5,0.4995,0.375714
381234,0.5,5.9E-4,0.4995,0.35434
381235,0.5,0.00314,0.4995,0.20029
381236,0.5,0.0024618,0.4995,0.003132
381352,0.5,0.00248,0.4995,0.175409
381361,0.5,0.0,0.2493,0.008604
381364,0.5,0.0018,0.4995,0.222191
381365,0.5,0.00367,0.4995,0.15954
381368,0.5,0.049962,0.4995,1.8E-5
381369,0.5,0.09359,0.4995,2.86E-4
381370,0.5,0.0030559,0.4995,0.095152
381371,0.5,4.763E-4,0.4995,0.034078
381374,0.5,0.09359,0.4995,0.001064
381378,0.5,0.001234,0.4995,0.2772
381381,0.5,8.0E-5,0.4995,0.073605
381384,0.5,0.0042673,0.4995,0.003682
381386,0.5,6.0E-7,0.4995,0.012947
381389,0.5,0.0021123,0.4995,0.00234
410692,0.5,0.0012373,0.4995,0.125686
410695,0.5,0.005022,0.4995,0.20099
418535,0.5,0.005493,0.4995,0.140605
418536,0.5,5.0E-5,0.4995,0.00599
418547,0.5,0.0031,0.4995,0.18392
418548,0.5,0.008756,0.4995,0.216744
418549,0.5,0.005642,0.4995,0.159814
418551,0.5,0.00123,0.4995,0.1172
418552,0.5,0.001761,0.4995,0.076851
418559,0.5,0.024972,0.4995,0.0019158
418560,0.5,2.719E-4,0.4995,0.028168
418561,0.5,0.007942,0.4995,0.340637
418562,0.5,5.2E-5,0.4995,0.030834
418564,0.5,0.003156,0.4995,1.39E-4
418565,0.5,0.043582,0.4995,4.428E-4
418566,0.5,0.00992,0.4995,0.17283
418570,0.5,0.038556,0.4995,0.0015018
418572,0.5,0.00935,0.4995,0.230451
418574,0.5,0.0,0.4995,0.332369
418581,0.5,0.00122,0.4995,0.25712
418583,0.5,0.005683,0.4995,0.262659
418584,0.5,0.0,0.4995,0.17867
418585,0.5,6.1E-4,0.4995,0.18978
418586,0.5,0.0024738,0.4995,8.79E-4
418588,0.5,0.01,0.4995,0.21572
418589,0.5,0.00122,0.4995,0.19863
418689,0.5,1.006E-4,0.4995,5.51E-4
418690,0.5,0.00369,0.4995,0.121745
418691,0.5,5.963E-4,0.4995,0.018676
418695,0.5,0.01061,0.4995,0.33403
418697,0.5,0.0049,0.4995,0.174902
418708,0.5,6.2E-4,0.4995,0.11846
421565,0.5,0.003142,0.4995,0.193483
421569,0.5,6.24E-4,0.4995,0.127234
421571,0.5,0.09359,0.4995,2.86E-4
421574,0.5,0.00626,0.4995,0.31227
421578,0.5,6.1E-4,0.4995,0.16654
421587,0.5,0.00496,0.4995,0.17311
421592,0.5,0.01019,0.4995,0.06042
421593,0.5,5.393E-4,0.4995,0.0315916
422053,0.5,0.02615,0.4995,3.01E-4
422055,0.5,0.0020653,0.4995,0.053527
422069,0.5,0.00312,0.4995,0.074771
422080,0.5,0.0,0.4995,0.24661
422082,0.5,0.001272,0.4995,0.144695
422084,0.5,0.00317,0.4995,0.14774
422087,0.5,0.0013653,0.4995,0.074066
