hostId,cpuCapacity,freeCpu,memCapacity,freeMem
5,0.5,0.04056,0.2493,0.01119
6,0.5,0.07059,0.2493,0.01462
7,0.5,0.14762,0.2493,0.0181
10,0.5,0.20426,0.2493,0.02981
13,0.5,0.28125,0.2493,0.04295
14,0.5,0.28125,0.2493,0.04295
19,0.5,0.28125,0.2493,0.04165
21,0.5,0.29376,0.2493,0.066491
23,0.5,0.18745,0.2493,0.02954
25,0.5,0.10043,0.2493,0.042596
26,0.5,0.306252,0.2493,0.05716
27,0.5,0.052582,0.2493,0.018828
28,0.5,0.1187,0.2493,0.2175
36,0.5,0.09991,0.2493,0.114791
37,0.5,0.25,0.2493,0.03527
38,0.5,0.28125,0.2493,0.04165
39,0.5,0.28125,0.2493,0.04165
41,0.5,0.15866,0.2493,0.045471
43,0.5,0.304394,0.2493,0.051113
45,0.5,0.1187,0.2493,0.2175
46,0.5,0.21875,0.2493,0.04041
49,0.5,0.31735,0.2493,5.5E-4
52,0.5,0.3125,0.2493,0.0496
54,0.5,0.21805,0.2493,0.00419
56,0.5,0.05316,0.2493,0.022683
60,0.5,0.25,0.2493,0.03527
61,0.5,0.125,0.2493,0.03641
62,0.5,0.15811,0.2493,0.01517
63,0.5,0.2493753,0.2493,0.067916
67,0.5,0.14942,0.2493,0.02181
68,0.5,0.216236,0.2493,0.032643
72,0.5,0.290635,0.2493,0.050862
73,0.5,0.300022,0.2493,0.04556
74,0.5,0.290636,0.2493,0.053961
75,0.5,0.125,0.2493,0.00441
121306,0.5,0.24689,0.2493,0.058246
243096,0.5,0.125,0.2493,0.17929
381113,0.5,0.10938,0.4995,0.31098
381126,0.5,0.08441,0.4995,0.190651
381128,0.5,0.06057,0.4995,0.141105
381129,0.5,0.10376,0.4995,0.309963
381133,0.5,0.25,0.4995,0.0698
381139,0.5,0.09375,0.4995,0.28372
381227,0.5,0.06501,0.4995,0.05074
381233,0.5,0.131211,0.4995,0.320602
381234,0.5,0.13434,0.4995,0.342952
381235,0.5,0.04552,0.4995,0.119961
381236,0.5,0.02442,0.4995,0.11767
381352,0.5,0.03491,0.4995,0.05765
381361,0.5,0.28125,0.2493,0.04165
381364,0.5,0.166923,0.4995,0.109824
381365,0.5,0.109383,0.4995,0.288907
381368,0.5,0.08752,0.4995,0.22887
381369,0.5,0.10305,0.4995,0.356723
381370,0.5,0.094434,0.4995,0.220613
381371,0.5,0.04375,0.4995,0.1327
381374,0.5,0.10254,0.4995,0.2404
381378,0.5,0.14995,0.4995,0.08991
381381,0.5,0.11259,0.4995,0.00976
381384,0.5,0.0769,0.4995,0.185156
381386,0.5,0.09375,0.4995,0.27414
381389,0.5,0.125,0.4995,0.353362
410692,0.5,0.125,0.4995,0.32924
410695,0.5,0.1606,0.4995,0.42308
418535,0.5,0.03923,0.4995,0.05894
418536,0.5,0.10305,0.4995,0.348465
418547,0.5,0.10868,0.4995,0.2648
418548,0.5,0.0805,0.4995,0.19716
418549,0.5,0.06878,0.4995,0.12365
418551,0.5,0.1187,0.4995,0.4677
418552,0.5,0.09635,0.4995,0.19997
418559,0.5,0.09998,0.4995,0.16777
418560,0.5,0.02747,0.4995,0.12563
418561,0.5,0.06245,0.4995,0.02137
418562,0.5,0.02676,0.4995,0.062248
418564,0.5,0.25,0.4995,0.0698
418565,0.5,0.14685,0.4995,0.303057
418566,0.5,0.15625,0.4995,0.43975
418570,0.5,0.09436,0.4995,0.29098
418572,0.5,0.19235,0.4995,0.0344
418574,0.5,0.118752,0.4995,0.298115
418581,0.5,0.10937,0.4995,0.27274
418583,0.5,0.168642,0.4995,0.089986
418584,0.5,0.0625,0.4995,0.19267
418585,0.5,0.07506,0.4995,0.19309
418586,0.5,0.123072,0.4995,0.24539
418588,0.5,0.09928,0.4995,0.34387
418589,0.5,0.0719,0.4995,0.21245
418689,0.5,0.03232,0.4995,0.01281
418690,0.5,0.06192,0.4995,0.15547
418691,0.5,0.12183,0.4995,0.33258
418695,0.5,0.08129,0.4995,0.18395
418697,0.5,0.112402,0.4995,0.311225
418708,0.5,0.0798,0.4995,0.245513
421565,0.5,0.05371,0.4995,0.137536
421569,0.5,0.125,0.4995,0.41198
421571,0.5,0.037508,0.4995,0.080454
421574,0.5,0.05813,0.4995,0.150205
421578,0.5,0.07425,0.4995,0.20238
421587,0.5,0.08439,0.4995,0.00226
421592,0.5,0.09375,0.4995,0.27074
421593,0.5,0.06115,0.4995,0.11403
422053,0.5,0.09628,0.4995,0.26479
422055,0.5,0.25,0.4995,0.0698
422069,0.5,0.09499,0.4995,0.03122
422080,0.5,0.13123,0.4995,0.30981
422082,0.5,0.10687,0.4995,0.315821
422084,0.5,0.08129,0.4995,0.20164
422087,0.5,0.12933,0.4995,0.353161
422090,0.5,0.11685,0.4995,0.03198
422091,0.5,0.125,0.4995,0.3265
450799,0.5,0.12668,0.4995,0.36367
485231,0.5,0.116262,0.4995,0.276638
485241,0.5,0.104373,0.4995,0.080906
486699,0.5,0.049198,0.4995,0.070717
486702,0.5,0.11493,0.4995,0.324491
486703,0.5,0.25,0.4995,0.0698
486704,0.5,0.09375,0.4995,0.267911
486707,0.5,0.05056,0.4995,0.01807
486711,0.5,0.07813,0.4995,0.192661
486805,0.5,0.02502,0.4995,0.03618
486816,0.5,0.19235,0.4995,0.0344
486820,0.5,0.0669,0.4995,0.40551
