hostId,cpuCapacity,freeCpu,memCapacity,freeMem
5,0.5,0.28125,0.2493,0.061833
6,0.5,0.13005,0.2493,0.02402
7,0.5,0.03748,0.2493,0.01127
10,0.5,0.3125,0.2493,0.0696
13,0.5,0.284391,0.2493,0.060273
14,0.5,0.10121,0.2493,0.13949
19,0.5,0.11495,0.2493,0.01474
21,0.5,0.27063,0.2493,0.01787
23,0.5,0.074889,0.2493,0.052882
25,0.5,0.25626,0.2493,0.04421
26,0.5,0.03125,0.2493,0.03124
27,0.5,0.28125,0.2493,0.06322
28,0.5,0.21878,0.2493,0.049235
36,0.5,0.11244,0.2493,0.031323
37,0.5,0.04365,0.2493,0.0165
38,0.5,0.08435,0.2493,0.104832
39,0.5,0.025062,0.2493,0.032978
41,0.5,0.146924,0.2493,0.028733
43,0.5,0.271881,0.2493,0.060039
45,0.5,0.25626,0.2493,0.02806
46,0.5,0.25,0.2493,0.03527
49,0.5,0.28125,0.2493,0.06322
52,0.5,0.11236,0.2493,0.014367
54,0.5,0.08866,0.2493,0.01076
56,0.5,0.3125,0.2493,0.0496
60,0.5,0.04693,0.2493,0.023221
61,0.5,0.09866,0.2493,0.01755
62,0.5,0.06387,0.2493,0.051525
63,0.5,0.13322,0.2493,0.02555
67,0.5,0.246911,0.2493,0.054055
68,0.5,0.28375,0.2493,0.05214
72,0.5,0.125,0.2493,0.00441
73,0.5,0.03192,0.2493,0.022131
74,0.5,0.1344,0.2493,0.02341
75,0.5,0.11562,0.2493,0.02951
121306,0.5,0.138723,0.2493,0.022674
243096,0.5,0.29376,0.2493,0.066491
381113,0.5,0.12125,0.4995,0.03411
381126,0.5,0.05246,0.4995,0.050761
381128,0.5,0.16923,0.4995,0.09537
381129,0.5,0.15626,0.4995,0.459928
381133,0.5,0.125,0.4995,0.41198
381139,0.5,0.12561,0.4995,0.30227
381227,0.5,0.125,0.4995,0.3265
381233,0.5,0.0493,0.4995,0.10711
381234,0.5,0.25,0.4995,0.0698
381235,0.5,0.125,0.4995,0.335818
381236,0.5,0.08855,0.4995,0.05114
381352,0.5,0.11121,0.4995,0.23724
381361,0.5,0.09375,0.2493,0.04095
381364,0.5,0.1343,0.4995,0.428791
381365,0.5,0.12051,0.4995,0.075981
381368,0.5,0.127542,0.4995,0.242835
381369,0.5,0.03181,0.4995,0.01655
381370,0.5,0.125,0.4995,0.33206
381371,0.5,0.1353,0.4995,0.361781
381374,0.5,0.071131,0.4995,0.219356
381378,0.5,0.136212,0.4995,0.055145
