hostId,cpuCapacity,freeCpu,memCapacity,freeMem
5,0.5,0.09305,0.2493,0.01323
6,0.5,0.25,0.2493,0.03142
7,0.5,0.125,0.2493,0.00441
10,0.5,0.25,0.2493,0.04679
13,0.5,0.25,0.2493,0.03709
14,0.5,0.12561,0.2493,0.17929
19,0.5,0.11877,0.2493,0.01844
21,0.5,0.28125,0.2493,0.04165
23,0.5,0.12495,0.2493,0.01355
25,0.5,0.28125,0.2493,0.04165
26,0.5,0.3118,0.2493,0.0489
27,0.5,0.03748,0.2493,0.011097
28,0.5,0.0981,0.2493,0.14065
36,0.5,0.11495,0.2493,0.01428
37,0.5,0.2931373,0.2493,0.05861
38,0.5,0.075662,0.2493,0.045706
39,0.5,0.2194183,0.2493,0.0553372
41,0.5,0.26251,0.2493,0.055453
43,0.5,0.26876,0.2493,0.057942
45,0.5,0.27502,0.2493,0.060277
46,0.5,0.06311,0.2493,0.0141
49,0.5,0.125,0.2493,0.17929
52,0.5,0.2775,0.2493,0.048475
54,0.5,0.21875,0.2493,0.03956
56,0.5,0.11194,0.2493,0.01903
60,0.5,0.09871,0.2493,0.13467
61,0.5,0.25,0.2493,0.04679
62,0.5,0.3118,0.2493,0.0489
63,0.5,0.21875,0.2493,0.04041
67,0.5,0.28125,0.2493,0.04165
68,0.5,0.28125,0.2493,0.04295
72,0.5,0.3125,0.2493,0.0496
73,0.5,0.3118,0.2493,0.0489
74,0.5,0.3118,0.2493,0.0489
75,0.5,0.25,0.2493,0.03527
121306,0.5,0.3068772,0.2493,0.052356
243096,0.5,0.19247,0.2493,0.039191
381113,0.5,0.1119153,0.4995,0.067609
381126,0.5,0.12495,0.4995,0.06681
381128,0.5,0.08752,0.4995,0.02291
381129,0.5,0.02191,0.4995,0.081133
381133,0.5,0.1550326,0.4995,0.38564
381139,0.5,0.07818,0.4995,0.212131
381227,0.5,0.07189,0.4995,0.297418
381233,0.5,0.10626,0.4995,0.308741
381234,0.5,0.02505,0.4995,0.085457
381235,0.5,0.12129,0.4995,0.32749
381236,0.5,0.08635,0.4995,0.19704
381352,0.5,0.04877,0.4995,0.11699
381361,0.5,0.2393926,0.2493,0.043539
381364,0.5,0.18612,0.4995,0.08547
381365,0.5,0.1187,0.4995,0.4677
381368,0.5,0.0794306,0.4995,0.1481308
381369,0.5,0.10305,0.4995,0.349331
381370,0.5,0.04377,0.4995,0.083863
381371,0.5,0.02495,0.4995,0.074753
381374,0.5,0.0886593,0.4995,0.177369
381378,0.5,0.06876,0.4995,0.225903
381381,0.5,0.03324,0.4995,0.10855
381384,0.5,0.11557,0.4995,0.337488
381386,0.5,0.05173,0.4995,0.04631
381389,0.5,0.03301,0.4995,0.04342
410692,0.5,0.06183,0.4995,0.18393
410695,0.5,0.11757,0.4995,0.06288
418535,0.5,0.07501,0.4995,0.212681
418536,0.5,0.11877,0.4995,0.367451
418547,0.5,0.13864,0.4995,0.34438
418548,0.5,0.05928,0.4995,0.13837
418549,0.5,0.125,0.4995,0.337371
418551,0.5,0.075024,0.4995,0.218211
418552,0.5,0.08154,0.4995,0.2341
418559,0.5,0.0819,0.4995,0.19371
418560,0.5,0.09375,0.4995,0.29663
418561,0.5,0.125,0.4995,0.342443
418562,0.5,0.062378,0.4995,0.031966
418564,0.5,0.071991,0.4995,0.218888
418565,0.5,0.02987,0.4995,0.050961
418566,0.5,0.05693,0.4995,0.03857
418570,0.5,0.087502,0.4995,0.240643
418572,0.5,0.06067,0.4995,0.1184
418574,0.5,0.0562833,0.4995,0.057005
418581,0.5,0.05004,0.4995,0.0341
418583,0.5,0.1606,0.4995,0.42308
418584,0.5,0.04187,0.4995,0.145543
418585,0.5,0.10626,0.4995,0.29162
418586,0.5,0.12811,0.4995,0.336823
418588,0.5,0.06985,0.4995,0.19901
418589,0.5,0.12241,0.4995,0.272451
418689,0.5,0.15625,0.4995,0.43975
418690,0.5,0.13241,0.4995,0.04858
418691,0.5,0.06192,0.4995,0.196483
418695,0.5,0.19235,0.4995,0.0185
418697,0.5,0.04302,0.4995,0.01738
418708,0.5,0.08752,0.4995,0.01344
421565,0.5,0.10625,0.4995,0.0485
421569,0.5,0.12811,0.4995,0.341481
421571,0.5,0.02808,0.4995,0.02728
421574,0.5,0.1606,0.4995,0.42308
421578,0.5,0.08752,0.4995,0.28835
421587,0.5,0.19235,0.4995,0.0185
421592,0.5,0.1187,0.4995,0.03426
421593,0.5,0.108,0.4995,0.03274
422053,0.5,0.0993553,0.4995,0.07614
422055,0.5,0.06373,0.4995,0.0072
422069,0.5,0.09001,0.4995,0.19158
422080,0.5,0.0819,0.4995,0.19371
422082,0.5,0.02563,0.4995,0.07721
422084,0.5,0.0862696,0.4995,0.17017
422087,0.5,0.107469,0.4995,0.228462
422090,0.5,0.03177,0.4995,0.082932
422091,0.5,0.15312,0.4995,0.439957
450799,0.5,0.1187,0.4995,0.2749
485231,0.5,0.08557,0.4995,0.25151
485241,0.5,0.10739,0.4995,0.05114
486699,0.5,0.06244,0.4995,0.19247
486702,0.5,0.10196,0.4995,0.25957
486703,0.5,0.125,0.4995,0.32534
486704,0.5,0.02568,0.4995,0.118281
486707,0.5,0.13562,0.4995,0.34801
486711,0.5,0.0281,0.4995,0.0241
486805,0.5,0.09375,0.4995,0.28952
486816,0.5,0.04971,0.4995,0.211608
486820,0.5,0.19235,0.4995,0.0185
486821,0.5,0.20175,0.4995,0.09357
486826,0.5,0.02563,0.4995,0.097111
486827,0.5,0.0968336,0.4995,0.236523
486956,0.5,0.01879,0.4995,0.057431
486957,0.5,0.05005,0.4995,0.154335
486958,0.5,0.02566,0.4995,0.072614
486959,0.5,0.18612,0.4995,0.08547
486961,0.5,0.068752,0.4995,0.120969
487295,0.5,0.03753,0.4995,0.145673
487385,0.5,0.15625,0.4995,0.465713
487386,0.5,0.0843,0.4995,0.19384
487390,0.5,0.10754,0.4995,0.279488
487391,0.5,0.18435,0.4995,0.0605
487397,0.5,0.10858,0.4995,0.27523
487399,0.5,0.10548,0.4995,0.352314
487402,0.5,0.0387213,0.4995,0.069826
487403,0.5,0.03059,0.4995,0.04815
487404,0.5,0.03942,0.4995,0.04859
487407,0.5,0.10061,0.4995,0.290948
487411,0.5,0.04945,0.4995,0.01894
487414,0.5,0.053202,0.4995,0.141918
487535,0.5,0.07191,0.4995,0.02801
487538,0.5,0.0625,0.4995,0.19413
487541,0.5,0.07113,0.4995,0.22012
487545,0.5,0.19235,0.4995,0.0185
487547,0.5,0.04547,0.4995,0.04803
487548,0.5,0.09998,0.4995,0.28325
495767,0.5,0.07806,0.4995,0.200461
514995,0.5,0.1087913,0.4995,0.059842
514996,0.5,0.00929,0.4995,0.069141
567335,0.5,0.118722,0.4995,0.245135
567336,0.5,0.02115,0.4995,0.08727
567341,0.5,0.07185,0.4995,0.20467
567345,0.5,0.06885,0.4995,0.17959
567348,0.5,0.126262,0.4995,0.327287
567376,0.5,0.07563,0.4995,0.222873
567377,0.5,0.1313,0.4995,0.35411
567382,0.5,0.1187,0.4995,0.4677
567383,0.5,0.125,0.4995,0.359787
567596,0.5,0.0906556,0.4995,0.226407
567597,0.5,0.08752,0.4995,0.27482
567599,0.5,0.09436,0.4995,0.3034
567601,0.5,0.08752,0.4995,0.00868
567604,0.5,0.06112,0.4995,0.03358
567608,0.5,0.106263,0.4995,0.286046
567610,0.5,0.09934,0.4995,0.283363
567611,0.5,0.1606,0.4995,0.42308
567616,0.5,0.01311,0.4995,0.03717
567617,0.5,0.08813,0.4995,0.30156
567618,0.5,0.0838,0.4995,0.208431
567624,0.5,0.074321,0.4995,0.211542
567626,0.5,0.14063,0.4995,0.355592
567748,0.5,0.04691,0.4995,0.125894
567752,0.5,0.01565,0.4995,0.0642
567756,0.5,0.03759,0.4995,0.057212
567757,0.5,0.1187,0.4995,0.4677
567763,0.5,0.19235,0.4995,0.0185
567764,0.5,0.18612,0.4995,0.08547
567769,0.5,0.02502,0.4995,0.125525
567777,0.5,0.19235,0.4995,0.0185
567780,0.5,0.19235,0.4995,0.0185
567782,0.5,0.09064,0.4995,0.273361
567783,0.5,0.1461493,0.4995,0.0660853
567790,0.5,0.1187,0.4995,0.2749
567902,0.5,0.08752,0.4995,0.25753
567907,0.5,0.10571,0.4995,0.04145
567909,0.5,0.09692,0.4995,0.364772
567910,0.5,0.19235,0.4995,0.0185
567917,0.5,0.04063,0.4995,0.03885
567920,0.5,0.03595,0.4995,0.0417
567924,0.5,0.10254,0.4995,0.26851
567929,0.5,0.12495,0.4995,0.06681
567930,0.5,0.00757,0.4995,0.07804
567933,0.5,0.125,0.4995,0.330504
568912,0.5,0.1211,0.4995,0.34295
595665,0.5,0.05826,0.4995,0.16354
595666,0.5,0.03232,0.4995,0.05944
595672,0.5,0.08362,0.4995,0.03177
595677,0.5,0.1187,0.4995,0.4677
599601,0.5,0.0706506,0.4995,0.109788
599604,0.5,0.05002,0.4995,0.151761
599605,0.5,0.08375,0.4995,0.239994
599607,0.5,0.113114,0.4995,0.312811
599610,0.5,0.19235,0.4995,0.0185
599614,0.5,0.125,0.4995,0.34007
599619,0.5,0.05627,0.4995,0.16393
599620,0.5,0.07813,0.4995,0.21569
599621,0.5,0.08574,0.4995,0.19069
599623,0.5,0.07185,0.4995,0.186219
599624,0.5,0.0411,0.4995,0.03499
599626,0.5,0.02498,0.4995,0.060126
599632,0.5,0.09375,0.4995,0.312808
599637,0.5,0.02502,0.4995,0.109901
599756,0.5,0.05569,0.4995,0.01441
599757,0.5,0.13746,0.4995,0.39455
599758,0.5,0.06327,0.4995,0.118558
599760,0.5,0.1343,0.4995,0.34218
599763,0.5,0.03324,0.4995,0.13222
599764,0.5,0.07501,0.4995,0.21435
599765,0.5,0.02298,0.4995,0.07414
599770,0.5,0.1368853,0.4995,0.065371
599788,0.5,0.1323953,0.4995,0.248458
599792,0.5,0.0373153,0.4995,0.059303
599793,0.5,0.0813,0.4995,0.2694
599794,0.5,0.11877,0.4995,0.335141
602943,0.5,0.12183,0.4995,0.37801
602945,0.5,0.125,0.4995,0.34007
602946,0.5,0.03964,0.4995,0.057605
602948,0.5,0.131276,0.4995,0.360737
602949,0.5,0.05628,0.4995,0.027281
602951,0.5,0.18435,0.4995,0.0605
602953,0.5,0.08055,0.4995,0.214491
602954,0.5,0.09245,0.4995,0.20492
602955,0.5,0.10937,0.4995,0.00174
602962,0.5,0.1156,0.4995,0.366972
602971,0.5,0.0719,0.4995,0.17515
602972,0.5,0.09126,0.4995,0.197353
602973,0.5,0.12183,0.4995,0.391177
602974,0.5,0.10376,0.4995,0.262471
602978,0.5,0.071882,0.4995,0.170418
602979,0.5,0.1344,0.4995,0.3593
602980,0.5,0.0805,0.4995,0.20357
602981,0.5,0.125,0.4995,0.41198
