hostId,cpuCapacity,freeCpu,memCapacity,freeMem
5,0.5,0.288763,0.2493,0.054997
6,0.5,0.04374,0.2493,0.047041
7,0.5,0.2236,0.2493,0.002783
10,0.5,0.306252,0.2493,0.065625
13,0.5,0.1394,0.2493,0.00257
14,0.5,0.17185,0.2493,4.7E-4
19,0.5,0.0981,0.2493,0.168218
21,0.5,0.28125,0.2493,0.06322
23,0.5,0.20001,0.2493,0.046881
25,0.5,0.25,0.2493,0.03527
26,0.5,0.3118,0.2493,0.0489
27,0.5,0.104415,0.2493,0.024423
28,0.5,0.212502,0.2493,0.051635
36,0.5,0.13882,0.2493,0.01822
37,0.5,0.12756,0.2493,0.02951
38,0.5,0.1180853,0.2493,0.032972
39,0.5,0.13948,0.2493,0.02838
41,0.5,0.3118,0.2493,0.0489
43,0.5,0.28125,0.2493,0.06322
45,0.5,0.253133,0.2493,0.050009
46,0.5,0.20062,0.2493,0.034192
49,0.5,0.03753,0.2493,0.032822
52,0.5,0.125,0.2493,0.00441
54,0.5,0.13379,0.2493,0.00858
56,0.5,0.15003,0.2493,0.02181
60,0.5,0.08933,0.2493,0.04053
61,0.5,0.10122,0.2493,0.01027
62,0.5,0.1431,0.2493,0.02744
63,0.5,0.13985,0.2493,0.01681
67,0.5,0.27502,0.2493,0.054066
68,0.5,0.3043753,0.2493,0.065426
72,0.5,0.117415,0.2493,0.023736
73,0.5,0.15202,0.2493,0.01828
74,0.5,0.34375,0.2493,0.07725
75,0.5,0.125,0.2493,0.16418
121306,0.5,0.0819,0.2493,0.029642
243096,0.5,0.281264,0.2493,0.060185
381113,0.5,0.10245,0.4995,0.27607
381126,0.5,0.1643406,0.4995,0.373058
381128,0.5,0.21805,0.4995,0.0764
381129,0.5,0.162512,0.4995,0.463815
381133,0.5,0.100026,0.4995,0.22952
381139,0.5,0.125,0.4995,0.25003
381227,0.5,0.19235,0.4995,0.0185
381233,0.5,0.08938,0.4995,0.018469
381234,0.5,0.0362806,0.4995,0.071959
381235,0.5,0.08813,0.4995,0.295274
381236,0.5,0.19235,0.4995,0.0185
381352,0.5,0.074922,0.4995,0.218989
381361,0.5,0.09378,0.2493,0.030473
381364,0.5,0.085522,0.4995,0.058495
381365,0.5,0.06738,0.4995,0.12719
381368,0.5,0.0313,0.4995,0.083704
381369,0.5,0.19235,0.4995,0.0185
381370,0.5,0.099922,0.4995,0.158765
381371,0.5,0.1343,0.4995,0.35176
381374,0.5,0.06747,0.4995,0.218602
381378,0.5,0.125,0.4995,0.369191
381381,0.5,0.19235,0.4995,0.0185
381384,0.5,0.125,0.4995,0.368012
381386,0.5,0.14374,0.4995,0.3265
381389,0.5,0.05627,0.4995,0.141064
410692,0.5,0.02382,0.4995,0.118661
410695,0.5,0.125,0.4995,0.36686
418535,0.5,0.0669,0.4995,0.40551
418536,0.5,0.084381,0.4995,0.214362
418547,0.5,0.0894703,0.4995,0.182449
418548,0.5,0.10739,0.4995,0.05114
418549,0.5,0.10195,0.4995,0.2474
418551,0.5,0.12232,0.4995,0.04788
418552,0.5,0.132392,0.4995,0.076233
418559,0.5,0.13864,0.4995,0.04078
418560,0.5,0.1187,0.4995,0.4677
418561,0.5,0.11365,0.4995,0.06008
418562,0.5,0.21805,0.4995,0.0764
418564,0.5,0.1293273,0.4995,0.247204
418565,0.5,0.11739,0.4995,0.01483
418566,0.5,0.07815,0.4995,0.01796
418570,0.5,0.1843,0.4995,0.03148
418572,0.5,0.1837513,0.4995,0.458342
418574,0.5,0.07046,0.4995,0.049701
418581,0.5,0.069386,0.4995,0.096225
418583,0.5,0.135592,0.4995,0.240594
