hostId,cpuCapacity,freeCpu,memCapacity,freeMem
5,0.5,0.002343,0.2493,0.097932
6,0.5,0.00372,0.2493,0.17172
7,0.5,0.0023795,0.2493,3.632E-4
10,0.5,0.0150193,0.2493,6.7634E-4
13,0.5,0.0767578,0.2493,2.514E-4
14,0.5,0.1467806,0.2493,5.686E-4
19,0.5,0.0873996,0.2493,5.954E-4
21,0.5,0.1456606,0.2493,2.038E-4
23,0.5,0.21875,0.2493,0.00283
25,0.5,0.1512906,0.2493,5.148E-4
26,0.5,0.10241,0.2493,4.14E-4
27,0.5,0.12426,0.2493,4.13E-4
28,0.5,0.184986,0.2493,3.5E-4
36,0.5,0.17378,0.2493,3.24E-4
37,0.5,0.1550006,0.2493,9.08E-4
38,0.5,5.32E-5,0.2493,2.08E-5
39,0.5,0.01272,0.2493,4.91E-4
41,0.5,0.21875,0.2493,0.00283
43,0.5,0.1075559,0.2493,3.414E-4
45,0.5,0.1318406,0.2493,7.86E-5
46,0.5,0.21563,0.2493,5.54E-4
49,0.5,0.19983,0.2493,3.61E-4
52,0.5,0.064732,0.2493,3.02E-4
54,0.5,3.1E-5,0.2493,0.002024
56,0.5,0.17497,0.2493,0.00199
60,0.5,0.22501,0.2493,0.00188
61,0.5,0.21875,0.2493,0.00283
62,0.5,0.0,0.2493,0.022086
63,0.5,0.31735,0.2493,5.5E-4
67,0.5,0.20627,0.2493,0.001793
68,0.5,0.0019448,0.2493,3.984E-4
72,0.5,0.0024803,0.2493,3.748E-4
73,0.5,0.0017012,0.2493,0.0524182
74,0.5,0.0306393,0.2493,3.516E-4
75,0.5,0.021881,0.2493,3.1E-5
121306,0.5,0.175039,0.2493,5.34E-4
243096,0.5,0.125,0.2493,3.8E-4
381113,0.5,0.0013006,0.4995,7.77E-4
381126,0.5,4.993E-4,0.4995,0.0574188
381128,0.5,5.983E-4,0.4995,1.3E-4
381129,0.5,0.04371,0.4995,1.01E-4
381133,0.5,0.00859,0.4995,0.159357
381139,0.5,0.0042659,0.4995,0.0663654
381227,0.5,0.0031,0.4995,0.28466
381233,0.5,0.0105013,0.4995,0.284243
381234,0.5,0.0044853,0.4995,2.963E-4
381235,0.5,0.0030165,0.4995,0.130367
381236,0.5,4.759E-4,0.4995,0.0198268
381352,0.5,6.006E-4,0.4995,0.0711456
381361,0.5,0.018772,0.2493,1.3E-5
381364,0.5,0.0612506,0.4995,6.66E-5
381365,0.5,0.0018959,0.4995,0.1213014
381368,0.5,0.0044,0.4995,0.27831
381369,0.5,6.426E-4,0.4995,0.0718156
381370,0.5,4.479E-4,0.4995,0.010132
381371,0.5,0.0030165,0.4995,0.131798
381374,0.5,0.013608,0.4995,1.2E-4
381378,0.5,1.279E-4,0.4995,0.029641
381381,0.5,6.159E-4,0.4995,0.1038884
381384,0.5,0.0,0.4995,0.08046
381386,0.5,0.0024032,0.4995,6.624E-4
381389,0.5,4.6E-4,0.4995,0.04387
410692,0.5,3.53E-5,0.4995,0.0522728
410695,0.5,8.0E-5,0.4995,0.05013
418535,0.5,0.0016671,0.4995,0.1109496
418536,0.5,0.0036012,0.4995,0.1444732
418547,0.5,0.0634553,0.4995,2.408E-4
418548,0.5,5.532E-4,0.4995,0.1350962
418549,0.5,0.0056153,0.4995,0.0764268
418551,0.5,0.03547,0.4995,1.1E-4
418552,0.5,2.2E-5,0.4995,0.07589
418559,0.5,0.0017858,0.4995,3.36E-4
418560,0.5,5.916E-4,0.4995,0.0718266
418561,0.5,0.03126,0.4995,2.78E-4
418562,0.5,0.0022959,0.4995,0.1345484
418564,0.5,0.0293169,0.4995,2.014E-4
418565,0.5,4.46E-5,0.4995,0.275771
418566,0.5,0.0,0.4995,0.0457
418570,0.5,5.3E-4,0.4995,0.070917
418572,0.5,5.2E-5,0.4995,0.02836
418574,0.5,4.879E-4,0.4995,0.0405448
418581,0.5,9.59E-5,0.4995,0.0579848
418583,0.5,0.0010318,0.4995,0.0741988
418584,0.5,0.0031065,0.4995,0.115454
418585,0.5,0.0011165,0.4995,0.112541
418586,0.5,6.3E-5,0.4995,0.161359
418588,0.5,5.92E-4,0.4995,0.1303
418589,0.5,6.16E-5,0.4995,0.0721906
418689,0.5,4.476E-4,0.4995,8.44E-5
418690,0.5,0.182981,0.4995,0.0026
418691,0.5,0.00439,0.4995,0.17754
418695,0.5,4.732E-4,0.4995,0.0106368
418697,0.5,5.4E-4,0.4995,0.066933
418708,0.5,7.12E-5,0.4995,0.013549
