hostId,cpuCapacity,freeCpu,memCapacity,freeMem
5,0.5,0.15686,0.2493,7.7E-4
6,0.5,0.0030123,0.2493,0.004214
7,0.5,0.07752,0.2493,0.00196
10,0.5,0.2375,0.2493,0.002891
13,0.5,0.025012,0.2493,0.0019948
14,0.5,0.006164,0.2493,4.18E-5
19,0.5,0.00682,0.2493,0.152713
21,0.5,0.013202,0.2493,0.0013428
23,0.5,0.009382,0.2493,0.00181754
25,0.5,0.0011259,0.2493,8.35E-4
26,0.5,0.006272,0.2493,9.958E-4
27,0.5,0.046744,0.2493,0.0021368
28,0.5,0.18811,0.2493,0.00232
36,0.5,0.090062,0.2493,5.39E-4
37,0.5,0.11367,0.2493,0.001926
38,0.5,0.090062,0.2493,5.39E-4
39,0.5,0.037364,0.2493,3.208E-4
41,0.5,0.08183,0.2493,6.74E-4
43,0.5,0.23315,0.2493,0.00182
45,0.5,0.018754,0.2493,0.0011908
46,0.5,0.01251,0.2493,2.3E-5
49,0.5,0.05555,0.2493,1.26E-4
52,0.5,0.031264,0.2493,0.0015448
54,0.5,0.183113,0.2493,0.001774
56,0.5,2.0E-6,0.2493,0.005229
60,0.5,0.11747,0.2493,0.001149
61,0.5,0.15825,0.2493,0.00242
62,0.5,0.0013253,0.2493,0.003377
63,0.5,0.091992,0.2493,2.658E-4
67,0.5,0.116271,0.2493,3.0E-5
68,0.5,0.029922,0.2493,0.0023228
72,0.5,0.00317,0.2493,0.118774
73,0.5,0.043756,0.2493,0.0013638
74,0.5,0.017578,0.2493,3.838E-4
75,0.5,0.0254993,0.2493,1.464E-4
121306,0.5,0.045632,0.2493,2.32E-4
243096,0.5,0.2431273,0.2493,4.34E-4
381113,0.5,0.0,0.4995,0.122743
381126,0.5,0.06735,0.4995,0.00242
381128,0.5,0.0,0.4995,0.36431
381129,0.5,0.00496,0.4995,0.23898
381133,0.5,0.00305,0.4995,0.18538
381139,0.5,0.09359,0.4995,0.001064
381227,0.5,0.0056,0.4995,0.359413
381233,0.5,0.006872,0.4995,0.278129
381234,0.5,0.008,0.4995,0.33839
381235,0.5,0.003742,0.4995,0.255312
381236,0.5,0.00114,0.4995,4.5E-4
381352,0.5,0.004952,0.4995,0.058203
381361,0.5,0.0,0.2493,0.0584
381364,0.5,0.0,0.4995,0.03512
381365,0.5,5.153E-4,0.4995,0.007327
381368,0.5,0.00563,0.4995,0.1393
381369,0.5,0.003813,0.4995,0.201944
381370,0.5,0.0056053,0.4995,0.086079
381371,0.5,0.026758,0.4995,0.0010878
381374,0.5,0.0020085,0.4995,0.022512
381378,0.5,0.0,0.4995,0.228538
381381,0.5,0.00489,0.4995,0.001098
381384,0.5,0.003763,0.4995,0.087431
381386,0.5,0.009392,0.4995,0.295858
381389,0.5,0.004952,0.4995,0.111663
410692,0.5,0.00687,0.4995,0.21964
410695,0.5,0.005621,0.4995,0.217202
418535,0.5,0.042462,0.4995,0.0016658
418536,0.5,6.1E-4,0.4995,0.25456
418547,0.5,0.0,0.4995,0.22164
418548,0.5,0.039252,0.4995,0.0015428
418549,0.5,0.007392,0.4995,2.49E-4
418551,0.5,0.02048,0.4995,6.31E-4
418552,0.5,0.0011013,0.4995,0.001558
418559,0.5,0.00714,0.4995,0.253703
418560,0.5,0.0,0.4995,0.4041
418561,0.5,6.1E-4,0.4995,0.1759
418562,0.5,0.03173,0.4995,3.0E-5
418564,0.5,0.00924,0.4995,0.245414
418565,0.5,4.706E-4,0.4995,0.005894
418566,0.5,0.00575,0.4995,0.05583
418570,0.5,0.0062,0.4995,2.54E-4
418572,0.5,0.0056873,0.4995,0.0735183
418574,0.5,4.16E-4,0.4995,0.027086
418581,0.5,0.0,0.4995,0.083851
418583,0.5,0.0024465,0.4995,0.011025
418584,0.5,0.008123,0.4995,0.269918
418585,0.5,0.0062473,0.4995,0.321816
418586,0.5,0.0025773,0.4995,0.002907
418588,0.5,0.0,0.4995,0.132258
418589,0.5,0.06735,0.4995,2.3E-4
418689,0.5,0.00181,0.4995,0.112277
418690,0.5,0.0,0.4995,0.08756
418691,0.5,0.00496,0.4995,0.23898
418695,0.5,0.00741,0.4995,2.9E-4
418697,0.5,0.0044059,0.4995,0.003846
418708,0.5,0.001876,0.4995,0.00271
421565,0.5,0.0494293,0.4995,0.0021818
421569,0.5,0.006962,0.4995,0.0015358
421571,0.5,0.00371,0.4995,0.25994
421574,0.5,0.003072,0.4995,0.001112
421578,0.5,0.0012299,0.4995,0.041262
421587,0.5,6.1E-4,0.4995,0.24487
421592,0.5,0.00613,0.4995,0.129801
421593,0.5,0.00621,0.4995,0.206045
422053,0.5,6.1E-4,0.4995,0.226312
422055,0.5,1.0E-5,0.4995,0.27454
422069,0.5,6.012E-4,0.4995,0.007751
422080,0.5,0.06605,0.4995,6.06E-4
422082,0.5,0.004892,0.4995,0.0012928
422084,0.5,0.088932,0.4995,0.001023
422087,0.5,0.09359,0.4995,2.86E-4
422090,0.5,0.00313,0.4995,0.21148
422091,0.5,5.0E-5,0.4995,0.04699
450799,0.5,2.4E-5,0.4995,0.051991
485231,0.5,5.193E-4,0.4995,0.008923
485241,0.5,0.0,0.4995,0.131671
486699,0.5,2.82E-4,0.4995,0.162028
486702,0.5,0.00426,0.4995,0.083661
486703,0.5,0.07123,0.4995,3.53E-4
486704,0.5,0.0,0.4995,0.17223
486707,0.5,1.12E-5,0.4995,0.033168
486711,0.5,0.093762,0.4995,1.3E-5
486805,0.5,5.006E-4,0.4995,0.001317
486816,0.5,0.00621,0.4995,0.245076
486820,0.5,0.06735,0.4995,0.00242
486821,0.5,6.212E-4,0.4995,0.030848
486826,0.5,0.001144,0.4995,7.09E-4
486827,0.5,1.0E-5,0.4995,0.147241
486956,0.5,0.0,0.4995,0.205705
486957,0.5,0.038642,0.4995,1.97E-4
486958,0.5,0.01425,0.4995,7.13E-4
486959,0.5,9.03E-5,0.4995,0.004319
486961,0.5,0.0,0.4995,0.24105
487295,0.5,0.0,0.4995,0.257221
487385,0.5,0.00524,0.4995,0.29694
487386,0.5,0.01186,0.4995,0.217637
487390,0.5,0.00682,0.4995,0.402913
487391,0.5,6.24E-4,0.4995,0.194145
487397,0.5,5.9E-4,0.4995,0.034861
487399,0.5,5.4E-4,0.4995,0.124643
487402,0.5,0.0,0.4995,0.22293
487403,0.5,8.565E-4,0.4995,0.012629
487404,0.5,0.09359,0.4995,0.001064
487407,0.5,0.0025259,0.4995,0.012295
487411,0.5,0.0025138,0.4995,0.001742
487414,0.5,1.2E-5,0.4995,0.028915
487535,0.5,0.0017085,0.4995,0.007192
487538,0.5,0.06469,0.4995,0.001304
487541,0.5,5.779E-4,0.4995,0.035476
487545,0.5,0.0,0.4995,0.133727
487547,0.5,0.0055413,0.4995,7.69E-4
487548,0.5,0.0012206,0.4995,0.007234
495767,0.5,0.0,0.4995,0.1428
514995,0.5,1.74E-4,0.4995,0.008315
514996,0.5,0.00314,0.4995,0.356695
567335,0.5,5.906E-4,0.4995,0.005016
567336,0.5,3.2E-5,0.4995,0.016475
567341,0.5,0.001154,0.4995,6.54E-4
567345,0.5,0.001793,0.4995,0.067623
567348,0.5,6.1E-4,0.4995,0.08769
567376,0.5,2.82E-4,0.4995,0.154203
567377,0.5,0.003946,0.4995,0.093848
567382,0.5,0.00682,0.4995,0.403691
567383,0.5,0.0019012,0.4995,0.001397
567596,0.5,0.00714,0.4995,0.252375
567597,0.5,5.433E-4,0.4995,0.002065
567599,0.5,0.06735,0.4995,0.00242
567601,0.5,2.179E-4,0.4995,0.004214
567604,0.5,3.06E-4,0.4995,0.038775
567608,0.5,1.702E-4,0.4995,7.8E-4
567610,0.5,6.2E-4,0.4995,0.239701
567611,0.5,0.06735,0.4995,0.00242
567616,0.5,0.00326,0.4995,0.336691
567617,0.5,0.012492,0.4995,0.26604
567618,0.5,0.002436,0.4995,0.058018
567624,0.5,0.02304,0.4995,5.44E-4
567626,0.5,3.53E-4,0.4995,0.022823
567748,0.5,0.0,0.4995,0.183101
567752,0.5,0.0,0.4995,0.244311
567756,0.5,0.003662,0.4995,0.088013
567757,0.5,7.53E-5,0.4995,0.002317
567763,0.5,0.0028,0.4995,0.09545
567764,0.5,0.004381,0.4995,0.209792
567769,0.5,0.16876,0.4995,0.002313
567777,0.5,6.22E-4,0.4995,0.131736
567780,0.5,6.56E-4,0.4995,0.077771
567782,0.5,0.039862,0.4995,0.0015428
567783,0.5,0.0017513,0.4995,0.202816
567790,0.5,6.153E-4,0.4995,0.030177
567902,0.5,0.0,0.4995,0.11562
567907,0.5,0.00114,0.4995,1.1E-4
567909,0.5,0.00559,0.4995,0.261786
567910,0.5,0.0025942,0.4995,0.002435
567917,0.5,0.0017866,0.4995,0.002257
567920,0.5,0.0,0.4995,0.262471
567924,0.5,0.006082,0.4995,0.093155
567929,0.5,0.0,0.4995,0.170693
567930,0.5,6.1E-4,0.4995,0.05587
567933,0.5,4.899E-4,0.4995,0.003753
568912,0.5,0.0031,0.4995,0.2538
595665,0.5,0.0,0.4995,0.36431
595666,0.5,0.0029843,0.4995,0.007464
595672,0.5,0.06735,0.4995,0.00242
595677,0.5,0.00168,0.4995,0.06188
599601,0.5,1.0E-5,0.4995,0.06738
599604,0.5,0.00484,0.4995,0.20404
599605,0.5,3.12E-5,0.4995,0.024069
599607,0.5,0.028072,0.4995,0.0021498
599610,0.5,0.0024532,0.4995,4.96E-4
599614,0.5,0.13275,0.4995,5.61E-4
599619,0.5,5.153E-4,0.4995,0.023907
599620,0.5,0.00253,0.4995,0.010036
599621,0.5,4.906E-4,0.4995,0.017414
599623,0.5,0.00496,0.4995,0.23898
599624,0.5,2.0E-6,0.4995,0.052053
599626,0.5,0.021145,0.4995,0.0010468
599632,0.5,0.003,0.4995,0.139175
599637,0.5,8.92E-4,0.4995,0.121031
599756,0.5,6.1E-4,0.4995,0.197831
599757,0.5,0.0049406,0.4995,0.002844
599758,0.5,0.021782,0.4995,0.0015998
599760,0.5,2.506E-4,0.4995,0.021014
599763,0.5,0.09359,0.4995,0.001064
599764,0.5,0.0055773,0.4995,0.04216
599765,0.5,0.00562,0.4995,0.30491
599770,0.5,0.00689,0.4995,0.192445
599788,0.5,0.00496,0.4995,0.23898
599792,0.5,0.1187,0.4995,4.9E-4
599793,0.5,0.0042659,0.4995,0.006828
599794,0.5,0.006766,0.4995,3.128E-4
602943,0.5,0.0,0.4995,0.166261
602945,0.5,0.0019173,0.4995,0.239707
602946,0.5,0.0056373,0.4995,0.122975
602948,0.5,2.059E-4,0.4995,0.005806
602949,0.5,5.22E-4,0.4995,0.00106
602951,0.5,2.82E-4,0.4995,0.198821
602953,0.5,0.0044226,0.4995,0.001104
