tid,jid,cpuReq,memReq,priority,couldCreateServer
439,4857082814,0.0625,0.04773,2,false
440,4857082814,0.0625,0.04773,2,false
441,4857082814,0.0625,0.04773,2,false
442,4857082814,0.0625,0.04773,2,false
443,4857082814,0.0625,0.04773,2,false
444,4857082814,0.0625,0.04773,2,false
445,4857082814,0.0625,0.04773,2,false
446,4857082814,0.0625,0.04773,2,false
447,4857082814,0.0625,0.04773,2,false
448,4857082814,0.0625,0.04773,2,false
449,4857082814,0.0625,0.04773,2,false
450,4857082814,0.0625,0.04773,2,false
451,4857082814,0.0625,0.04773,2,false
452,4857082814,0.0625,0.04773,2,false
453,4857082814,0.0625,0.04773,2,false
454,4857082814,0.0625,0.04773,2,false
455,4857082814,0.0625,0.04773,2,false
456,4857082814,0.0625,0.04773,2,false
457,4857082814,0.0625,0.04773,2,false
458,4857082814,0.0625,0.04773,2,false
459,4857082814,0.0625,0.04773,2,false
460,4857082814,0.0625,0.04773,2,false
461,4857082814,0.0625,0.04773,2,false
462,4857082814,0.0625,0.04773,2,false
463,4857082814,0.0625,0.04773,2,false
464,4857082814,0.0625,0.04773,2,false
465,4857082814,0.0625,0.04773,2,false
466,4857082814,0.0625,0.04773,2,false
467,4857082814,0.0625,0.04773,2,false
468,4857082814,0.0625,0.04773,2,false
469,4857082814,0.0625,0.04773,2,false
470,4857082814,0.0625,0.04773,2,false
471,4857082814,0.0625,0.04773,2,false
472,4857082814,0.0625,0.04773,2,false
473,4857082814,0.0625,0.04773,2,false
474,4857082814,0.0625,0.04773,2,false
475,4857082814,0.0625,0.04773,2,false
476,4857082814,0.0625,0.04773,2,false
477,4857082814,0.0625,0.04773,2,false
478,4857082814,0.0625,0.04773,2,false
479,4857082814,0.0625,0.04773,2,false
480,4857082814,0.0625,0.04773,2,false
481,4857082814,0.0625,0.04773,2,false
482,4857082814,0.0625,0.04773,2,false
483,4857082814,0.0625,0.04773,2,false
484,4857082814,0.0625,0.04773,2,false
485,4857082814,0.0625,0.04773,2,false
486,4857082814,0.0625,0.04773,2,false
487,4857082814,0.0625,0.04773,2,false
488,4857082814,0.0625,0.04773,2,false
489,4857082814,0.0625,0.04773,2,false
490,4857082814,0.0625,0.04773,2,false
491,4857082814,0.0625,0.04773,2,false
492,4857082814,0.0625,0.04773,2,false
493,4857082814,0.0625,0.04773,2,false
494,4857082814,0.0625,0.04773,2,false
495,4857082814,0.0625,0.04773,2,false
496,4857082814,0.0625,0.04773,2,false
497,4857082814,0.0625,0.04773,2,false
498,4857082814,0.0625,0.04773,2,false
499,4857082814,0.0625,0.04773,2,false
0,5003085054,0.0625,0.04773,2,false
0,5003092698,0.0625,0.04773,2,false
0,5633033829,0.0625,0.04663,2,false
0,6232583649,0.0625,0.0318,2,false
0,6232583758,0.0625,0.0318,2,false
0,6232583772,0.0625,0.0318,2,false
0,6232583798,0.0625,0.0318,2,false
0,6232583821,0.0625,0.0318,2,false
0,5633060510,0.0625,0.02386,2,false
1,5633060510,0.0625,0.02386,2,false
0,5692505439,0.0625,0.004974,2,false
0,5692505441,0.0625,0.004974,2,false
0,6063710427,0.05627,0.9551,2,false
0,5880917954,0.3789,0.03265,1,false
0,5475732385,0.2529,0.03107,1,false
0,6290179067,0.25,0.09546,1,false
0,5307854452,0.2437,0.06213,1,false
1,5307854452,0.2437,0.06213,1,false
2,5307854452,0.2437,0.06213,1,false
3,5307854452,0.2437,0.06213,1,false
4,5307854452,0.2437,0.06213,1,false
0,6195330662,0.2312,0.03253,1,false
0,6158642491,0.2268,0.02939,1,false
0,2861472345,0.2063,0.06921,1,false
1,2861472345,0.2063,0.06921,1,false
2,2861472345,0.2063,0.06921,1,false
3,2861472345,0.2063,0.06921,1,false
4,2861472345,0.2063,0.06921,1,false
0,4707865981,0.2063,0.06921,1,false
1,4707865981,0.2063,0.06921,1,false
2,4707865981,0.2063,0.06921,1,false
3,4707865981,0.2063,0.06921,1,false
4,4707865981,0.2063,0.06921,1,false
0,6312112845,0.1875,0.1272,1,false
0,6312541080,0.1875,0.1272,1,false
0,6257748110,0.1875,0.09937,1,false
1,6257748110,0.1875,0.09937,1,false
2,6257748110,0.1875,0.09937,1,false
3,6257748110,0.1875,0.09937,1,false
4,6257748110,0.1875,0.09937,1,false
5,6257748110,0.1875,0.09937,1,false
6,6257748110,0.1875,0.09937,1,false
7,6257748110,0.1875,0.09937,1,false
8,6257748110,0.1875,0.09937,1,false
9,6257748110,0.1875,0.09937,1,false
10,6257748110,0.1875,0.09937,1,false
11,6257748110,0.1875,0.09937,1,false
12,6257748110,0.1875,0.09937,1,false
13,6257748110,0.1875,0.09937,1,false
14,6257748110,0.1875,0.09937,1,false
15,6257748110,0.1875,0.09937,1,false
16,6257748110,0.1875,0.09937,1,false
17,6257748110,0.1875,0.09937,1,false
18,6257748110,0.1875,0.09937,1,false
19,6257748110,0.1875,0.09937,1,false
0,4962604949,0.1875,0.08545,1,false
0,4968400084,0.1875,0.08545,1,false
0,4969203103,0.1875,0.08545,1,false
0,6310415852,0.1875,0.0636,1,false
0,5501666014,0.1875,0.06213,1,false
0,3336097381,0.1875,0.05511,1,false
0,5202600097,0.1875,0.05316,1,false
1,5202600097,0.1875,0.05316,1,false
2,5202600097,0.1875,0.05316,1,false
0,6295771211,0.1875,0.04773,1,false
1,6295771211,0.1875,0.04773,1,false
2,6295771211,0.1875,0.04773,1,false
3,6295771211,0.1875,0.04773,1,false
4,6295771211,0.1875,0.04773,1,false
5,6295771211,0.1875,0.04773,1,false
6,6295771211,0.1875,0.04773,1,false
7,6295771211,0.1875,0.04773,1,false
8,6295771211,0.1875,0.04773,1,false
9,6295771211,0.1875,0.04773,1,false
10,6295771211,0.1875,0.04773,1,false
11,6295771211,0.1875,0.04773,1,false
0,3508950175,0.1868,0.03009,1,false
0,6274806577,0.1812,0.02332,1,false
0,6316878435,0.1694,0.02774,1,false
0,5554591692,0.1562,0.06909,1,false
1,5554591692,0.1562,0.06909,1,false
2,5554591692,0.1562,0.06909,1,false
0,6308607731,0.1438,0.02863,1,false
0,6253061949,0.1406,0.0231,1,false
1,6253061949,0.1406,0.0231,1,false
2,6253061949,0.1406,0.0231,1,false
