tid,jid,cpuReq,memReq,priority,couldCreateServer
417,6388672237,0.0625,0.03961,0,false
418,6388672237,0.0625,0.03961,0,false
419,6388672237,0.0625,0.03961,0,false
420,6388672237,0.0625,0.03961,0,false
421,6388672237,0.0625,0.03961,0,false
422,6388672237,0.0625,0.03961,0,false
423,6388672237,0.0625,0.03961,0,false
424,6388672237,0.0625,0.03961,0,false
425,6388672237,0.0625,0.03961,0,false
426,6388672237,0.0625,0.03961,0,false
427,6388672237,0.0625,0.03961,0,false
428,6388672237,0.0625,0.03961,0,false
429,6388672237,0.0625,0.03961,0,false
430,6388672237,0.0625,0.03961,0,false
431,6388672237,0.0625,0.03961,0,false
432,6388672237,0.0625,0.03961,0,false
433,6388672237,0.0625,0.03961,0,false
434,6388672237,0.0625,0.03961,0,false
435,6388672237,0.0625,0.03961,0,false
436,6388672237,0.0625,0.03961,0,false
437,6388672237,0.0625,0.03961,0,false
438,6388672237,0.0625,0.03961,0,false
439,6388672237,0.0625,0.03961,0,false
440,6388672237,0.0625,0.03961,0,false
441,6388672237,0.0625,0.03961,0,false
442,6388672237,0.0625,0.03961,0,false
443,6388672237,0.0625,0.03961,0,false
444,6388672237,0.0625,0.03961,0,false
445,6388672237,0.0625,0.03961,0,false
446,6388672237,0.0625,0.03961,0,false
447,6388672237,0.0625,0.03961,0,false
448,6388672237,0.0625,0.03961,0,false
449,6388672237,0.0625,0.03961,0,false
450,6388672237,0.0625,0.03961,0,false
451,6388672237,0.0625,0.03961,0,false
452,6388672237,0.0625,0.03961,0,false
453,6388672237,0.0625,0.03961,0,false
454,6388672237,0.0625,0.03961,0,false
455,6388672237,0.0625,0.03961,0,false
456,6388672237,0.0625,0.03961,0,false
457,6388672237,0.0625,0.03961,0,false
458,6388672237,0.0625,0.03961,0,false
459,6388672237,0.0625,0.03961,0,false
460,6388672237,0.0625,0.03961,0,false
461,6388672237,0.0625,0.03961,0,false
462,6388672237,0.0625,0.03961,0,false
463,6388672237,0.0625,0.03961,0,false
464,6388672237,0.0625,0.03961,0,false
465,6388672237,0.0625,0.03961,0,false
466,6388672237,0.0625,0.03961,0,false
467,6388672237,0.0625,0.03961,0,false
468,6388672237,0.0625,0.03961,0,false
469,6388672237,0.0625,0.03961,0,false
470,6388672237,0.0625,0.03961,0,false
471,6388672237,0.0625,0.03961,0,false
472,6388672237,0.0625,0.03961,0,false
473,6388672237,0.0625,0.03961,0,false
474,6388672237,0.0625,0.03961,0,false
475,6388672237,0.0625,0.03961,0,false
476,6388672237,0.0625,0.03961,0,false
477,6388672237,0.0625,0.03961,0,false
478,6388672237,0.0625,0.03961,0,false
479,6388672237,0.0625,0.03961,0,false
480,6388672237,0.0625,0.03961,0,false
481,6388672237,0.0625,0.03961,0,false
482,6388672237,0.0625,0.03961,0,false
483,6388672237,0.0625,0.03961,0,false
484,6388672237,0.0625,0.03961,0,false
485,6388672237,0.0625,0.03961,0,false
486,6388672237,0.0625,0.03961,0,false
487,6388672237,0.0625,0.03961,0,false
488,6388672237,0.0625,0.03961,0,false
489,6388672237,0.0625,0.03961,0,false
490,6388672237,0.0625,0.03961,0,false
491,6388672237,0.0625,0.03961,0,false
492,6388672237,0.0625,0.03961,0,false
493,6388672237,0.0625,0.03961,0,false
494,6388672237,0.0625,0.03961,0,false
495,6388672237,0.0625,0.03961,0,false
496,6388672237,0.0625,0.03961,0,false
497,6388672237,0.0625,0.03961,0,false
498,6388672237,0.0625,0.03961,0,false
499,6388672237,0.0625,0.03961,0,false
500,6388672237,0.0625,0.03961,0,false
501,6388672237,0.0625,0.03961,0,false
502,6388672237,0.0625,0.03961,0,false
503,6388672237,0.0625,0.03961,0,false
504,6388672237,0.0625,0.03961,0,false
505,6388672237,0.0625,0.03961,0,false
506,6388672237,0.0625,0.03961,0,false
507,6388672237,0.0625,0.03961,0,false
508,6388672237,0.0625,0.03961,0,false
509,6388672237,0.0625,0.03961,0,false
510,6388672237,0.0625,0.03961,0,false
511,6388672237,0.0625,0.03961,0,false
512,6388672237,0.0625,0.03961,0,false
513,6388672237,0.0625,0.03961,0,false
514,6388672237,0.0625,0.03961,0,false
515,6388672237,0.0625,0.03961,0,false
516,6388672237,0.0625,0.03961,0,false
517,6388672237,0.0625,0.03961,0,false
518,6388672237,0.0625,0.03961,0,false
519,6388672237,0.0625,0.03961,0,false
520,6388672237,0.0625,0.03961,0,false
521,6388672237,0.0625,0.03961,0,false
522,6388672237,0.0625,0.03961,0,false
523,6388672237,0.0625,0.03961,0,false
524,6388672237,0.0625,0.03961,0,false
525,6388672237,0.0625,0.03961,0,false
526,6388672237,0.0625,0.03961,0,false
527,6388672237,0.0625,0.03961,0,false
528,6388672237,0.0625,0.03961,0,false
529,6388672237,0.0625,0.03961,0,false
530,6388672237,0.0625,0.03961,0,false
531,6388672237,0.0625,0.03961,0,false
532,6388672237,0.0625,0.03961,0,false
533,6388672237,0.0625,0.03961,0,false
534,6388672237,0.0625,0.03961,0,false
535,6388672237,0.0625,0.03961,0,false
536,6388672237,0.0625,0.03961,0,false
537,6388672237,0.0625,0.03961,0,false
538,6388672237,0.0625,0.03961,0,false
539,6388672237,0.0625,0.03961,0,false
540,6388672237,0.0625,0.03961,0,false
541,6388672237,0.0625,0.03961,0,false
542,6388672237,0.0625,0.03961,0,false
543,6388672237,0.0625,0.03961,0,false
544,6388672237,0.0625,0.03961,0,false
545,6388672237,0.0625,0.03961,0,false
546,6388672237,0.0625,0.03961,0,false
547,6388672237,0.0625,0.03961,0,false
548,6388672237,0.0625,0.03961,0,false
549,6388672237,0.0625,0.03961,0,false
550,6388672237,0.0625,0.03961,0,false
551,6388672237,0.0625,0.03961,0,false
552,6388672237,0.0625,0.03961,0,false
553,6388672237,0.0625,0.03961,0,false
554,6388672237,0.0625,0.03961,0,false
555,6388672237,0.0625,0.03961,0,false
556,6388672237,0.0625,0.03961,0,false
557,6388672237,0.0625,0.03961,0,false
558,6388672237,0.0625,0.03961,0,false
559,6388672237,0.0625,0.03961,0,false
560,6388672237,0.0625,0.03961,0,false
561,6388672237,0.0625,0.03961,0,false
562,6388672237,0.0625,0.03961,0,false
563,6388672237,0.0625,0.03961,0,false
564,6388672237,0.0625,0.03961,0,false
565,6388672237,0.0625,0.03961,0,false
566,6388672237,0.0625,0.03961,0,false
567,6388672237,0.0625,0.03961,0,false
568,6388672237,0.0625,0.03961,0,false
569,6388672237,0.0625,0.03961,0,false
570,6388672237,0.0625,0.03961,0,false
571,6388672237,0.0625,0.03961,0,false
572,6388672237,0.0625,0.03961,0,false
573,6388672237,0.0625,0.03961,0,false
574,6388672237,0.0625,0.03961,0,false
575,6388672237,0.0625,0.03961,0,false
576,6388672237,0.0625,0.03961,0,false
577,6388672237,0.0625,0.03961,0,false
578,6388672237,0.0625,0.03961,0,false
579,6388672237,0.0625,0.03961,0,false
580,6388672237,0.0625,0.03961,0,false
581,6388672237,0.0625,0.03961,0,false
582,6388672237,0.0625,0.03961,0,false
583,6388672237,0.0625,0.03961,0,false
584,6388672237,0.0625,0.03961,0,false
585,6388672237,0.0625,0.03961,0,false
586,6388672237,0.0625,0.03961,0,false
587,6388672237,0.0625,0.03961,0,false
588,6388672237,0.0625,0.03961,0,false
589,6388672237,0.0625,0.03961,0,false
590,6388672237,0.0625,0.03961,0,false
591,6388672237,0.0625,0.03961,0,false
592,6388672237,0.0625,0.03961,0,false
593,6388672237,0.0625,0.03961,0,false
594,6388672237,0.0625,0.03961,0,false
595,6388672237,0.0625,0.03961,0,false
596,6388672237,0.0625,0.03961,0,false
597,6388672237,0.0625,0.03961,0,false
598,6388672237,0.0625,0.03961,0,false
599,6388672237,0.0625,0.03961,0,false
600,6388672237,0.0625,0.03961,0,false
601,6388672237,0.0625,0.03961,0,false
602,6388672237,0.0625,0.03961,0,false
603,6388672237,0.0625,0.03961,0,false
604,6388672237,0.0625,0.03961,0,false
605,6388672237,0.0625,0.03961,0,false
606,6388672237,0.0625,0.03961,0,false
607,6388672237,0.0625,0.03961,0,false
608,6388672237,0.0625,0.03961,0,false
609,6388672237,0.0625,0.03961,0,false
610,6388672237,0.0625,0.03961,0,false
611,6388672237,0.0625,0.03961,0,false
612,6388672237,0.0625,0.03961,0,false
613,6388672237,0.0625,0.03961,0,false
614,6388672237,0.0625,0.03961,0,false
615,6388672237,0.0625,0.03961,0,false
616,6388672237,0.0625,0.03961,0,false
617,6388672237,0.0625,0.03961,0,false
618,6388672237,0.0625,0.03961,0,false
619,6388672237,0.0625,0.03961,0,false
620,6388672237,0.0625,0.03961,0,false
621,6388672237,0.0625,0.03961,0,false
622,6388672237,0.0625,0.03961,0,false
623,6388672237,0.0625,0.03961,0,false
624,6388672237,0.0625,0.03961,0,false
625,6388672237,0.0625,0.03961,0,false
626,6388672237,0.0625,0.03961,0,false
627,6388672237,0.0625,0.03961,0,false
628,6388672237,0.0625,0.03961,0,false
629,6388672237,0.0625,0.03961,0,false
630,6388672237,0.0625,0.03961,0,false
631,6388672237,0.0625,0.03961,0,false
632,6388672237,0.0625,0.03961,0,false
633,6388672237,0.0625,0.03961,0,false
634,6388672237,0.0625,0.03961,0,false
635,6388672237,0.0625,0.03961,0,false
636,6388672237,0.0625,0.03961,0,false
637,6388672237,0.0625,0.03961,0,false
638,6388672237,0.0625,0.03961,0,false
639,6388672237,0.0625,0.03961,0,false
640,6388672237,0.0625,0.03961,0,false
641,6388672237,0.0625,0.03961,0,false
642,6388672237,0.0625,0.03961,0,false
643,6388672237,0.0625,0.03961,0,false
644,6388672237,0.0625,0.03961,0,false
645,6388672237,0.0625,0.03961,0,false
646,6388672237,0.0625,0.03961,0,false
647,6388672237,0.0625,0.03961,0,false
648,6388672237,0.0625,0.03961,0,false
649,6388672237,0.0625,0.03961,0,false
650,6388672237,0.0625,0.03961,0,false
651,6388672237,0.0625,0.03961,0,false
652,6388672237,0.0625,0.03961,0,false
653,6388672237,0.0625,0.03961,0,false
654,6388672237,0.0625,0.03961,0,false
655,6388672237,0.0625,0.03961,0,false
656,6388672237,0.0625,0.03961,0,false
657,6388672237,0.0625,0.03961,0,false
658,6388672237,0.0625,0.03961,0,false
659,6388672237,0.0625,0.03961,0,false
660,6388672237,0.0625,0.03961,0,false
661,6388672237,0.0625,0.03961,0,false
662,6388672237,0.0625,0.03961,0,false
663,6388672237,0.0625,0.03961,0,false
664,6388672237,0.0625,0.03961,0,false
665,6388672237,0.0625,0.03961,0,false
666,6388672237,0.0625,0.03961,0,false
667,6388672237,0.0625,0.03961,0,false
668,6388672237,0.0625,0.03961,0,false
669,6388672237,0.0625,0.03961,0,false
670,6388672237,0.0625,0.03961,0,false
671,6388672237,0.0625,0.03961,0,false
672,6388672237,0.0625,0.03961,0,false
673,6388672237,0.0625,0.03961,0,false
674,6388672237,0.0625,0.03961,0,false
675,6388672237,0.0625,0.03961,0,false
676,6388672237,0.0625,0.03961,0,false
677,6388672237,0.0625,0.03961,0,false
678,6388672237,0.0625,0.03961,0,false
679,6388672237,0.0625,0.03961,0,false
680,6388672237,0.0625,0.03961,0,false
681,6388672237,0.0625,0.03961,0,false
682,6388672237,0.0625,0.03961,0,false
683,6388672237,0.0625,0.03961,0,false
684,6388672237,0.0625,0.03961,0,false
685,6388672237,0.0625,0.03961,0,false
686,6388672237,0.0625,0.03961,0,false
687,6388672237,0.0625,0.03961,0,false
688,6388672237,0.0625,0.03961,0,false
689,6388672237,0.0625,0.03961,0,false
690,6388672237,0.0625,0.03961,0,false
691,6388672237,0.0625,0.03961,0,false
692,6388672237,0.0625,0.03961,0,false
693,6388672237,0.0625,0.03961,0,false
694,6388672237,0.0625,0.03961,0,false
695,6388672237,0.0625,0.03961,0,false
696,6388672237,0.0625,0.03961,0,false
697,6388672237,0.0625,0.03961,0,false
698,6388672237,0.0625,0.03961,0,false
699,6388672237,0.0625,0.03961,0,false
700,6388672237,0.0625,0.03961,0,false
701,6388672237,0.0625,0.03961,0,false
702,6388672237,0.0625,0.03961,0,false
703,6388672237,0.0625,0.03961,0,false
704,6388672237,0.0625,0.03961,0,false
705,6388672237,0.0625,0.03961,0,false
706,6388672237,0.0625,0.03961,0,false
707,6388672237,0.0625,0.03961,0,false
708,6388672237,0.0625,0.03961,0,false
709,6388672237,0.0625,0.03961,0,false
710,6388672237,0.0625,0.03961,0,false
711,6388672237,0.0625,0.03961,0,false
712,6388672237,0.0625,0.03961,0,false
713,6388672237,0.0625,0.03961,0,false
714,6388672237,0.0625,0.03961,0,false
715,6388672237,0.0625,0.03961,0,false
716,6388672237,0.0625,0.03961,0,false
717,6388672237,0.0625,0.03961,0,false
718,6388672237,0.0625,0.03961,0,false
719,6388672237,0.0625,0.03961,0,false
720,6388672237,0.0625,0.03961,0,false
721,6388672237,0.0625,0.03961,0,false
722,6388672237,0.0625,0.03961,0,false
723,6388672237,0.0625,0.03961,0,false
724,6388672237,0.0625,0.03961,0,false
725,6388672237,0.0625,0.03961,0,false
726,6388672237,0.0625,0.03961,0,false
727,6388672237,0.0625,0.03961,0,false
728,6388672237,0.0625,0.03961,0,false
729,6388672237,0.0625,0.03961,0,false
730,6388672237,0.0625,0.03961,0,false
731,6388672237,0.0625,0.03961,0,false
732,6388672237,0.0625,0.03961,0,false
733,6388672237,0.0625,0.03961,0,false
734,6388672237,0.0625,0.03961,0,false
735,6388672237,0.0625,0.03961,0,false
736,6388672237,0.0625,0.03961,0,false
737,6388672237,0.0625,0.03961,0,false
738,6388672237,0.0625,0.03961,0,false
739,6388672237,0.0625,0.03961,0,false
