tid,jid,cpuReq,memReq,priority,couldCreateServer
0,3520037933,0.0625,0.1143,1,true
529,6176871439,0.01874,0.003887,1,true
530,6176871439,0.01874,0.003887,1,true
531,6176871439,0.01874,0.003887,1,true
532,6176871439,0.01874,0.003887,1,true
533,6176871439,0.01874,0.003887,1,true
534,6176871439,0.01874,0.003887,1,true
535,6176871439,0.01874,0.003887,1,true
536,6176871439,0.01874,0.003887,1,true
537,6176871439,0.01874,0.003887,1,true
538,6176871439,0.01874,0.003887,1,true
539,6176871439,0.01874,0.003887,1,true
540,6176871439,0.01874,0.003887,1,true
541,6176871439,0.01874,0.003887,1,true
542,6176871439,0.01874,0.003887,1,true
543,6176871439,0.01874,0.003887,1,true
544,6176871439,0.01874,0.003887,1,true
545,6176871439,0.01874,0.003887,1,true
546,6176871439,0.01874,0.003887,1,true
547,6176871439,0.01874,0.003887,1,true
548,6176871439,0.01874,0.003887,1,true
549,6176871439,0.01874,0.003887,1,true
550,6176871439,0.01874,0.003887,1,true
551,6176871439,0.01874,0.003887,1,true
552,6176871439,0.01874,0.003887,1,true
553,6176871439,0.01874,0.003887,1,true
554,6176871439,0.01874,0.003887,1,true
555,6176871439,0.01874,0.003887,1,true
556,6176871439,0.01874,0.003887,1,true
557,6176871439,0.01874,0.003887,1,true
558,6176871439,0.01874,0.003887,1,true
559,6176871439,0.01874,0.003887,1,true
560,6176871439,0.01874,0.003887,1,true
561,6176871439,0.01874,0.003887,1,true
562,6176871439,0.01874,0.003887,1,true
563,6176871439,0.01874,0.003887,1,true
564,6176871439,0.01874,0.003887,1,true
565,6176871439,0.01874,0.003887,1,true
566,6176871439,0.01874,0.003887,1,true
567,6176871439,0.01874,0.003887,1,true
568,6176871439,0.01874,0.003887,1,true
569,6176871439,0.01874,0.003887,1,true
570,6176871439,0.01874,0.003887,1,true
571,6176871439,0.01874,0.003887,1,true
572,6176871439,0.01874,0.003887,1,true
573,6176871439,0.01874,0.003887,1,true
574,6176871439,0.01874,0.003887,1,true
575,6176871439,0.01874,0.003887,1,true
576,6176871439,0.01874,0.003887,1,true
577,6176871439,0.01874,0.003887,1,true
578,6176871439,0.01874,0.003887,1,true
579,6176871439,0.01874,0.003887,1,true
580,6176871439,0.01874,0.003887,1,true
581,6176871439,0.01874,0.003887,1,true
582,6176871439,0.01874,0.003887,1,true
583,6176871439,0.01874,0.003887,1,true
584,6176871439,0.01874,0.003887,1,true
585,6176871439,0.01874,0.003887,1,true
586,6176871439,0.01874,0.003887,1,true
587,6176871439,0.01874,0.003887,1,true
588,6176871439,0.01874,0.003887,1,true
589,6176871439,0.01874,0.003887,1,true
590,6176871439,0.01874,0.003887,1,true
591,6176871439,0.01874,0.003887,1,true
592,6176871439,0.01874,0.003887,1,true
593,6176871439,0.01874,0.003887,1,true
594,6176871439,0.01874,0.003887,1,true
595,6176871439,0.01874,0.003887,1,true
596,6176871439,0.01874,0.003887,1,true
597,6176871439,0.01874,0.003887,1,true
598,6176871439,0.01874,0.003887,1,true
599,6176871439,0.01874,0.003887,1,true
600,6176871439,0.01874,0.003887,1,true
601,6176871439,0.01874,0.003887,1,true
602,6176871439,0.01874,0.003887,1,true
603,6176871439,0.01874,0.003887,1,true
604,6176871439,0.01874,0.003887,1,true
605,6176871439,0.01874,0.003887,1,true
606,6176871439,0.01874,0.003887,1,true
607,6176871439,0.01874,0.003887,1,true
608,6176871439,0.01874,0.003887,1,true
609,6176871439,0.01874,0.003887,1,true
610,6176871439,0.01874,0.003887,1,true
611,6176871439,0.01874,0.003887,1,true
612,6176871439,0.01874,0.003887,1,true
613,6176871439,0.01874,0.003887,1,true
614,6176871439,0.01874,0.003887,1,true
615,6176871439,0.01874,0.003887,1,true
616,6176871439,0.01874,0.003887,1,true
617,6176871439,0.01874,0.003887,1,true
618,6176871439,0.01874,0.003887,1,true
619,6176871439,0.01874,0.003887,1,true
620,6176871439,0.01874,0.003887,1,true
621,6176871439,0.01874,0.003887,1,true
622,6176871439,0.01874,0.003887,1,true
623,6176871439,0.01874,0.003887,1,true
624,6176871439,0.01874,0.003887,1,true
625,6176871439,0.01874,0.003887,1,true
626,6176871439,0.01874,0.003887,1,true
627,6176871439,0.01874,0.003887,1,true
628,6176871439,0.01874,0.003887,1,true
629,6176871439,0.01874,0.003887,1,true
630,6176871439,0.01874,0.003887,1,true
631,6176871439,0.01874,0.003887,1,true
632,6176871439,0.01874,0.003887,1,true
633,6176871439,0.01874,0.003887,1,true
634,6176871439,0.01874,0.003887,1,true
635,6176871439,0.01874,0.003887,1,true
636,6176871439,0.01874,0.003887,1,true
637,6176871439,0.01874,0.003887,1,true
638,6176871439,0.01874,0.003887,1,true
639,6176871439,0.01874,0.003887,1,true
640,6176871439,0.01874,0.003887,1,true
641,6176871439,0.01874,0.003887,1,true
642,6176871439,0.01874,0.003887,1,true
643,6176871439,0.01874,0.003887,1,true
644,6176871439,0.01874,0.003887,1,true
