tid,jid,cpuReq,memReq,priority,couldCreateServer
1880,6388672237,0.0625,0.03961,0,true
1881,6388672237,0.0625,0.03961,0,true
1882,6388672237,0.0625,0.03961,0,true
1883,6388672237,0.0625,0.03961,0,true
1884,6388672237,0.0625,0.03961,0,true
1885,6388672237,0.0625,0.03961,0,true
1886,6388672237,0.0625,0.03961,0,true
1887,6388672237,0.0625,0.03961,0,true
1888,6388672237,0.0625,0.03961,0,true
1889,6388672237,0.0625,0.03961,0,true
1890,6388672237,0.0625,0.03961,0,true
1891,6388672237,0.0625,0.03961,0,true
1892,6388672237,0.0625,0.03961,0,true
1893,6388672237,0.0625,0.03961,0,true
1894,6388672237,0.0625,0.03961,0,true
1895,6388672237,0.0625,0.03961,0,true
1896,6388672237,0.0625,0.03961,0,true
1897,6388672237,0.0625,0.03961,0,true
1898,6388672237,0.0625,0.03961,0,true
1899,6388672237,0.0625,0.03961,0,true
1900,6388672237,0.0625,0.03961,0,true
1901,6388672237,0.0625,0.03961,0,true
1902,6388672237,0.0625,0.03961,0,true
1903,6388672237,0.0625,0.03961,0,true
1904,6388672237,0.0625,0.03961,0,true
1905,6388672237,0.0625,0.03961,0,true
1906,6388672237,0.0625,0.03961,0,true
1907,6388672237,0.0625,0.03961,0,true
1908,6388672237,0.0625,0.03961,0,true
1909,6388672237,0.0625,0.03961,0,true
1910,6388672237,0.0625,0.03961,0,true
1911,6388672237,0.0625,0.03961,0,true
1912,6388672237,0.0625,0.03961,0,true
1913,6388672237,0.0625,0.03961,0,true
1914,6388672237,0.0625,0.03961,0,true
1915,6388672237,0.0625,0.03961,0,true
1916,6388672237,0.0625,0.03961,0,true
1917,6388672237,0.0625,0.03961,0,true
1918,6388672237,0.0625,0.03961,0,true
1919,6388672237,0.0625,0.03961,0,true
1920,6388672237,0.0625,0.03961,0,true
1921,6388672237,0.0625,0.03961,0,true
1922,6388672237,0.0625,0.03961,0,true
1923,6388672237,0.0625,0.03961,0,true
1924,6388672237,0.0625,0.03961,0,true
1925,6388672237,0.0625,0.03961,0,true
1926,6388672237,0.0625,0.03961,0,true
1927,6388672237,0.0625,0.03961,0,true
1928,6388672237,0.0625,0.03961,0,true
1929,6388672237,0.0625,0.03961,0,true
1930,6388672237,0.0625,0.03961,0,true
1931,6388672237,0.0625,0.03961,0,true
1932,6388672237,0.0625,0.03961,0,true
1933,6388672237,0.0625,0.03961,0,true
1934,6388672237,0.0625,0.03961,0,true
