tid,jid,cpuReq,memReq,priority,couldCreateServer
0,3520037933,0.0625,0.1143,1,true
1229,6176871439,0.01874,0.003887,1,true
1230,6176871439,0.01874,0.003887,1,true
1231,6176871439,0.01874,0.003887,1,true
1232,6176871439,0.01874,0.003887,1,true
1233,6176871439,0.01874,0.003887,1,true
1234,6176871439,0.01874,0.003887,1,true
1235,6176871439,0.01874,0.003887,1,true
1236,6176871439,0.01874,0.003887,1,true
1237,6176871439,0.01874,0.003887,1,true
1238,6176871439,0.01874,0.003887,1,true
1239,6176871439,0.01874,0.003887,1,true
1240,6176871439,0.01874,0.003887,1,true
1241,6176871439,0.01874,0.003887,1,true
1242,6176871439,0.01874,0.003887,1,true
1243,6176871439,0.01874,0.003887,1,true
1244,6176871439,0.01874,0.003887,1,true
1245,6176871439,0.01874,0.003887,1,true
1246,6176871439,0.01874,0.003887,1,true
1247,6176871439,0.01874,0.003887,1,true
1248,6176871439,0.01874,0.003887,1,true
1249,6176871439,0.01874,0.003887,1,true
1250,6176871439,0.01874,0.003887,1,true
1251,6176871439,0.01874,0.003887,1,true
1252,6176871439,0.01874,0.003887,1,true
1253,6176871439,0.01874,0.003887,1,true
1254,6176871439,0.01874,0.003887,1,true
1255,6176871439,0.01874,0.003887,1,true
1256,6176871439,0.01874,0.003887,1,true
1257,6176871439,0.01874,0.003887,1,true
1258,6176871439,0.01874,0.003887,1,true
1259,6176871439,0.01874,0.003887,1,true
1260,6176871439,0.01874,0.003887,1,true
1261,6176871439,0.01874,0.003887,1,true
1262,6176871439,0.01874,0.003887,1,true
1263,6176871439,0.01874,0.003887,1,true
1264,6176871439,0.01874,0.003887,1,true
1265,6176871439,0.01874,0.003887,1,true
1266,6176871439,0.01874,0.003887,1,true
1267,6176871439,0.01874,0.003887,1,true
1268,6176871439,0.01874,0.003887,1,true
1269,6176871439,0.01874,0.003887,1,true
1270,6176871439,0.01874,0.003887,1,true
1271,6176871439,0.01874,0.003887,1,true
1272,6176871439,0.01874,0.003887,1,true
1273,6176871439,0.01874,0.003887,1,true
1274,6176871439,0.01874,0.003887,1,true
1275,6176871439,0.01874,0.003887,1,true
1276,6176871439,0.01874,0.003887,1,true
1277,6176871439,0.01874,0.003887,1,true
1278,6176871439,0.01874,0.003887,1,true
1279,6176871439,0.01874,0.003887,1,true
1280,6176871439,0.01874,0.003887,1,true
1281,6176871439,0.01874,0.003887,1,true
1282,6176871439,0.01874,0.003887,1,true
1283,6176871439,0.01874,0.003887,1,true
1284,6176871439,0.01874,0.003887,1,true
1285,6176871439,0.01874,0.003887,1,true
1286,6176871439,0.01874,0.003887,1,true
1287,6176871439,0.01874,0.003887,1,true
1288,6176871439,0.01874,0.003887,1,true
1289,6176871439,0.01874,0.003887,1,true
1290,6176871439,0.01874,0.003887,1,true
1291,6176871439,0.01874,0.003887,1,true
1292,6176871439,0.01874,0.003887,1,true
1293,6176871439,0.01874,0.003887,1,true
1294,6176871439,0.01874,0.003887,1,true
1295,6176871439,0.01874,0.003887,1,true
1296,6176871439,0.01874,0.003887,1,true
1297,6176871439,0.01874,0.003887,1,true
1298,6176871439,0.01874,0.003887,1,true
1299,6176871439,0.01874,0.003887,1,true
1300,6176871439,0.01874,0.003887,1,true
1301,6176871439,0.01874,0.003887,1,true
1302,6176871439,0.01874,0.003887,1,true
1303,6176871439,0.01874,0.003887,1,true
1304,6176871439,0.01874,0.003887,1,true
1305,6176871439,0.01874,0.003887,1,true
1306,6176871439,0.01874,0.003887,1,true
1307,6176871439,0.01874,0.003887,1,true
1308,6176871439,0.01874,0.003887,1,true
1309,6176871439,0.01874,0.003887,1,true
