tid,jid,cpuReq,memReq,priority,couldCreateServer
277,6219557576,0.03125,0.006836,0,true
278,6219557576,0.03125,0.006836,0,true
279,6219557576,0.03125,0.006836,0,true
280,6219557576,0.03125,0.006836,0,true
281,6219557576,0.03125,0.006836,0,true
282,6219557576,0.03125,0.006836,0,true
283,6219557576,0.03125,0.006836,0,true
284,6219557576,0.03125,0.006836,0,true
285,6219557576,0.03125,0.006836,0,true
286,6219557576,0.03125,0.006836,0,true
287,6219557576,0.03125,0.006836,0,true
288,6219557576,0.03125,0.006836,0,true
289,6219557576,0.03125,0.006836,0,true
290,6219557576,0.03125,0.006836,0,true
291,6219557576,0.03125,0.006836,0,true
292,6219557576,0.03125,0.006836,0,true
293,6219557576,0.03125,0.006836,0,true
294,6219557576,0.03125,0.006836,0,true
295,6219557576,0.03125,0.006836,0,true
296,6219557576,0.03125,0.006836,0,true
297,6219557576,0.03125,0.006836,0,true
298,6219557576,0.03125,0.006836,0,true
299,6219557576,0.03125,0.006836,0,true
300,6219557576,0.03125,0.006836,0,true
301,6219557576,0.03125,0.006836,0,true
302,6219557576,0.03125,0.006836,0,true
303,6219557576,0.03125,0.006836,0,true
304,6219557576,0.03125,0.006836,0,true
305,6219557576,0.03125,0.006836,0,true
306,6219557576,0.03125,0.006836,0,true
307,6219557576,0.03125,0.006836,0,true
308,6219557576,0.03125,0.006836,0,true
309,6219557576,0.03125,0.006836,0,true
310,6219557576,0.03125,0.006836,0,true
311,6219557576,0.03125,0.006836,0,true
312,6219557576,0.03125,0.006836,0,true
313,6219557576,0.03125,0.006836,0,true
314,6219557576,0.03125,0.006836,0,true
315,6219557576,0.03125,0.006836,0,true
316,6219557576,0.03125,0.006836,0,true
317,6219557576,0.03125,0.006836,0,true
318,6219557576,0.03125,0.006836,0,true
319,6219557576,0.03125,0.006836,0,true
320,6219557576,0.03125,0.006836,0,true
321,6219557576,0.03125,0.006836,0,true
322,6219557576,0.03125,0.006836,0,true
323,6219557576,0.03125,0.006836,0,true
324,6219557576,0.03125,0.006836,0,true
325,6219557576,0.03125,0.006836,0,true
326,6219557576,0.03125,0.006836,0,true
327,6219557576,0.03125,0.006836,0,true
328,6219557576,0.03125,0.006836,0,true
329,6219557576,0.03125,0.006836,0,true
330,6219557576,0.03125,0.006836,0,true
331,6219557576,0.03125,0.006836,0,true
332,6219557576,0.03125,0.006836,0,true
333,6219557576,0.03125,0.006836,0,true
334,6219557576,0.03125,0.006836,0,true
335,6219557576,0.03125,0.006836,0,true
336,6219557576,0.03125,0.006836,0,true
337,6219557576,0.03125,0.006836,0,true
338,6219557576,0.03125,0.006836,0,true
339,6219557576,0.03125,0.006836,0,true
340,6219557576,0.03125,0.006836,0,true
341,6219557576,0.03125,0.006836,0,true
342,6219557576,0.03125,0.006836,0,true
343,6219557576,0.03125,0.006836,0,true
344,6219557576,0.03125,0.006836,0,true
345,6219557576,0.03125,0.006836,0,true
346,6219557576,0.03125,0.006836,0,true
347,6219557576,0.03125,0.006836,0,true
348,6219557576,0.03125,0.006836,0,true
349,6219557576,0.03125,0.006836,0,true
350,6219557576,0.03125,0.006836,0,true
351,6219557576,0.03125,0.006836,0,true
352,6219557576,0.03125,0.006836,0,true
353,6219557576,0.03125,0.006836,0,true
354,6219557576,0.03125,0.006836,0,true
355,6219557576,0.03125,0.006836,0,true
356,6219557576,0.03125,0.006836,0,true
357,6219557576,0.03125,0.006836,0,true
358,6219557576,0.03125,0.006836,0,true
359,6219557576,0.03125,0.006836,0,true
360,6219557576,0.03125,0.006836,0,true
361,6219557576,0.03125,0.006836,0,true
362,6219557576,0.03125,0.006836,0,true
363,6219557576,0.03125,0.006836,0,true
364,6219557576,0.03125,0.006836,0,true
365,6219557576,0.03125,0.006836,0,true
366,6219557576,0.03125,0.006836,0,true
367,6219557576,0.03125,0.006836,0,true
368,6219557576,0.03125,0.006836,0,true
369,6219557576,0.03125,0.006836,0,true
370,6219557576,0.03125,0.006836,0,true
371,6219557576,0.03125,0.006836,0,true
372,6219557576,0.03125,0.006836,0,true
373,6219557576,0.03125,0.006836,0,true
374,6219557576,0.03125,0.006836,0,true
375,6219557576,0.03125,0.006836,0,true
376,6219557576,0.03125,0.006836,0,true
377,6219557576,0.03125,0.006836,0,true
378,6219557576,0.03125,0.006836,0,true
379,6219557576,0.03125,0.006836,0,true
380,6219557576,0.03125,0.006836,0,true
381,6219557576,0.03125,0.006836,0,true
382,6219557576,0.03125,0.006836,0,true
383,6219557576,0.03125,0.006836,0,true
384,6219557576,0.03125,0.006836,0,true
385,6219557576,0.03125,0.006836,0,true
386,6219557576,0.03125,0.006836,0,true
387,6219557576,0.03125,0.006836,0,true
388,6219557576,0.03125,0.006836,0,true
389,6219557576,0.03125,0.006836,0,true
390,6219557576,0.03125,0.006836,0,true
391,6219557576,0.03125,0.006836,0,true
392,6219557576,0.03125,0.006836,0,true
393,6219557576,0.03125,0.006836,0,true
394,6219557576,0.03125,0.006836,0,true
395,6219557576,0.03125,0.006836,0,true
396,6219557576,0.03125,0.006836,0,true
397,6219557576,0.03125,0.006836,0,true
398,6219557576,0.03125,0.006836,0,true
399,6219557576,0.03125,0.006836,0,true
