tid,jid,cpuReq,memReq,priority,couldCreateServer
0,3520037933,0.0625,0.1143,1,true
2474,6176871439,0.01874,0.003887,1,true
2475,6176871439,0.01874,0.003887,1,true
2476,6176871439,0.01874,0.003887,1,true
2477,6176871439,0.01874,0.003887,1,true
2478,6176871439,0.01874,0.003887,1,true
2479,6176871439,0.01874,0.003887,1,true
2480,6176871439,0.01874,0.003887,1,true
2481,6176871439,0.01874,0.003887,1,true
2482,6176871439,0.01874,0.003887,1,true
2483,6176871439,0.01874,0.003887,1,true
2484,6176871439,0.01874,0.003887,1,true
2485,6176871439,0.01874,0.003887,1,true
2486,6176871439,0.01874,0.003887,1,true
2487,6176871439,0.01874,0.003887,1,true
2488,6176871439,0.01874,0.003887,1,true
2489,6176871439,0.01874,0.003887,1,true
2490,6176871439,0.01874,0.003887,1,true
2491,6176871439,0.01874,0.003887,1,true
2492,6176871439,0.01874,0.003887,1,true
2493,6176871439,0.01874,0.003887,1,true
2494,6176871439,0.01874,0.003887,1,true
2495,6176871439,0.01874,0.003887,1,true
2496,6176871439,0.01874,0.003887,1,true
2497,6176871439,0.01874,0.003887,1,true
2498,6176871439,0.01874,0.003887,1,true
2499,6176871439,0.01874,0.003887,1,true
2500,6176871439,0.01874,0.003887,1,true
2501,6176871439,0.01874,0.003887,1,true
2502,6176871439,0.01874,0.003887,1,true
2503,6176871439,0.01874,0.003887,1,true
2504,6176871439,0.01874,0.003887,1,true
2505,6176871439,0.01874,0.003887,1,true
2506,6176871439,0.01874,0.003887,1,true
2507,6176871439,0.01874,0.003887,1,true
2508,6176871439,0.01874,0.003887,1,true
2509,6176871439,0.01874,0.003887,1,true
2510,6176871439,0.01874,0.003887,1,true
2511,6176871439,0.01874,0.003887,1,true
2512,6176871439,0.01874,0.003887,1,true
2513,6176871439,0.01874,0.003887,1,true
2514,6176871439,0.01874,0.003887,1,true
2515,6176871439,0.01874,0.003887,1,true
2516,6176871439,0.01874,0.003887,1,true
2517,6176871439,0.01874,0.003887,1,true
2518,6176871439,0.01874,0.003887,1,true
2519,6176871439,0.01874,0.003887,1,true
2520,6176871439,0.01874,0.003887,1,true
2521,6176871439,0.01874,0.003887,1,true
2522,6176871439,0.01874,0.003887,1,true
2523,6176871439,0.01874,0.003887,1,true
2524,6176871439,0.01874,0.003887,1,true
2525,6176871439,0.01874,0.003887,1,true
2526,6176871439,0.01874,0.003887,1,true
2527,6176871439,0.01874,0.003887,1,true
2528,6176871439,0.01874,0.003887,1,true
2529,6176871439,0.01874,0.003887,1,true
2530,6176871439,0.01874,0.003887,1,true
2531,6176871439,0.01874,0.003887,1,true
2532,6176871439,0.01874,0.003887,1,true
2533,6176871439,0.01874,0.003887,1,true
2534,6176871439,0.01874,0.003887,1,true
2535,6176871439,0.01874,0.003887,1,true
2536,6176871439,0.01874,0.003887,1,true
2537,6176871439,0.01874,0.003887,1,true
2538,6176871439,0.01874,0.003887,1,true
2539,6176871439,0.01874,0.003887,1,true
2540,6176871439,0.01874,0.003887,1,true
2541,6176871439,0.01874,0.003887,1,true
