tid,jid,cpuReq,memReq,priority,couldCreateServer
4,6388858609,0.0625,0.01938,1,true
5,6399224229,0.0625,0.01865,1,true
6,6399224229,0.0625,0.01865,1,true
7,6399224229,0.0625,0.01865,1,true
8,6399224229,0.0625,0.01865,1,true
9,6399224229,0.0625,0.01865,1,true
10,6399224229,0.0625,0.01865,1,true
11,6399224229,0.0625,0.01865,1,true
12,6399224229,0.0625,0.01865,1,true
13,6399224229,0.0625,0.01865,1,true
14,6399224229,0.0625,0.01865,1,true
15,6399224229,0.0625,0.01865,1,true
16,6399224229,0.0625,0.01865,1,true
17,6399224229,0.0625,0.01865,1,true
18,6399224229,0.0625,0.01865,1,true
19,6399224229,0.0625,0.01865,1,true
20,6399224229,0.0625,0.01865,1,true
21,6399224229,0.0625,0.01865,1,true
22,6399224229,0.0625,0.01865,1,true
23,6399224229,0.0625,0.01865,1,true
24,6399224229,0.0625,0.01865,1,true
0,6413740725,0.0625,0.01865,1,true
5,3860877046,0.0625,0.0159,1,true
6,3860877046,0.0625,0.0159,1,true
7,3860877046,0.0625,0.0159,1,true
8,3860877046,0.0625,0.0159,1,true
9,3860877046,0.0625,0.0159,1,true
10,3860877046,0.0625,0.0159,1,true
11,3860877046,0.0625,0.0159,1,true
12,3860877046,0.0625,0.0159,1,true
13,3860877046,0.0625,0.0159,1,true
14,3860877046,0.0625,0.0159,1,true
15,3860877046,0.0625,0.0159,1,true
16,3860877046,0.0625,0.0159,1,true
17,3860877046,0.0625,0.0159,1,true
18,3860877046,0.0625,0.0159,1,true
19,3860877046,0.0625,0.0159,1,true
0,4806950600,0.0625,0.0159,1,true
1,4806950600,0.0625,0.0159,1,true
2,4806950600,0.0625,0.0159,1,true
0,4888093104,0.0625,0.0159,1,true
1,4888093104,0.0625,0.0159,1,true
0,4888099048,0.0625,0.0159,1,true
1,4888099048,0.0625,0.0159,1,true
0,4956349957,0.0625,0.0159,1,true
1,4956349957,0.0625,0.0159,1,true
2,4956349957,0.0625,0.0159,1,true
4,4956349957,0.0625,0.0159,1,true
0,5130456910,0.0625,0.0159,1,true
0,5399879907,0.0625,0.0159,1,true
1,5399879907,0.0625,0.0159,1,true
0,5409352378,0.0625,0.0159,1,true
0,5409352947,0.0625,0.0159,1,true
1,5409352947,0.0625,0.0159,1,true
2,5409352947,0.0625,0.0159,1,true
3,5409352947,0.0625,0.0159,1,true
0,5539092822,0.0625,0.0159,1,true
0,6225396048,0.0625,0.0159,1,true
0,6368258227,0.0625,0.0159,1,true
0,4675057288,0.0625,0.01553,1,true
0,4751986813,0.0625,0.01553,1,true
1,4751986813,0.0625,0.01553,1,true
2,4751986813,0.0625,0.01553,1,true
3,4751986813,0.0625,0.01553,1,true
4,4751986813,0.0625,0.01553,1,true
5,4751986813,0.0625,0.01553,1,true
6,4751986813,0.0625,0.01553,1,true
7,4751986813,0.0625,0.01553,1,true
8,4751986813,0.0625,0.01553,1,true
9,4751986813,0.0625,0.01553,1,true
10,4751986813,0.0625,0.01553,1,true
11,4751986813,0.0625,0.01553,1,true
12,4751986813,0.0625,0.01553,1,true
13,4751986813,0.0625,0.01553,1,true
14,4751986813,0.0625,0.01553,1,true
15,4751986813,0.0625,0.01553,1,true
16,4751986813,0.0625,0.01553,1,true
17,4751986813,0.0625,0.01553,1,true
18,4751986813,0.0625,0.01553,1,true
19,4751986813,0.0625,0.01553,1,true
20,4751986813,0.0625,0.01553,1,true
21,4751986813,0.0625,0.01553,1,true
22,4751986813,0.0625,0.01553,1,true
23,4751986813,0.0625,0.01553,1,true
