tid,jid,cpuReq,memReq,priority,couldCreateServer
0,6230541575,0.25,0.07959,2,false
0,5950830609,0.125,0.03198,2,false
1,5950830609,0.125,0.03198,2,false
2,5950830609,0.125,0.03198,2,false
3,5950830609,0.125,0.03198,2,false
4,5950830609,0.125,0.03198,2,false
5,5950830609,0.125,0.03198,2,false
6,5950830609,0.125,0.03198,2,false
7,5950830609,0.125,0.03198,2,false
8,5950830609,0.125,0.03198,2,false
9,5950830609,0.125,0.03198,2,false
10,5950830609,0.125,0.03198,2,false
11,5950830609,0.125,0.03198,2,false
12,5950830609,0.125,0.03198,2,false
13,5950830609,0.125,0.03198,2,false
14,5950830609,0.125,0.03198,2,false
15,5950830609,0.125,0.03198,2,false
16,5950830609,0.125,0.03198,2,false
17,5950830609,0.125,0.03198,2,false
18,5950830609,0.125,0.03198,2,false
19,5950830609,0.125,0.03198,2,false
20,5950830609,0.125,0.03198,2,false
21,5950830609,0.125,0.03198,2,false
22,5950830609,0.125,0.03198,2,false
23,5950830609,0.125,0.03198,2,false
24,5950830609,0.125,0.03198,2,false
25,5950830609,0.125,0.03198,2,false
26,5950830609,0.125,0.03198,2,false
27,5950830609,0.125,0.03198,2,false
28,5950830609,0.125,0.03198,2,false
29,5950830609,0.125,0.03198,2,false
30,5950830609,0.125,0.03198,2,false
31,5950830609,0.125,0.03198,2,false
32,5950830609,0.125,0.03198,2,false
33,5950830609,0.125,0.03198,2,false
34,5950830609,0.125,0.03198,2,false
35,5950830609,0.125,0.03198,2,false
36,5950830609,0.125,0.03198,2,false
37,5950830609,0.125,0.03198,2,false
38,5950830609,0.125,0.03198,2,false
39,5950830609,0.125,0.03198,2,false
40,5950830609,0.125,0.03198,2,false
41,5950830609,0.125,0.03198,2,false
42,5950830609,0.125,0.03198,2,false
43,5950830609,0.125,0.03198,2,false
44,5950830609,0.125,0.03198,2,false
45,5950830609,0.125,0.03198,2,false
46,5950830609,0.125,0.03198,2,false
47,5950830609,0.125,0.03198,2,false
48,5950830609,0.125,0.03198,2,false
49,5950830609,0.125,0.03198,2,false
50,5950830609,0.125,0.03198,2,false
51,5950830609,0.125,0.03198,2,false
52,5950830609,0.125,0.03198,2,false
53,5950830609,0.125,0.03198,2,false
54,5950830609,0.125,0.03198,2,false
55,5950830609,0.125,0.03198,2,false
56,5950830609,0.125,0.03198,2,false
57,5950830609,0.125,0.03198,2,false
58,5950830609,0.125,0.03198,2,false
59,5950830609,0.125,0.03198,2,false
60,5950830609,0.125,0.03198,2,false
61,5950830609,0.125,0.03198,2,false
62,5950830609,0.125,0.03198,2,false
63,5950830609,0.125,0.03198,2,false
64,5950830609,0.125,0.03198,2,false
65,5950830609,0.125,0.03198,2,false
66,5950830609,0.125,0.03198,2,false
67,5950830609,0.125,0.03198,2,false
68,5950830609,0.125,0.03198,2,false
69,5950830609,0.125,0.03198,2,false
70,5950830609,0.125,0.03198,2,false
71,5950830609,0.125,0.03198,2,false
72,5950830609,0.125,0.03198,2,false
73,5950830609,0.125,0.03198,2,false
74,5950830609,0.125,0.03198,2,false
75,5950830609,0.125,0.03198,2,false
76,5950830609,0.125,0.03198,2,false
77,5950830609,0.125,0.03198,2,false
78,5950830609,0.125,0.03198,2,false
79,5950830609,0.125,0.03198,2,false
80,5950830609,0.125,0.03198,2,false
81,5950830609,0.125,0.03198,2,false
82,5950830609,0.125,0.03198,2,false
83,5950830609,0.125,0.03198,2,false
84,5950830609,0.125,0.03198,2,false
85,5950830609,0.125,0.03198,2,false
86,5950830609,0.125,0.03198,2,false
87,5950830609,0.125,0.03198,2,false
88,5950830609,0.125,0.03198,2,false
89,5950830609,0.125,0.03198,2,false
90,5950830609,0.125,0.03198,2,false
91,5950830609,0.125,0.03198,2,false
92,5950830609,0.125,0.03198,2,false
93,5950830609,0.125,0.03198,2,false
94,5950830609,0.125,0.03198,2,false
95,5950830609,0.125,0.03198,2,false
96,5950830609,0.125,0.03198,2,false
97,5950830609,0.125,0.03198,2,false
98,5950830609,0.125,0.03198,2,false
99,5950830609,0.125,0.03198,2,false
100,5950830609,0.125,0.03198,2,false
101,5950830609,0.125,0.03198,2,false
102,5950830609,0.125,0.03198,2,false
103,5950830609,0.125,0.03198,2,false
104,5950830609,0.125,0.03198,2,false
105,5950830609,0.125,0.03198,2,false
106,5950830609,0.125,0.03198,2,false
107,5950830609,0.125,0.03198,2,false
108,5950830609,0.125,0.03198,2,false
109,5950830609,0.125,0.03198,2,false
110,5950830609,0.125,0.03198,2,false
111,5950830609,0.125,0.03198,2,false
112,5950830609,0.125,0.03198,2,false
113,5950830609,0.125,0.03198,2,false
114,5950830609,0.125,0.03198,2,false
115,5950830609,0.125,0.03198,2,false
116,5950830609,0.125,0.03198,2,false
117,5950830609,0.125,0.03198,2,false
118,5950830609,0.125,0.03198,2,false
119,5950830609,0.125,0.03198,2,false
120,5950830609,0.125,0.03198,2,false
121,5950830609,0.125,0.03198,2,false
122,5950830609,0.125,0.03198,2,false
123,5950830609,0.125,0.03198,2,false
124,5950830609,0.125,0.03198,2,false
125,5950830609,0.125,0.03198,2,false
126,5950830609,0.125,0.03198,2,false
127,5950830609,0.125,0.03198,2,false
128,5950830609,0.125,0.03198,2,false
129,5950830609,0.125,0.03198,2,false
130,5950830609,0.125,0.03198,2,false
131,5950830609,0.125,0.03198,2,false
132,5950830609,0.125,0.03198,2,false
133,5950830609,0.125,0.03198,2,false
134,5950830609,0.125,0.03198,2,false
135,5950830609,0.125,0.03198,2,false
136,5950830609,0.125,0.03198,2,false
137,5950830609,0.125,0.03198,2,false
138,5950830609,0.125,0.03198,2,false
139,5950830609,0.125,0.03198,2,false
140,5950830609,0.125,0.03198,2,false
141,5950830609,0.125,0.03198,2,false
142,5950830609,0.125,0.03198,2,false
143,5950830609,0.125,0.03198,2,false
144,5950830609,0.125,0.03198,2,false
145,5950830609,0.125,0.03198,2,false
146,5950830609,0.125,0.03198,2,false
147,5950830609,0.125,0.03198,2,false
148,5950830609,0.125,0.03198,2,false
149,5950830609,0.125,0.03198,2,false
150,5950830609,0.125,0.03198,2,false
151,5950830609,0.125,0.03198,2,false
152,5950830609,0.125,0.03198,2,false
153,5950830609,0.125,0.03198,2,false
