tid,jid,cpuReq,memReq,priority,couldCreateServer
0,3520037933,0.0625,0.1143,1,true
582,6176871439,0.01874,0.003887,1,true
583,6176871439,0.01874,0.003887,1,true
584,6176871439,0.01874,0.003887,1,true
585,6176871439,0.01874,0.003887,1,true
586,6176871439,0.01874,0.003887,1,true
587,6176871439,0.01874,0.003887,1,true
588,6176871439,0.01874,0.003887,1,true
589,6176871439,0.01874,0.003887,1,true
590,6176871439,0.01874,0.003887,1,true
591,6176871439,0.01874,0.003887,1,true
592,6176871439,0.01874,0.003887,1,true
593,6176871439,0.01874,0.003887,1,true
594,6176871439,0.01874,0.003887,1,true
595,6176871439,0.01874,0.003887,1,true
596,6176871439,0.01874,0.003887,1,true
597,6176871439,0.01874,0.003887,1,true
598,6176871439,0.01874,0.003887,1,true
599,6176871439,0.01874,0.003887,1,true
600,6176871439,0.01874,0.003887,1,true
601,6176871439,0.01874,0.003887,1,true
602,6176871439,0.01874,0.003887,1,true
603,6176871439,0.01874,0.003887,1,true
604,6176871439,0.01874,0.003887,1,true
605,6176871439,0.01874,0.003887,1,true
606,6176871439,0.01874,0.003887,1,true
607,6176871439,0.01874,0.003887,1,true
608,6176871439,0.01874,0.003887,1,true
609,6176871439,0.01874,0.003887,1,true
610,6176871439,0.01874,0.003887,1,true
611,6176871439,0.01874,0.003887,1,true
612,6176871439,0.01874,0.003887,1,true
613,6176871439,0.01874,0.003887,1,true
614,6176871439,0.01874,0.003887,1,true
615,6176871439,0.01874,0.003887,1,true
616,6176871439,0.01874,0.003887,1,true
617,6176871439,0.01874,0.003887,1,true
618,6176871439,0.01874,0.003887,1,true
619,6176871439,0.01874,0.003887,1,true
620,6176871439,0.01874,0.003887,1,true
621,6176871439,0.01874,0.003887,1,true
622,6176871439,0.01874,0.003887,1,true
623,6176871439,0.01874,0.003887,1,true
624,6176871439,0.01874,0.003887,1,true
625,6176871439,0.01874,0.003887,1,true
626,6176871439,0.01874,0.003887,1,true
627,6176871439,0.01874,0.003887,1,true
628,6176871439,0.01874,0.003887,1,true
629,6176871439,0.01874,0.003887,1,true
630,6176871439,0.01874,0.003887,1,true
631,6176871439,0.01874,0.003887,1,true
632,6176871439,0.01874,0.003887,1,true
633,6176871439,0.01874,0.003887,1,true
634,6176871439,0.01874,0.003887,1,true
635,6176871439,0.01874,0.003887,1,true
636,6176871439,0.01874,0.003887,1,true
637,6176871439,0.01874,0.003887,1,true
638,6176871439,0.01874,0.003887,1,true
639,6176871439,0.01874,0.003887,1,true
640,6176871439,0.01874,0.003887,1,true
641,6176871439,0.01874,0.003887,1,true
642,6176871439,0.01874,0.003887,1,true
643,6176871439,0.01874,0.003887,1,true
644,6176871439,0.01874,0.003887,1,true
645,6176871439,0.01874,0.003887,1,true
646,6176871439,0.01874,0.003887,1,true
647,6176871439,0.01874,0.003887,1,true
648,6176871439,0.01874,0.003887,1,true
649,6176871439,0.01874,0.003887,1,true
650,6176871439,0.01874,0.003887,1,true
651,6176871439,0.01874,0.003887,1,true
652,6176871439,0.01874,0.003887,1,true
653,6176871439,0.01874,0.003887,1,true
654,6176871439,0.01874,0.003887,1,true
655,6176871439,0.01874,0.003887,1,true
656,6176871439,0.01874,0.003887,1,true
657,6176871439,0.01874,0.003887,1,true
658,6176871439,0.01874,0.003887,1,true
659,6176871439,0.01874,0.003887,1,true
660,6176871439,0.01874,0.003887,1,true
