tid,jid,cpuReq,memReq,priority,couldCreateServer
294,6433541552,0.0625,0.0318,1,false
295,6433541552,0.0625,0.0318,1,false
296,6433541552,0.0625,0.0318,1,false
297,6433541552,0.0625,0.0318,1,false
298,6433541552,0.0625,0.0318,1,false
299,6433541552,0.0625,0.0318,1,false
300,6433541552,0.0625,0.0318,1,false
301,6433541552,0.0625,0.0318,1,false
302,6433541552,0.0625,0.0318,1,false
303,6433541552,0.0625,0.0318,1,false
304,6433541552,0.0625,0.0318,1,false
305,6433541552,0.0625,0.0318,1,false
306,6433541552,0.0625,0.0318,1,false
307,6433541552,0.0625,0.0318,1,false
308,6433541552,0.0625,0.0318,1,false
309,6433541552,0.0625,0.0318,1,false
310,6433541552,0.0625,0.0318,1,false
311,6433541552,0.0625,0.0318,1,false
312,6433541552,0.0625,0.0318,1,false
313,6433541552,0.0625,0.0318,1,false
314,6433541552,0.0625,0.0318,1,false
315,6433541552,0.0625,0.0318,1,false
316,6433541552,0.0625,0.0318,1,false
317,6433541552,0.0625,0.0318,1,false
318,6433541552,0.0625,0.0318,1,false
319,6433541552,0.0625,0.0318,1,false
320,6433541552,0.0625,0.0318,1,false
321,6433541552,0.0625,0.0318,1,false
322,6433541552,0.0625,0.0318,1,false
323,6433541552,0.0625,0.0318,1,false
324,6433541552,0.0625,0.0318,1,false
325,6433541552,0.0625,0.0318,1,false
326,6433541552,0.0625,0.0318,1,false
327,6433541552,0.0625,0.0318,1,false
328,6433541552,0.0625,0.0318,1,false
329,6433541552,0.0625,0.0318,1,false
330,6433541552,0.0625,0.0318,1,false
331,6433541552,0.0625,0.0318,1,false
332,6433541552,0.0625,0.0318,1,false
333,6433541552,0.0625,0.0318,1,false
334,6433541552,0.0625,0.0318,1,false
335,6433541552,0.0625,0.0318,1,false
336,6433541552,0.0625,0.0318,1,false
337,6433541552,0.0625,0.0318,1,false
338,6433541552,0.0625,0.0318,1,false
339,6433541552,0.0625,0.0318,1,false
340,6433541552,0.0625,0.0318,1,false
341,6433541552,0.0625,0.0318,1,false
342,6433541552,0.0625,0.0318,1,false
343,6433541552,0.0625,0.0318,1,false
344,6433541552,0.0625,0.0318,1,false
345,6433541552,0.0625,0.0318,1,false
346,6433541552,0.0625,0.0318,1,false
347,6433541552,0.0625,0.0318,1,false
348,6433541552,0.0625,0.0318,1,false
349,6433541552,0.0625,0.0318,1,false
350,6433541552,0.0625,0.0318,1,false
351,6433541552,0.0625,0.0318,1,false
352,6433541552,0.0625,0.0318,1,false
353,6433541552,0.0625,0.0318,1,false
354,6433541552,0.0625,0.0318,1,false
355,6433541552,0.0625,0.0318,1,false
356,6433541552,0.0625,0.0318,1,false
357,6433541552,0.0625,0.0318,1,false
358,6433541552,0.0625,0.0318,1,false
359,6433541552,0.0625,0.0318,1,false
360,6433541552,0.0625,0.0318,1,false
361,6433541552,0.0625,0.0318,1,false
362,6433541552,0.0625,0.0318,1,false
363,6433541552,0.0625,0.0318,1,false
364,6433541552,0.0625,0.0318,1,false
365,6433541552,0.0625,0.0318,1,false
366,6433541552,0.0625,0.0318,1,false
367,6433541552,0.0625,0.0318,1,false
368,6433541552,0.0625,0.0318,1,false
369,6433541552,0.0625,0.0318,1,false
370,6433541552,0.0625,0.0318,1,false
371,6433541552,0.0625,0.0318,1,false
372,6433541552,0.0625,0.0318,1,false
373,6433541552,0.0625,0.0318,1,false
374,6433541552,0.0625,0.0318,1,false
375,6433541552,0.0625,0.0318,1,false
376,6433541552,0.0625,0.0318,1,false
377,6433541552,0.0625,0.0318,1,false
378,6433541552,0.0625,0.0318,1,false
379,6433541552,0.0625,0.0318,1,false
380,6433541552,0.0625,0.0318,1,false
381,6433541552,0.0625,0.0318,1,false
382,6433541552,0.0625,0.0318,1,false
383,6433541552,0.0625,0.0318,1,false
384,6433541552,0.0625,0.0318,1,false
385,6433541552,0.0625,0.0318,1,false
386,6433541552,0.0625,0.0318,1,false
387,6433541552,0.0625,0.0318,1,false
388,6433541552,0.0625,0.0318,1,false
389,6433541552,0.0625,0.0318,1,false
390,6433541552,0.0625,0.0318,1,false
391,6433541552,0.0625,0.0318,1,false
392,6433541552,0.0625,0.0318,1,false
393,6433541552,0.0625,0.0318,1,false
394,6433541552,0.0625,0.0318,1,false
395,6433541552,0.0625,0.0318,1,false
396,6433541552,0.0625,0.0318,1,false
397,6433541552,0.0625,0.0318,1,false
398,6433541552,0.0625,0.0318,1,false
399,6433541552,0.0625,0.0318,1,false
400,6433541552,0.0625,0.0318,1,false
401,6433541552,0.0625,0.0318,1,false
402,6433541552,0.0625,0.0318,1,false
403,6433541552,0.0625,0.0318,1,false
404,6433541552,0.0625,0.0318,1,false
405,6433541552,0.0625,0.0318,1,false
406,6433541552,0.0625,0.0318,1,false
407,6433541552,0.0625,0.0318,1,false
408,6433541552,0.0625,0.0318,1,false
409,6433541552,0.0625,0.0318,1,false
410,6433541552,0.0625,0.0318,1,false
411,6433541552,0.0625,0.0318,1,false
412,6433541552,0.0625,0.0318,1,false
413,6433541552,0.0625,0.0318,1,false
414,6433541552,0.0625,0.0318,1,false
415,6433541552,0.0625,0.0318,1,false
416,6433541552,0.0625,0.0318,1,false
417,6433541552,0.0625,0.0318,1,false
418,6433541552,0.0625,0.0318,1,false
419,6433541552,0.0625,0.0318,1,false
420,6433541552,0.0625,0.0318,1,false
421,6433541552,0.0625,0.0318,1,false
422,6433541552,0.0625,0.0318,1,false
423,6433541552,0.0625,0.0318,1,false
424,6433541552,0.0625,0.0318,1,false
425,6433541552,0.0625,0.0318,1,false
426,6433541552,0.0625,0.0318,1,false
427,6433541552,0.0625,0.0318,1,false
428,6433541552,0.0625,0.0318,1,false
429,6433541552,0.0625,0.0318,1,false
430,6433541552,0.0625,0.0318,1,false
431,6433541552,0.0625,0.0318,1,false
432,6433541552,0.0625,0.0318,1,false
433,6433541552,0.0625,0.0318,1,false
434,6433541552,0.0625,0.0318,1,false
435,6433541552,0.0625,0.0318,1,false
436,6433541552,0.0625,0.0318,1,false
437,6433541552,0.0625,0.0318,1,false
438,6433541552,0.0625,0.0318,1,false
439,6433541552,0.0625,0.0318,1,false
440,6433541552,0.0625,0.0318,1,false
441,6433541552,0.0625,0.0318,1,false
442,6433541552,0.0625,0.0318,1,false
443,6433541552,0.0625,0.0318,1,false
444,6433541552,0.0625,0.0318,1,false
445,6433541552,0.0625,0.0318,1,false
446,6433541552,0.0625,0.0318,1,false
447,6433541552,0.0625,0.0318,1,false
448,6433541552,0.0625,0.0318,1,false
449,6433541552,0.0625,0.0318,1,false
450,6433541552,0.0625,0.0318,1,false
451,6433541552,0.0625,0.0318,1,false
452,6433541552,0.0625,0.0318,1,false
453,6433541552,0.0625,0.0318,1,false
454,6433541552,0.0625,0.0318,1,false
455,6433541552,0.0625,0.0318,1,false
456,6433541552,0.0625,0.0318,1,false
457,6433541552,0.0625,0.0318,1,false
458,6433541552,0.0625,0.0318,1,false
459,6433541552,0.0625,0.0318,1,false
460,6433541552,0.0625,0.0318,1,false
461,6433541552,0.0625,0.0318,1,false
462,6433541552,0.0625,0.0318,1,false
463,6433541552,0.0625,0.0318,1,false
464,6433541552,0.0625,0.0318,1,false
465,6433541552,0.0625,0.0318,1,false
466,6433541552,0.0625,0.0318,1,false
467,6433541552,0.0625,0.0318,1,false
468,6433541552,0.0625,0.0318,1,false
469,6433541552,0.0625,0.0318,1,false
470,6433541552,0.0625,0.0318,1,false
471,6433541552,0.0625,0.0318,1,false
472,6433541552,0.0625,0.0318,1,false
473,6433541552,0.0625,0.0318,1,false
474,6433541552,0.0625,0.0318,1,false
475,6433541552,0.0625,0.0318,1,false
476,6433541552,0.0625,0.0318,1,false
477,6433541552,0.0625,0.0318,1,false
478,6433541552,0.0625,0.0318,1,false
479,6433541552,0.0625,0.0318,1,false
480,6433541552,0.0625,0.0318,1,false
481,6433541552,0.0625,0.0318,1,false
482,6433541552,0.0625,0.0318,1,false
483,6433541552,0.0625,0.0318,1,false
484,6433541552,0.0625,0.0318,1,false
485,6433541552,0.0625,0.0318,1,false
486,6433541552,0.0625,0.0318,1,false
487,6433541552,0.0625,0.0318,1,false
488,6433541552,0.0625,0.0318,1,false
489,6433541552,0.0625,0.0318,1,false
490,6433541552,0.0625,0.0318,1,false
491,6433541552,0.0625,0.0318,1,false
492,6433541552,0.0625,0.0318,1,false
493,6433541552,0.0625,0.0318,1,false
494,6433541552,0.0625,0.0318,1,false
495,6433541552,0.0625,0.0318,1,false
496,6433541552,0.0625,0.0318,1,false
497,6433541552,0.0625,0.0318,1,false
498,6433541552,0.0625,0.0318,1,false
499,6433541552,0.0625,0.0318,1,false
500,6433541552,0.0625,0.0318,1,false
501,6433541552,0.0625,0.0318,1,false
502,6433541552,0.0625,0.0318,1,false
503,6433541552,0.0625,0.0318,1,false
504,6433541552,0.0625,0.0318,1,false
505,6433541552,0.0625,0.0318,1,false
506,6433541552,0.0625,0.0318,1,false
507,6433541552,0.0625,0.0318,1,false
508,6433541552,0.0625,0.0318,1,false
509,6433541552,0.0625,0.0318,1,false
510,6433541552,0.0625,0.0318,1,false
511,6433541552,0.0625,0.0318,1,false
512,6433541552,0.0625,0.0318,1,false
513,6433541552,0.0625,0.0318,1,false
514,6433541552,0.0625,0.0318,1,false
515,6433541552,0.0625,0.0318,1,false
516,6433541552,0.0625,0.0318,1,false
517,6433541552,0.0625,0.0318,1,false
518,6433541552,0.0625,0.0318,1,false
519,6433541552,0.0625,0.0318,1,false
520,6433541552,0.0625,0.0318,1,false
521,6433541552,0.0625,0.0318,1,false
522,6433541552,0.0625,0.0318,1,false
