tid,jid,cpuReq,memReq,priority,couldCreateServer
250,6433541552,0.0625,0.0318,1,true
251,6433541552,0.0625,0.0318,1,true
252,6433541552,0.0625,0.0318,1,true
253,6433541552,0.0625,0.0318,1,true
254,6433541552,0.0625,0.0318,1,true
255,6433541552,0.0625,0.0318,1,true
256,6433541552,0.0625,0.0318,1,true
257,6433541552,0.0625,0.0318,1,true
258,6433541552,0.0625,0.0318,1,true
259,6433541552,0.0625,0.0318,1,true
260,6433541552,0.0625,0.0318,1,true
261,6433541552,0.0625,0.0318,1,true
262,6433541552,0.0625,0.0318,1,true
263,6433541552,0.0625,0.0318,1,true
264,6433541552,0.0625,0.0318,1,true
265,6433541552,0.0625,0.0318,1,true
266,6433541552,0.0625,0.0318,1,true
267,6433541552,0.0625,0.0318,1,true
268,6433541552,0.0625,0.0318,1,true
269,6433541552,0.0625,0.0318,1,true
270,6433541552,0.0625,0.0318,1,true
271,6433541552,0.0625,0.0318,1,true
272,6433541552,0.0625,0.0318,1,true
273,6433541552,0.0625,0.0318,1,true
274,6433541552,0.0625,0.0318,1,true
275,6433541552,0.0625,0.0318,1,true
276,6433541552,0.0625,0.0318,1,true
277,6433541552,0.0625,0.0318,1,true
278,6433541552,0.0625,0.0318,1,true
279,6433541552,0.0625,0.0318,1,true
280,6433541552,0.0625,0.0318,1,true
281,6433541552,0.0625,0.0318,1,true
282,6433541552,0.0625,0.0318,1,true
283,6433541552,0.0625,0.0318,1,true
284,6433541552,0.0625,0.0318,1,true
285,6433541552,0.0625,0.0318,1,true
286,6433541552,0.0625,0.0318,1,true
287,6433541552,0.0625,0.0318,1,true
288,6433541552,0.0625,0.0318,1,true
289,6433541552,0.0625,0.0318,1,true
290,6433541552,0.0625,0.0318,1,true
291,6433541552,0.0625,0.0318,1,true
292,6433541552,0.0625,0.0318,1,true
293,6433541552,0.0625,0.0318,1,true
294,6433541552,0.0625,0.0318,1,true
295,6433541552,0.0625,0.0318,1,true
296,6433541552,0.0625,0.0318,1,true
297,6433541552,0.0625,0.0318,1,true
298,6433541552,0.0625,0.0318,1,true
299,6433541552,0.0625,0.0318,1,true
300,6433541552,0.0625,0.0318,1,true
301,6433541552,0.0625,0.0318,1,true
302,6433541552,0.0625,0.0318,1,true
303,6433541552,0.0625,0.0318,1,true
304,6433541552,0.0625,0.0318,1,true
305,6433541552,0.0625,0.0318,1,true
306,6433541552,0.0625,0.0318,1,true
307,6433541552,0.0625,0.0318,1,true
308,6433541552,0.0625,0.0318,1,true
309,6433541552,0.0625,0.0318,1,true
310,6433541552,0.0625,0.0318,1,true
311,6433541552,0.0625,0.0318,1,true
312,6433541552,0.0625,0.0318,1,true
313,6433541552,0.0625,0.0318,1,true
314,6433541552,0.0625,0.0318,1,true
315,6433541552,0.0625,0.0318,1,true
316,6433541552,0.0625,0.0318,1,true
317,6433541552,0.0625,0.0318,1,true
318,6433541552,0.0625,0.0318,1,true
319,6433541552,0.0625,0.0318,1,true
