tid,jid,cpuReq,memReq,priority,couldCreateServer
0,4652685954,0.0625,0.01244,1,false
0,4986079692,0.0625,0.01244,1,false
1,4986079692,0.0625,0.01244,1,false
2,4986079692,0.0625,0.01244,1,false
3,4986079692,0.0625,0.01244,1,false
4,4986079692,0.0625,0.01244,1,false
5,4986079692,0.0625,0.01244,1,false
6,4986079692,0.0625,0.01244,1,false
7,4986079692,0.0625,0.01244,1,false
8,4986079692,0.0625,0.01244,1,false
9,4986079692,0.0625,0.01244,1,false
10,4986079692,0.0625,0.01244,1,false
11,4986079692,0.0625,0.01244,1,false
12,4986079692,0.0625,0.01244,1,false
13,4986079692,0.0625,0.01244,1,false
14,4986079692,0.0625,0.01244,1,false
15,4986079692,0.0625,0.01244,1,false
16,4986079692,0.0625,0.01244,1,false
17,4986079692,0.0625,0.01244,1,false
18,4986079692,0.0625,0.01244,1,false
19,4986079692,0.0625,0.01244,1,false
20,4986079692,0.0625,0.01244,1,false
21,4986079692,0.0625,0.01244,1,false
22,4986079692,0.0625,0.01244,1,false
23,4986079692,0.0625,0.01244,1,false
24,4986079692,0.0625,0.01244,1,false
25,4986079692,0.0625,0.01244,1,false
26,4986079692,0.0625,0.01244,1,false
27,4986079692,0.0625,0.01244,1,false
28,4986079692,0.0625,0.01244,1,false
29,4986079692,0.0625,0.01244,1,false
30,4986079692,0.0625,0.01244,1,false
31,4986079692,0.0625,0.01244,1,false
32,4986079692,0.0625,0.01244,1,false
0,6238732936,0.0625,0.01244,1,false
0,6349770655,0.0625,0.01244,1,false
0,5352368919,0.0625,0.0101,1,false
0,5410652118,0.0625,0.0101,1,false
0,5293806371,0.0625,0.009323,1,false
1,5293806371,0.0625,0.009323,1,false
0,6463710149,0.0625,0.009323,1,false
1,6463710149,0.0625,0.009323,1,false
0,5160254613,0.0625,0.00795,1,false
0,6373803864,0.0625,0.00795,1,false
0,6392881021,0.0625,0.00795,1,false
0,6393037088,0.0625,0.00795,1,false
0,6430868308,0.0625,0.00795,1,false
0,6454229415,0.0625,0.00795,1,false
0,4675058973,0.0625,0.007767,1,false
0,6164609134,0.0625,0.007767,1,false
0,6167726282,0.0625,0.007767,1,false
0,5167224913,0.0625,0.00634,1,false
1,5167224913,0.0625,0.00634,1,false
0,5687360285,0.0625,0.00634,1,false
1,5687360285,0.0625,0.00634,1,false
0,4615674607,0.0625,0.006218,1,false
0,5286020859,0.0625,0.006218,1,false
0,6122173965,0.0625,0.006218,1,false
0,3387288030,0.0625,0.004318,1,false
1,3387288030,0.0625,0.004318,1,false
2,3387288030,0.0625,0.004318,1,false
3,3387288030,0.0625,0.004318,1,false
0,3860873439,0.0625,0.003975,1,false
1,3860873439,0.0625,0.003975,1,false
2,3860873439,0.0625,0.003975,1,false
3,3860873439,0.0625,0.003975,1,false
4,3860873439,0.0625,0.003975,1,false
0,4845636237,0.0625,0.003883,1,false
0,4879796161,0.0625,0.003883,1,false
0,5450858373,0.0625,0.003883,1,false
0,3998523914,0.0625,0.003109,1,false
1,3998523914,0.0625,0.003109,1,false
2,3998523914,0.0625,0.003109,1,false
0,4640563472,0.0625,0.003109,1,false
1,4640563472,0.0625,0.003109,1,false
2,4640563472,0.0625,0.003109,1,false
0,4900438058,0.0625,0.003109,1,false
0,5756212140,0.0625,0.003109,1,false
0,5990952736,0.0625,0.003109,1,false
0,5904415764,0.0625,0.001591,1,false
0,515042954,0.2219,0.02097,0,false
0,4708675610,0.1594,0.03583,0,false
1,515042954,0.1594,0.02097,0,false
2,515042954,0.1594,0.02097,0,false
3,515042954,0.1594,0.02097,0,false
0,1992404130,0.1594,0.00795,0,false
0,3915608727,0.1282,0.01466,0,false
0,5331277326,0.125,0.03107,0,false
0,5456849485,0.125,0.03107,0,false
0,6408655164,0.125,0.02863,0,false
0,5003132532,0.125,0.003109,0,false
0,5028636792,0.125,0.003109,0,false
0,6256519290,0.1188,0.002331,0,false
4,515042954,0.1156,0.02097,0,false
5,515042954,0.1156,0.02097,0,false
6,515042954,0.1156,0.02097,0,false
7,515042954,0.1156,0.02097,0,false
8,515042954,0.1156,0.02097,0,false
9,515042954,0.1156,0.02097,0,false
10,515042954,0.1156,0.02097,0,false
11,515042954,0.1156,0.02097,0,false
12,515042954,0.1156,0.02097,0,false
0,5615650842,0.09375,0.03107,0,false
0,6305584473,0.09375,0.02057,0,false
1,6305584473,0.09375,0.02057,0,false
2,6305584473,0.09375,0.02057,0,false
0,6117800987,0.07495,0.02332,0,false
1,6117800987,0.07495,0.02332,0,false
2,6117800987,0.07495,0.02332,0,false
3,6117800987,0.07495,0.02332,0,false
4,6117800987,0.07495,0.02332,0,false
5,6117800987,0.07495,0.02332,0,false
6,6117800987,0.07495,0.02332,0,false
7,6117800987,0.07495,0.02332,0,false
8,6117800987,0.07495,0.02332,0,false
9,6117800987,0.07495,0.02332,0,false
0,5246092985,0.0625,0.1592,0,false
0,1488088415,0.0625,0.1152,0,false
0,6469693146,0.0625,0.06433,0,false
0,5770157605,0.0625,0.0636,0,false
0,4392480606,0.0625,0.06335,0,false
1,4392480606,0.0625,0.06335,0,false
2,4392480606,0.0625,0.06335,0,false
3,4392480606,0.0625,0.06335,0,false
4,4392480606,0.0625,0.06335,0,false
5,4392480606,0.0625,0.06335,0,false
6,4392480606,0.0625,0.06335,0,false
7,4392480606,0.0625,0.06335,0,false
8,4392480606,0.0625,0.06335,0,false
9,4392480606,0.0625,0.06335,0,false
10,4392480606,0.0625,0.06335,0,false
11,4392480606,0.0625,0.06335,0,false
12,4392480606,0.0625,0.06335,0,false
13,4392480606,0.0625,0.06335,0,false
14,4392480606,0.0625,0.06335,0,false
15,4392480606,0.0625,0.06335,0,false
16,4392480606,0.0625,0.06335,0,false
17,4392480606,0.0625,0.06335,0,false
18,4392480606,0.0625,0.06335,0,false
19,4392480606,0.0625,0.06335,0,false
20,4392480606,0.0625,0.06335,0,false
21,4392480606,0.0625,0.06335,0,false
22,4392480606,0.0625,0.06335,0,false
23,4392480606,0.0625,0.06335,0,false
24,4392480606,0.0625,0.06335,0,false
25,4392480606,0.0625,0.06335,0,false
26,4392480606,0.0625,0.06335,0,false
27,4392480606,0.0625,0.06335,0,false
28,4392480606,0.0625,0.06335,0,false
29,4392480606,0.0625,0.06335,0,false
30,4392480606,0.0625,0.06335,0,false
31,4392480606,0.0625,0.06335,0,false
32,4392480606,0.0625,0.06335,0,false
33,4392480606,0.0625,0.06335,0,false
34,4392480606,0.0625,0.06335,0,false
35,4392480606,0.0625,0.06335,0,false
36,4392480606,0.0625,0.06335,0,false
37,4392480606,0.0625,0.06335,0,false
38,4392480606,0.0625,0.06335,0,false
39,4392480606,0.0625,0.06335,0,false
40,4392480606,0.0625,0.06335,0,false
41,4392480606,0.0625,0.06335,0,false
42,4392480606,0.0625,0.06335,0,false
43,4392480606,0.0625,0.06335,0,false
44,4392480606,0.0625,0.06335,0,false
45,4392480606,0.0625,0.06335,0,false
46,4392480606,0.0625,0.06335,0,false
47,4392480606,0.0625,0.06335,0,false
48,4392480606,0.0625,0.06335,0,false
49,4392480606,0.0625,0.06335,0,false
50,4392480606,0.0625,0.06335,0,false
51,4392480606,0.0625,0.06335,0,false
52,4392480606,0.0625,0.06335,0,false
53,4392480606,0.0625,0.06335,0,false
54,4392480606,0.0625,0.06335,0,false
55,4392480606,0.0625,0.06335,0,false
56,4392480606,0.0625,0.06335,0,false
57,4392480606,0.0625,0.06335,0,false
58,4392480606,0.0625,0.06335,0,false
59,4392480606,0.0625,0.06335,0,false
60,4392480606,0.0625,0.06335,0,false
61,4392480606,0.0625,0.06335,0,false
62,4392480606,0.0625,0.06335,0,false
63,4392480606,0.0625,0.06335,0,false
64,4392480606,0.0625,0.06335,0,false
65,4392480606,0.0625,0.06335,0,false
66,4392480606,0.0625,0.06335,0,false
67,4392480606,0.0625,0.06335,0,false
68,4392480606,0.0625,0.06335,0,false
69,4392480606,0.0625,0.06335,0,false
70,4392480606,0.0625,0.06335,0,false
71,4392480606,0.0625,0.06335,0,false
72,4392480606,0.0625,0.06335,0,false
73,4392480606,0.0625,0.06335,0,false
74,4392480606,0.0625,0.06335,0,false
75,4392480606,0.0625,0.06335,0,false
76,4392480606,0.0625,0.06335,0,false
77,4392480606,0.0625,0.06335,0,false
78,4392480606,0.0625,0.06335,0,false
79,4392480606,0.0625,0.06335,0,false
80,4392480606,0.0625,0.06335,0,false
81,4392480606,0.0625,0.06335,0,false
82,4392480606,0.0625,0.06335,0,false
83,4392480606,0.0625,0.06335,0,false
84,4392480606,0.0625,0.06335,0,false
85,4392480606,0.0625,0.06335,0,false
86,4392480606,0.0625,0.06335,0,false
87,4392480606,0.0625,0.06335,0,false
88,4392480606,0.0625,0.06335,0,false
89,4392480606,0.0625,0.06335,0,false
90,4392480606,0.0625,0.06335,0,false
91,4392480606,0.0625,0.06335,0,false
92,4392480606,0.0625,0.06335,0,false
93,4392480606,0.0625,0.06335,0,false
94,4392480606,0.0625,0.06335,0,false
95,4392480606,0.0625,0.06335,0,false
96,4392480606,0.0625,0.06335,0,false
97,4392480606,0.0625,0.06335,0,false
98,4392480606,0.0625,0.06335,0,false
99,4392480606,0.0625,0.06335,0,false
100,4392480606,0.0625,0.06335,0,false
101,4392480606,0.0625,0.06335,0,false
102,4392480606,0.0625,0.06335,0,false
103,4392480606,0.0625,0.06335,0,false
104,4392480606,0.0625,0.06335,0,false
105,4392480606,0.0625,0.06335,0,false
106,4392480606,0.0625,0.06335,0,false
107,4392480606,0.0625,0.06335,0,false
108,4392480606,0.0625,0.06335,0,false
109,4392480606,0.0625,0.06335,0,false
110,4392480606,0.0625,0.06335,0,false
111,4392480606,0.0625,0.06335,0,false
112,4392480606,0.0625,0.06335,0,false
113,4392480606,0.0625,0.06335,0,false
114,4392480606,0.0625,0.06335,0,false
115,4392480606,0.0625,0.06335,0,false
116,4392480606,0.0625,0.06335,0,false
117,4392480606,0.0625,0.06335,0,false
118,4392480606,0.0625,0.06335,0,false
119,4392480606,0.0625,0.06335,0,false
120,4392480606,0.0625,0.06335,0,false
121,4392480606,0.0625,0.06335,0,false
122,4392480606,0.0625,0.06335,0,false
123,4392480606,0.0625,0.06335,0,false
124,4392480606,0.0625,0.06335,0,false
125,4392480606,0.0625,0.06335,0,false
126,4392480606,0.0625,0.06335,0,false
127,4392480606,0.0625,0.06335,0,false
128,4392480606,0.0625,0.06335,0,false
129,4392480606,0.0625,0.06335,0,false
130,4392480606,0.0625,0.06335,0,false
131,4392480606,0.0625,0.06335,0,false
132,4392480606,0.0625,0.06335,0,false
133,4392480606,0.0625,0.06335,0,false
134,4392480606,0.0625,0.06335,0,false
135,4392480606,0.0625,0.06335,0,false
136,4392480606,0.0625,0.06335,0,false
137,4392480606,0.0625,0.06335,0,false
