tid,jid,cpuReq,memReq,priority,couldCreateServer
0,3520037933,0.0625,0.1143,1,true
782,6176871439,0.01874,0.003887,1,true
783,6176871439,0.01874,0.003887,1,true
784,6176871439,0.01874,0.003887,1,true
785,6176871439,0.01874,0.003887,1,true
786,6176871439,0.01874,0.003887,1,true
787,6176871439,0.01874,0.003887,1,true
788,6176871439,0.01874,0.003887,1,true
789,6176871439,0.01874,0.003887,1,true
790,6176871439,0.01874,0.003887,1,true
791,6176871439,0.01874,0.003887,1,true
792,6176871439,0.01874,0.003887,1,true
793,6176871439,0.01874,0.003887,1,true
794,6176871439,0.01874,0.003887,1,true
795,6176871439,0.01874,0.003887,1,true
796,6176871439,0.01874,0.003887,1,true
797,6176871439,0.01874,0.003887,1,true
798,6176871439,0.01874,0.003887,1,true
799,6176871439,0.01874,0.003887,1,true
800,6176871439,0.01874,0.003887,1,true
801,6176871439,0.01874,0.003887,1,true
802,6176871439,0.01874,0.003887,1,true
803,6176871439,0.01874,0.003887,1,true
804,6176871439,0.01874,0.003887,1,true
805,6176871439,0.01874,0.003887,1,true
806,6176871439,0.01874,0.003887,1,true
807,6176871439,0.01874,0.003887,1,true
808,6176871439,0.01874,0.003887,1,true
809,6176871439,0.01874,0.003887,1,true
810,6176871439,0.01874,0.003887,1,true
811,6176871439,0.01874,0.003887,1,true
812,6176871439,0.01874,0.003887,1,true
813,6176871439,0.01874,0.003887,1,true
814,6176871439,0.01874,0.003887,1,true
815,6176871439,0.01874,0.003887,1,true
816,6176871439,0.01874,0.003887,1,true
817,6176871439,0.01874,0.003887,1,true
818,6176871439,0.01874,0.003887,1,true
819,6176871439,0.01874,0.003887,1,true
820,6176871439,0.01874,0.003887,1,true
821,6176871439,0.01874,0.003887,1,true
822,6176871439,0.01874,0.003887,1,true
823,6176871439,0.01874,0.003887,1,true
824,6176871439,0.01874,0.003887,1,true
825,6176871439,0.01874,0.003887,1,true
826,6176871439,0.01874,0.003887,1,true
827,6176871439,0.01874,0.003887,1,true
828,6176871439,0.01874,0.003887,1,true
829,6176871439,0.01874,0.003887,1,true
830,6176871439,0.01874,0.003887,1,true
831,6176871439,0.01874,0.003887,1,true
832,6176871439,0.01874,0.003887,1,true
833,6176871439,0.01874,0.003887,1,true
834,6176871439,0.01874,0.003887,1,true
835,6176871439,0.01874,0.003887,1,true
836,6176871439,0.01874,0.003887,1,true
837,6176871439,0.01874,0.003887,1,true
838,6176871439,0.01874,0.003887,1,true
839,6176871439,0.01874,0.003887,1,true
840,6176871439,0.01874,0.003887,1,true
841,6176871439,0.01874,0.003887,1,true
842,6176871439,0.01874,0.003887,1,true
843,6176871439,0.01874,0.003887,1,true
844,6176871439,0.01874,0.003887,1,true
845,6176871439,0.01874,0.003887,1,true
846,6176871439,0.01874,0.003887,1,true
847,6176871439,0.01874,0.003887,1,true
848,6176871439,0.01874,0.003887,1,true
849,6176871439,0.01874,0.003887,1,true
850,6176871439,0.01874,0.003887,1,true
851,6176871439,0.01874,0.003887,1,true
852,6176871439,0.01874,0.003887,1,true
853,6176871439,0.01874,0.003887,1,true
854,6176871439,0.01874,0.003887,1,true
855,6176871439,0.01874,0.003887,1,true
856,6176871439,0.01874,0.003887,1,true
857,6176871439,0.01874,0.003887,1,true
858,6176871439,0.01874,0.003887,1,true
859,6176871439,0.01874,0.003887,1,true
860,6176871439,0.01874,0.003887,1,true
861,6176871439,0.01874,0.003887,1,true
862,6176871439,0.01874,0.003887,1,true
863,6176871439,0.01874,0.003887,1,true
864,6176871439,0.01874,0.003887,1,true
865,6176871439,0.01874,0.003887,1,true
866,6176871439,0.01874,0.003887,1,true
867,6176871439,0.01874,0.003887,1,true
868,6176871439,0.01874,0.003887,1,true
869,6176871439,0.01874,0.003887,1,true
870,6176871439,0.01874,0.003887,1,true
871,6176871439,0.01874,0.003887,1,true
872,6176871439,0.01874,0.003887,1,true
873,6176871439,0.01874,0.003887,1,true
874,6176871439,0.01874,0.003887,1,true
875,6176871439,0.01874,0.003887,1,true
876,6176871439,0.01874,0.003887,1,true
877,6176871439,0.01874,0.003887,1,true
878,6176871439,0.01874,0.003887,1,true
879,6176871439,0.01874,0.003887,1,true
880,6176871439,0.01874,0.003887,1,true
881,6176871439,0.01874,0.003887,1,true
882,6176871439,0.01874,0.003887,1,true
883,6176871439,0.01874,0.003887,1,true
884,6176871439,0.01874,0.003887,1,true
885,6176871439,0.01874,0.003887,1,true
886,6176871439,0.01874,0.003887,1,true
887,6176871439,0.01874,0.003887,1,true
888,6176871439,0.01874,0.003887,1,true
889,6176871439,0.01874,0.003887,1,true
890,6176871439,0.01874,0.003887,1,true
891,6176871439,0.01874,0.003887,1,true
892,6176871439,0.01874,0.003887,1,true
893,6176871439,0.01874,0.003887,1,true
894,6176871439,0.01874,0.003887,1,true
895,6176871439,0.01874,0.003887,1,true
896,6176871439,0.01874,0.003887,1,true
897,6176871439,0.01874,0.003887,1,true
898,6176871439,0.01874,0.003887,1,true
899,6176871439,0.01874,0.003887,1,true
900,6176871439,0.01874,0.003887,1,true
901,6176871439,0.01874,0.003887,1,true
902,6176871439,0.01874,0.003887,1,true
903,6176871439,0.01874,0.003887,1,true
904,6176871439,0.01874,0.003887,1,true
905,6176871439,0.01874,0.003887,1,true
906,6176871439,0.01874,0.003887,1,true
907,6176871439,0.01874,0.003887,1,true
908,6176871439,0.01874,0.003887,1,true
909,6176871439,0.01874,0.003887,1,true
910,6176871439,0.01874,0.003887,1,true
911,6176871439,0.01874,0.003887,1,true
912,6176871439,0.01874,0.003887,1,true
913,6176871439,0.01874,0.003887,1,true
914,6176871439,0.01874,0.003887,1,true
915,6176871439,0.01874,0.003887,1,true
916,6176871439,0.01874,0.003887,1,true
917,6176871439,0.01874,0.003887,1,true
918,6176871439,0.01874,0.003887,1,true
919,6176871439,0.01874,0.003887,1,true
920,6176871439,0.01874,0.003887,1,true
921,6176871439,0.01874,0.003887,1,true
922,6176871439,0.01874,0.003887,1,true
923,6176871439,0.01874,0.003887,1,true
924,6176871439,0.01874,0.003887,1,true
925,6176871439,0.01874,0.003887,1,true
926,6176871439,0.01874,0.003887,1,true
927,6176871439,0.01874,0.003887,1,true
928,6176871439,0.01874,0.003887,1,true
929,6176871439,0.01874,0.003887,1,true
930,6176871439,0.01874,0.003887,1,true
