tid,jid,cpuReq,memReq,priority,couldCreateServer
0,3520037933,0.0625,0.1143,1,true
257,6452825275,0.0625,0.0318,1,false
258,6452825275,0.0625,0.0318,1,false
259,6452825275,0.0625,0.0318,1,false
260,6452825275,0.0625,0.0318,1,false
261,6452825275,0.0625,0.0318,1,false
262,6452825275,0.0625,0.0318,1,false
263,6452825275,0.0625,0.0318,1,false
264,6452825275,0.0625,0.0318,1,false
265,6452825275,0.0625,0.0318,1,false
266,6452825275,0.0625,0.0318,1,false
267,6452825275,0.0625,0.0318,1,false
268,6452825275,0.0625,0.0318,1,false
269,6452825275,0.0625,0.0318,1,false
270,6452825275,0.0625,0.0318,1,false
271,6452825275,0.0625,0.0318,1,false
272,6452825275,0.0625,0.0318,1,false
273,6452825275,0.0625,0.0318,1,false
274,6452825275,0.0625,0.0318,1,false
275,6452825275,0.0625,0.0318,1,false
276,6452825275,0.0625,0.0318,1,false
277,6452825275,0.0625,0.0318,1,false
278,6452825275,0.0625,0.0318,1,false
279,6452825275,0.0625,0.0318,1,false
280,6452825275,0.0625,0.0318,1,false
281,6452825275,0.0625,0.0318,1,false
282,6452825275,0.0625,0.0318,1,false
283,6452825275,0.0625,0.0318,1,false
284,6452825275,0.0625,0.0318,1,false
285,6452825275,0.0625,0.0318,1,false
286,6452825275,0.0625,0.0318,1,false
287,6452825275,0.0625,0.0318,1,false
288,6452825275,0.0625,0.0318,1,false
289,6452825275,0.0625,0.0318,1,false
290,6452825275,0.0625,0.0318,1,false
291,6452825275,0.0625,0.0318,1,false
292,6452825275,0.0625,0.0318,1,false
293,6452825275,0.0625,0.0318,1,false
294,6452825275,0.0625,0.0318,1,false
295,6452825275,0.0625,0.0318,1,false
296,6452825275,0.0625,0.0318,1,false
297,6452825275,0.0625,0.0318,1,false
298,6452825275,0.0625,0.0318,1,false
299,6452825275,0.0625,0.0318,1,false
300,6452825275,0.0625,0.0318,1,false
301,6452825275,0.0625,0.0318,1,false
302,6452825275,0.0625,0.0318,1,false
303,6452825275,0.0625,0.0318,1,false
304,6452825275,0.0625,0.0318,1,false
305,6452825275,0.0625,0.0318,1,false
306,6452825275,0.0625,0.0318,1,false
307,6452825275,0.0625,0.0318,1,false
308,6452825275,0.0625,0.0318,1,false
309,6452825275,0.0625,0.0318,1,false
310,6452825275,0.0625,0.0318,1,false
311,6452825275,0.0625,0.0318,1,false
312,6452825275,0.0625,0.0318,1,false
313,6452825275,0.0625,0.0318,1,false
314,6452825275,0.0625,0.0318,1,false
315,6452825275,0.0625,0.0318,1,false
316,6452825275,0.0625,0.0318,1,false
317,6452825275,0.0625,0.0318,1,false
318,6452825275,0.0625,0.0318,1,false
319,6452825275,0.0625,0.0318,1,false
320,6452825275,0.0625,0.0318,1,false
321,6452825275,0.0625,0.0318,1,false
322,6452825275,0.0625,0.0318,1,false
323,6452825275,0.0625,0.0318,1,false
324,6452825275,0.0625,0.0318,1,false
325,6452825275,0.0625,0.0318,1,false
326,6452825275,0.0625,0.0318,1,false
327,6452825275,0.0625,0.0318,1,false
328,6452825275,0.0625,0.0318,1,false
329,6452825275,0.0625,0.0318,1,false
330,6452825275,0.0625,0.0318,1,false
331,6452825275,0.0625,0.0318,1,false
332,6452825275,0.0625,0.0318,1,false
333,6452825275,0.0625,0.0318,1,false
334,6452825275,0.0625,0.0318,1,false
335,6452825275,0.0625,0.0318,1,false
336,6452825275,0.0625,0.0318,1,false
337,6452825275,0.0625,0.0318,1,false
338,6452825275,0.0625,0.0318,1,false
339,6452825275,0.0625,0.0318,1,false
340,6452825275,0.0625,0.0318,1,false
341,6452825275,0.0625,0.0318,1,false
342,6452825275,0.0625,0.0318,1,false
343,6452825275,0.0625,0.0318,1,false
344,6452825275,0.0625,0.0318,1,false
345,6452825275,0.0625,0.0318,1,false
346,6452825275,0.0625,0.0318,1,false
347,6452825275,0.0625,0.0318,1,false
348,6452825275,0.0625,0.0318,1,false
349,6452825275,0.0625,0.0318,1,false
350,6452825275,0.0625,0.0318,1,false
351,6452825275,0.0625,0.0318,1,false
352,6452825275,0.0625,0.0318,1,false
353,6452825275,0.0625,0.0318,1,false
354,6452825275,0.0625,0.0318,1,false
355,6452825275,0.0625,0.0318,1,false
356,6452825275,0.0625,0.0318,1,false
357,6452825275,0.0625,0.0318,1,false
358,6452825275,0.0625,0.0318,1,false
359,6452825275,0.0625,0.0318,1,false
360,6452825275,0.0625,0.0318,1,false
361,6452825275,0.0625,0.0318,1,false
362,6452825275,0.0625,0.0318,1,false
363,6452825275,0.0625,0.0318,1,false
364,6452825275,0.0625,0.0318,1,false
365,6452825275,0.0625,0.0318,1,false
366,6452825275,0.0625,0.0318,1,false
367,6452825275,0.0625,0.0318,1,false
368,6452825275,0.0625,0.0318,1,false
369,6452825275,0.0625,0.0318,1,false
370,6452825275,0.0625,0.0318,1,false
371,6452825275,0.0625,0.0318,1,false
372,6452825275,0.0625,0.0318,1,false
373,6452825275,0.0625,0.0318,1,false
374,6452825275,0.0625,0.0318,1,false
375,6452825275,0.0625,0.0318,1,false
376,6452825275,0.0625,0.0318,1,false
377,6452825275,0.0625,0.0318,1,false
378,6452825275,0.0625,0.0318,1,false
379,6452825275,0.0625,0.0318,1,false
380,6452825275,0.0625,0.0318,1,false
381,6452825275,0.0625,0.0318,1,false
382,6452825275,0.0625,0.0318,1,false
383,6452825275,0.0625,0.0318,1,false
384,6452825275,0.0625,0.0318,1,false
385,6452825275,0.0625,0.0318,1,false
386,6452825275,0.0625,0.0318,1,false
387,6452825275,0.0625,0.0318,1,false
388,6452825275,0.0625,0.0318,1,false
389,6452825275,0.0625,0.0318,1,false
390,6452825275,0.0625,0.0318,1,false
391,6452825275,0.0625,0.0318,1,false
392,6452825275,0.0625,0.0318,1,false
393,6452825275,0.0625,0.0318,1,false
394,6452825275,0.0625,0.0318,1,false
395,6452825275,0.0625,0.0318,1,false
396,6452825275,0.0625,0.0318,1,false
397,6452825275,0.0625,0.0318,1,false
398,6452825275,0.0625,0.0318,1,false
399,6452825275,0.0625,0.0318,1,false
400,6452825275,0.0625,0.0318,1,false
401,6452825275,0.0625,0.0318,1,false
402,6452825275,0.0625,0.0318,1,false
403,6452825275,0.0625,0.0318,1,false
404,6452825275,0.0625,0.0318,1,false
405,6452825275,0.0625,0.0318,1,false
406,6452825275,0.0625,0.0318,1,false
407,6452825275,0.0625,0.0318,1,false
408,6452825275,0.0625,0.0318,1,false
409,6452825275,0.0625,0.0318,1,false
410,6452825275,0.0625,0.0318,1,false
411,6452825275,0.0625,0.0318,1,false
412,6452825275,0.0625,0.0318,1,false
413,6452825275,0.0625,0.0318,1,false
414,6452825275,0.0625,0.0318,1,false
415,6452825275,0.0625,0.0318,1,false
416,6452825275,0.0625,0.0318,1,false
417,6452825275,0.0625,0.0318,1,false
418,6452825275,0.0625,0.0318,1,false
419,6452825275,0.0625,0.0318,1,false
420,6452825275,0.0625,0.0318,1,false
421,6452825275,0.0625,0.0318,1,false
422,6452825275,0.0625,0.0318,1,false
423,6452825275,0.0625,0.0318,1,false
424,6452825275,0.0625,0.0318,1,false
425,6452825275,0.0625,0.0318,1,false
