tid,jid,cpuReq,memReq,priority,couldCreateServer
1373,6275743777,0.0625,0.0318,1,true
1374,6275743777,0.0625,0.0318,1,true
1375,6275743777,0.0625,0.0318,1,true
1376,6275743777,0.0625,0.0318,1,true
1377,6275743777,0.0625,0.0318,1,true
1378,6275743777,0.0625,0.0318,1,true
1379,6275743777,0.0625,0.0318,1,true
1380,6275743777,0.0625,0.0318,1,true
1381,6275743777,0.0625,0.0318,1,true
1382,6275743777,0.0625,0.0318,1,true
1383,6275743777,0.0625,0.0318,1,true
1384,6275743777,0.0625,0.0318,1,true
1385,6275743777,0.0625,0.0318,1,true
1386,6275743777,0.0625,0.0318,1,true
1387,6275743777,0.0625,0.0318,1,true
1388,6275743777,0.0625,0.0318,1,true
1389,6275743777,0.0625,0.0318,1,true
1390,6275743777,0.0625,0.0318,1,true
1391,6275743777,0.0625,0.0318,1,true
1392,6275743777,0.0625,0.0318,1,true
1393,6275743777,0.0625,0.0318,1,true
1394,6275743777,0.0625,0.0318,1,true
1395,6275743777,0.0625,0.0318,1,true
1396,6275743777,0.0625,0.0318,1,true
1397,6275743777,0.0625,0.0318,1,true
1398,6275743777,0.0625,0.0318,1,true
1399,6275743777,0.0625,0.0318,1,true
1400,6275743777,0.0625,0.0318,1,true
1401,6275743777,0.0625,0.0318,1,true
1402,6275743777,0.0625,0.0318,1,true
1403,6275743777,0.0625,0.0318,1,true
1404,6275743777,0.0625,0.0318,1,true
1405,6275743777,0.0625,0.0318,1,true
1406,6275743777,0.0625,0.0318,1,true
1407,6275743777,0.0625,0.0318,1,true
1408,6275743777,0.0625,0.0318,1,true
1409,6275743777,0.0625,0.0318,1,true
1410,6275743777,0.0625,0.0318,1,true
1411,6275743777,0.0625,0.0318,1,true
1412,6275743777,0.0625,0.0318,1,true
1413,6275743777,0.0625,0.0318,1,true
1414,6275743777,0.0625,0.0318,1,true
1415,6275743777,0.0625,0.0318,1,true
1416,6275743777,0.0625,0.0318,1,true
1417,6275743777,0.0625,0.0318,1,true
1418,6275743777,0.0625,0.0318,1,true
1419,6275743777,0.0625,0.0318,1,true
1420,6275743777,0.0625,0.0318,1,true
1421,6275743777,0.0625,0.0318,1,true
1422,6275743777,0.0625,0.0318,1,true
1423,6275743777,0.0625,0.0318,1,true
1424,6275743777,0.0625,0.0318,1,true
1425,6275743777,0.0625,0.0318,1,true
1426,6275743777,0.0625,0.0318,1,true
1427,6275743777,0.0625,0.0318,1,true
1428,6275743777,0.0625,0.0318,1,true
1429,6275743777,0.0625,0.0318,1,true
1430,6275743777,0.0625,0.0318,1,true
1431,6275743777,0.0625,0.0318,1,true
1432,6275743777,0.0625,0.0318,1,true
1433,6275743777,0.0625,0.0318,1,true
1434,6275743777,0.0625,0.0318,1,true
1435,6275743777,0.0625,0.0318,1,true
1436,6275743777,0.0625,0.0318,1,true
1437,6275743777,0.0625,0.0318,1,true
1438,6275743777,0.0625,0.0318,1,true
1439,6275743777,0.0625,0.0318,1,true
1440,6275743777,0.0625,0.0318,1,true
1441,6275743777,0.0625,0.0318,1,true
1442,6275743777,0.0625,0.0318,1,true
1443,6275743777,0.0625,0.0318,1,true
1444,6275743777,0.0625,0.0318,1,true
1445,6275743777,0.0625,0.0318,1,true
1446,6275743777,0.0625,0.0318,1,true
1447,6275743777,0.0625,0.0318,1,true
1448,6275743777,0.0625,0.0318,1,true
1449,6275743777,0.0625,0.0318,1,true
1450,6275743777,0.0625,0.0318,1,true
1451,6275743777,0.0625,0.0318,1,true
1452,6275743777,0.0625,0.0318,1,true
1453,6275743777,0.0625,0.0318,1,true
1454,6275743777,0.0625,0.0318,1,true
1455,6275743777,0.0625,0.0318,1,true
1456,6275743777,0.0625,0.0318,1,true
1457,6275743777,0.0625,0.0318,1,true
1458,6275743777,0.0625,0.0318,1,true
1459,6275743777,0.0625,0.0318,1,true
1460,6275743777,0.0625,0.0318,1,true
1461,6275743777,0.0625,0.0318,1,true
1462,6275743777,0.0625,0.0318,1,true
1463,6275743777,0.0625,0.0318,1,true
1464,6275743777,0.0625,0.0318,1,true
1465,6275743777,0.0625,0.0318,1,true
1466,6275743777,0.0625,0.0318,1,true
1467,6275743777,0.0625,0.0318,1,true
1468,6275743777,0.0625,0.0318,1,true
1469,6275743777,0.0625,0.0318,1,true
1470,6275743777,0.0625,0.0318,1,true
1471,6275743777,0.0625,0.0318,1,true
1472,6275743777,0.0625,0.0318,1,true
1473,6275743777,0.0625,0.0318,1,true
1474,6275743777,0.0625,0.0318,1,true
1475,6275743777,0.0625,0.0318,1,true
1476,6275743777,0.0625,0.0318,1,true
