hostId,cpuCapacity,freeCpu,memCapacity,freeMem
5,0.5,0.1394,0.2493,0.00257
6,0.5,0.03299,0.2493,4.04E-4
7,0.5,0.137491,0.2493,0.003193
10,0.5,0.17697,0.2493,0.003741
13,0.5,0.16425,0.2493,0.00224
14,0.5,0.08986,0.2493,0.004791
19,0.5,0.062592,0.2493,0.0036178
21,0.5,0.18,0.2493,0.004771
23,0.5,0.163778,0.2493,0.001645
25,0.5,0.1650603,0.2493,0.0014388
26,0.5,0.02736,0.2493,1.57E-4
27,0.5,0.06878,0.2493,0.004453
28,0.5,0.17676,0.2493,0.011183
36,0.5,0.002401,0.2493,0.002417
37,0.5,0.08068,0.2493,0.00493
38,0.5,0.127993,0.2493,0.00531
39,0.5,5.9E-6,0.2493,0.00585
41,0.5,0.140062,0.2493,0.002883
43,0.5,0.178741,0.2493,5.3E-4
45,0.5,0.18439,0.2493,0.00483
46,0.5,0.005632,0.2493,0.002753
49,0.5,0.209381,0.2493,0.00744
52,0.5,0.23056,0.2493,0.005403
54,0.5,0.181252,0.2493,0.001561
56,0.5,0.02419,0.2493,0.132852
60,0.5,0.08306,0.2493,0.00373
61,0.5,0.01747,0.2493,0.002291
62,0.5,0.049912,0.2493,0.002472
63,0.5,0.1011753,0.2493,0.001401
67,0.5,0.06879,0.2493,0.00692
68,0.5,0.17697,0.2493,0.001663
72,0.5,0.06506,0.2493,0.00317
73,0.5,0.13622,0.2493,0.002686
74,0.5,0.19715,0.2493,0.012293
75,0.5,0.16034,0.2493,0.002531
121306,0.5,0.0036973,0.2493,4.9E-5
243096,0.5,0.1875,0.2493,0.002854
381113,0.5,5.406E-4,0.4995,0.023324
381126,0.5,0.0369053,0.4995,5.12E-4
381128,0.5,0.0562,0.4995,0.42809
381129,0.5,7.0E-5,0.4995,0.132888
381133,0.5,6.41E-4,0.4995,0.065429
381139,0.5,0.00486,0.4995,0.070099
381227,0.5,0.005682,0.4995,9.26E-4
381233,0.5,0.04188,0.4995,0.372587
381234,0.5,5.953E-4,0.4995,0.02132
381235,0.5,0.09237,0.4995,0.00416
381236,0.5,0.0036832,0.4995,0.02857
381352,0.5,5.969E-4,0.4995,0.013132
381361,0.5,0.12756,0.2493,0.00656
381364,0.5,0.001792,0.4995,0.085756
381365,0.5,0.03934,0.4995,0.24497
381368,0.5,0.00495,0.4995,0.209054
381369,0.5,0.02135,0.4995,0.128373
381370,0.5,0.002641,0.4995,0.002495
381371,0.5,1.273E-4,0.4995,0.126842
381374,0.5,0.17985,0.4995,0.010733
381378,0.5,0.003134,0.4995,0.146089
381381,0.5,0.009352,0.4995,0.254751
381384,0.5,2.0E-6,0.4995,0.002355
381386,0.5,0.0049706,0.4995,0.013747
381389,0.5,0.0018026,0.4995,0.020742
410692,0.5,0.01874,0.4995,0.250133
410695,0.5,0.00444,0.4995,0.157484
418535,0.5,0.031252,0.4995,0.0023058
418536,0.5,0.0,0.4995,0.030068
418547,0.5,0.0,0.4995,0.2477
418548,0.5,1.41E-4,0.4995,0.130209
418549,0.5,0.00998,0.4995,0.25656
418551,0.5,0.0306273,0.4995,0.349335
418552,0.5,8.2E-5,0.4995,0.096526
418559,0.5,0.03375,0.4995,0.23708
418560,0.5,0.04376,0.4995,0.319007
418561,0.5,5.533E-4,0.4995,0.006681
418562,0.5,0.009406,0.4995,0.184543
418564,0.5,0.0800246,0.4995,0.0027808
418565,0.5,0.00366,0.4995,0.00237
418566,0.5,0.008095,0.4995,0.153255
418570,0.5,0.006262,0.4995,0.250745
418572,0.5,0.00761,0.4995,6.53E-4
418574,0.5,0.0110473,0.4995,0.00306
418581,0.5,0.00628,0.4995,0.092604
418583,0.5,6.042E-4,0.4995,0.0169748
418584,0.5,7.259E-4,0.4995,0.013171
418585,0.5,1.0E-5,0.4995,0.016517
418586,0.5,0.0017473,0.4995,0.10945
418588,0.5,0.17985,0.4995,0.010733
418589,0.5,0.002552,0.4995,0.107597
418689,0.5,0.0562,0.4995,0.40435
418690,0.5,0.0050783,0.4995,0.003091
418691,0.5,5.669E-4,0.4995,0.001234
418695,0.5,0.003111,0.4995,0.147171
418697,0.5,0.005702,0.4995,0.199203
418708,0.5,6.776E-4,0.4995,0.0029936
421565,0.5,0.0018506,0.4995,0.021517
421569,0.5,1.0E-5,0.4995,0.096401
421571,0.5,4.589E-4,0.4995,0.003706
421574,0.5,0.029352,0.4995,0.339431
421578,0.5,0.011505,0.4995,0.328542
421587,0.5,4.02E-4,0.4995,0.002423
421592,0.5,0.021871,0.4995,0.173454
421593,0.5,0.0011473,0.4995,0.002748
422053,0.5,0.001763,0.4995,0.055279
422055,0.5,0.064252,0.4995,3.92E-4
