hostId,cpuCapacity,freeCpu,memCapacity,freeMem
5,0.5,0.11877,0.2493,0.01148
6,0.5,0.31735,0.2493,7.0E-4
7,0.5,0.1656,0.2493,0.02063
10,0.5,0.25,0.2493,0.04679
13,0.5,0.31735,0.2493,5.5E-4
14,0.5,0.1187,0.2493,0.2175
19,0.5,0.06929,0.2493,0.00317
21,0.5,0.1438,0.2493,0.00885
23,0.5,0.243752,0.2493,0.069965
25,0.5,0.05933,0.2493,0.10268
26,0.5,0.26563,0.2493,0.05527
27,0.5,0.09876,0.2493,0.001014
28,0.5,0.25,0.2493,0.03527
36,0.5,0.11429,0.2493,0.02174
37,0.5,0.25,0.2493,0.03527
38,0.5,0.302521,0.2493,0.050744
39,0.5,0.1187,0.2493,0.2175
41,0.5,0.1187,0.2493,0.0247
43,0.5,0.12817,0.2493,0.00656
45,0.5,0.26563,0.2493,0.05527
46,0.5,0.26875,0.2493,0.055615
49,0.5,0.25,0.2493,0.057002
52,0.5,0.10004,0.2493,0.01776
54,0.5,0.246908,0.2493,0.049649
56,0.5,0.125,0.2493,0.00441
60,0.5,0.1187,0.2493,0.0247
61,0.5,0.04376,0.2493,0.016593
62,0.5,0.28125,0.2493,0.04165
63,0.5,0.28125,0.2493,0.04165
67,0.5,0.25,0.2493,0.03527
68,0.5,0.1568953,0.2493,0.035292
72,0.5,0.09871,0.2493,0.13467
73,0.5,0.12817,0.2493,0.01449
74,0.5,0.11878,0.2493,0.02221
75,0.5,0.25,0.2493,0.03527
121306,0.5,0.1056566,0.2493,0.0898208
243096,0.5,0.06751,0.2493,1.5E-4
381113,0.5,0.09935,0.4995,0.32176
381126,0.5,0.05873,0.4995,0.078281
381128,0.5,0.1211,0.4995,0.36718
381129,0.5,0.055135,0.4995,0.137595
381133,0.5,0.18612,0.4995,0.08547
381139,0.5,0.19235,0.4995,0.0185
381227,0.5,0.1336773,0.4995,0.081285
381233,0.5,0.06799,0.4995,0.19344
381234,0.5,0.10303,0.4995,0.28778
381235,0.5,0.09937,0.4995,0.312
381236,0.5,0.089452,0.4995,0.02281
381352,0.5,0.075634,0.4995,0.215098
381361,0.5,0.125,0.2493,0.00441
381364,0.5,0.09375,0.4995,0.27414
381365,0.5,0.140662,0.4995,0.3246838
381368,0.5,0.21875,0.4995,0.0771
381369,0.5,0.23938,0.4995,0.04861
381370,0.5,0.114378,0.4995,0.308209
381371,0.5,0.18612,0.4995,0.08547
381374,0.5,0.09436,0.4995,0.27414
381378,0.5,0.1380153,0.4995,0.077499
381381,0.5,0.10195,0.4995,0.276869
381384,0.5,0.09998,0.4995,0.31211
381386,0.5,0.19235,0.4995,0.0185
381389,0.5,0.125,0.4995,0.36687
