hostId,cpuCapacity,freeCpu,memCapacity,freeMem
5,0.5,0.13056,0.2493,0.174444
6,0.5,0.09072,0.2493,0.00375
7,0.5,0.1294,0.2493,0.02371
10,0.5,0.290635,0.2493,0.056298
13,0.5,0.28125,0.2493,0.04574
14,0.5,0.1456,0.2493,0.02139
19,0.5,0.3118,0.2493,0.0489
21,0.5,0.25,0.2493,0.04769
23,0.5,0.2393766,0.2493,0.043543
25,0.5,0.26875,0.2493,0.03936
26,0.5,0.118716,0.2493,0.086543
27,0.5,0.223763,0.2493,0.042837
28,0.5,0.25,0.2493,0.03527
36,0.5,0.09365,0.2493,0.0051
37,0.5,0.06557,0.2493,0.00634
38,0.5,0.03626,0.2493,0.016659
39,0.5,0.143,0.2493,0.0263
41,0.5,0.125,0.2493,0.17929
43,0.5,0.25,0.2493,0.03657
45,0.5,0.238765,0.2493,0.042059
46,0.5,0.26251,0.2493,0.03203
49,0.5,0.25626,0.2493,0.04732
52,0.5,0.189992,0.2493,0.0377
54,0.5,0.0524,0.2493,0.05281
56,0.5,0.03125,0.2493,0.01038
60,0.5,0.11874,0.2493,0.16014
61,0.5,0.06557,0.2493,0.00192
62,0.5,0.09876,0.2493,0.01907
63,0.5,0.13882,0.2493,0.01822
67,0.5,0.266883,0.2493,0.055772
68,0.5,0.28751,0.2493,0.05484
72,0.5,0.12756,0.2493,0.00656
73,0.5,0.05547,0.2493,9.8E-4
74,0.5,0.11247,0.2493,0.00156
75,0.5,0.0743,0.2493,0.00412
121306,0.5,0.12756,0.2493,0.02664
243096,0.5,0.27814,0.2493,0.03542
381113,0.5,0.07174,0.4995,0.17018
381126,0.5,0.10861,0.4995,0.322962
381128,0.5,0.06239,0.4995,0.1347
381129,0.5,0.1187,0.4995,0.2749
381133,0.5,0.08998,0.4995,0.26731
381139,0.5,0.125,0.4995,0.32537
381227,0.5,0.19235,0.4995,0.0185
381233,0.5,0.07129,0.4995,0.19908
381234,0.5,0.03743,0.4995,0.12631
381235,0.5,0.1031,0.4995,0.2583
381236,0.5,0.125,0.4995,0.330684
381352,0.5,0.115631,0.4995,0.237522
381361,0.5,0.125,0.2493,0.00441
381364,0.5,0.19235,0.4995,0.0185
381365,0.5,0.03125,0.4995,0.03421
381368,0.5,0.100631,0.4995,0.006442
381369,0.5,0.05627,0.4995,0.19034
381370,0.5,0.11871,0.4995,0.374112
381371,0.5,0.081254,0.4995,0.212433
381374,0.5,0.06876,0.4995,0.20026
381378,0.5,0.125,0.4995,0.41198
381381,0.5,0.1056043,0.4995,0.213681
381384,0.5,0.093852,0.4995,0.222615
381386,0.5,0.08694,0.4995,0.27126
381389,0.5,0.133658,0.4995,0.06707
410692,0.5,0.02048,0.4995,0.05708
410695,0.5,0.0719,0.4995,0.1257
418535,0.5,0.03442,0.4995,0.009278
418536,0.5,0.09375,0.4995,0.2927
