hostId,cpuCapacity,freeCpu,memCapacity,freeMem
5,0.5,0.10626,0.2493,5.23E-4
6,0.5,0.0,0.2493,0.148426
7,0.5,0.01245,0.2493,0.001239
10,0.5,0.10249,0.2493,0.001042
13,0.5,0.003762,0.2493,0.001329
14,0.5,0.0043853,0.2493,0.001404
19,0.5,0.15625,0.2493,5.6E-4
21,0.5,5.61E-4,0.2493,2.7E-4
23,0.5,0.005646,0.2493,0.003165
25,0.5,0.209954,0.2493,4.59E-4
26,0.5,0.00311,0.2493,0.027805
27,0.5,0.10626,0.2493,0.001301
28,0.5,0.31735,0.2493,5.5E-4
36,0.5,0.001872,0.2493,2.99E-4
37,0.5,0.16876,0.2493,9.81E-4
38,0.5,0.025034,0.2493,0.002508
39,0.5,0.125,0.2493,0.002847
41,0.5,0.0018916,0.2493,0.003129
43,0.5,0.17504,0.2493,0.001926
45,0.5,0.09375,0.2493,0.001654
46,0.5,0.14309,0.2493,0.003118
49,0.5,0.06005,0.2493,0.002446
52,0.5,0.13128,0.2493,7.53E-4
54,0.5,0.10626,0.2493,0.001301
56,0.5,0.21876,0.2493,2.63E-4
60,0.5,0.187506,0.2493,6.89E-4
61,0.5,0.24744,0.2493,0.00186
62,0.5,0.14309,0.2493,0.003896
63,0.5,0.16253,0.2493,0.00286
67,0.5,0.06818,0.2493,0.002393
68,0.5,0.1394,0.2493,0.00257
72,0.5,0.2425,0.2493,0.006
73,0.5,0.1063,0.2493,0.001344
74,0.5,0.10938,0.2493,6.93E-4
75,0.5,0.0024002,0.2493,0.0036
121306,0.5,0.11876,0.2493,5.3E-5
243096,0.5,0.21192,0.2493,9.1E-4
381113,0.5,0.00993,0.4995,0.002832
381126,0.5,5.93E-5,0.4995,0.044542
381128,0.5,5.373E-4,0.4995,0.044802
381129,0.5,6.2E-4,0.4995,0.011603
381133,0.5,0.00136,0.4995,0.195402
381139,0.5,0.00435,0.4995,0.34842
381227,0.5,0.00487,0.4995,0.19153
381233,0.5,1.0E-5,0.4995,0.088551
381234,0.5,0.00313,0.4995,0.23104
381235,0.5,0.00317,0.4995,0.184038
381236,0.5,0.0,0.4995,0.30049
381352,0.5,0.0087963,0.4995,0.14273
381361,0.5,0.087512,0.2493,0.002202
381364,0.5,0.006882,0.4995,0.292733
381365,0.5,3.3E-4,0.4995,5.3E-4
381368,0.5,0.0,0.4995,0.293639
381369,0.5,0.00435,0.4995,0.34255
381370,0.5,1.0E-5,0.4995,5.69E-4
381371,0.5,5.373E-4,0.4995,0.00754
381374,0.5,7.333E-4,0.4995,5.2E-4
381378,0.5,0.0,0.4995,0.27938
381381,0.5,0.0025,0.4995,0.274503
381384,0.5,0.0012153,0.4995,9.85E-4
381386,0.5,0.00435,0.4995,0.35137
381389,0.5,3.0E-5,0.4995,0.166843
410692,0.5,1.73E-5,0.4995,0.02149
410695,0.5,3.2E-5,0.4995,0.074122
418535,0.5,2.4E-5,0.4995,0.171013
418536,0.5,0.00628,0.4995,0.219201
