hostId,cpuCapacity,freeCpu,memCapacity,freeMem
5,0.5,0.2781,0.2493,0.033
6,0.5,0.11245,0.2493,0.135723
7,0.5,0.1362,0.2493,0.00257
10,0.5,0.1362,0.2493,0.00257
13,0.5,0.26251,0.2493,0.060111
14,0.5,0.28125,0.2493,0.04165
19,0.5,0.28751,0.2493,0.05407
21,0.5,0.1268,0.2493,0.00714
23,0.5,0.28125,0.2493,0.04165
25,0.5,0.05492,0.2493,0.006767
26,0.5,0.0981,0.2493,0.1589
27,0.5,0.28125,0.2493,0.0391
28,0.5,0.288763,0.2493,0.054997
36,0.5,0.284372,0.2493,0.025927
37,0.5,0.0618206,0.2493,0.018819
38,0.5,0.09817,0.2493,0.0102
39,0.5,0.106292,0.2493,0.029685
41,0.5,0.3118,0.2493,0.0489
43,0.5,0.28751,0.2493,0.05527
45,0.5,0.18367,0.2493,0.04846
46,0.5,0.18999,0.2493,0.02783
49,0.5,0.28125,0.2493,0.04165
52,0.5,0.28751,0.2493,0.05059
54,0.5,0.28,0.2493,0.020367
56,0.5,0.31735,0.2493,5.5E-4
60,0.5,0.276278,0.2493,0.048253
61,0.5,0.0981253,0.2493,0.024763
62,0.5,0.3118,0.2493,0.0489
63,0.5,0.125,0.2493,0.00441
67,0.5,0.21875,0.2493,0.04041
68,0.5,0.07486,0.2493,0.116964
72,0.5,0.3118,0.2493,0.0489
73,0.5,0.125,0.2493,0.17929
74,0.5,0.2893866,0.2493,0.055579
75,0.5,0.237522,0.2493,0.043345
121306,0.5,0.2868873,0.2493,0.063346
243096,0.5,0.284402,0.2493,0.05349
381113,0.5,0.0575,0.4995,0.208801
381126,0.5,0.10238,0.4995,0.295981
381128,0.5,0.10626,0.4995,0.27811
381129,0.5,0.11255,0.4995,0.05474
381133,0.5,0.12045,0.4995,0.245363
381139,0.5,0.10001,0.4995,0.304083
381227,0.5,0.09057,0.4995,0.2415
381233,0.5,0.05505,0.4995,0.11645
381234,0.5,0.19235,0.4995,0.0344
381235,0.5,0.0924253,0.4995,0.223582
381236,0.5,0.04306,0.4995,0.153082
381352,0.5,0.09375,0.4995,0.2846
381361,0.5,0.03186,0.2493,0.009513
381364,0.5,0.082058,0.4995,0.02729
381365,0.5,0.063572,0.4995,0.034035
381368,0.5,0.125,0.4995,0.362977
381369,0.5,0.11877,0.4995,0.33296
381370,0.5,0.04375,0.4995,0.12928
381371,0.5,0.04379,0.4995,0.140269
381374,0.5,0.1606,0.4995,0.42308
381378,0.5,0.02497,0.4995,0.070278
381381,0.5,0.0669,0.4995,0.40551
381384,0.5,0.03746,0.4995,0.0254
381386,0.5,0.10935,0.4995,0.34912
381389,0.5,0.1606,0.4995,0.42308
410692,0.5,0.03116,0.4995,0.12219
410695,0.5,0.08813,0.4995,0.28215
418535,0.5,0.1199946,0.4995,0.225108
418536,0.5,0.14063,0.4995,0.34033
418547,0.5,0.15625,0.4995,0.43975
418548,0.5,0.0625,0.4995,0.40538
418549,0.5,0.02933,0.4995,0.08163
418551,0.5,0.1606,0.4995,0.42308
418552,0.5,0.1469,0.4995,0.34981
418559,0.5,0.06245,0.4995,0.0445
418560,0.5,0.1406,0.4995,0.34658
418561,0.5,0.05483,0.4995,0.13988
418562,0.5,0.07178,0.4995,0.20125
418564,0.5,0.063134,0.4995,0.043361
418565,0.5,0.19235,0.4995,0.0344
418566,0.5,0.0825083,0.4995,0.220443
418570,0.5,0.125,0.4995,0.33413
418572,0.5,0.12867,0.4995,0.0415
418574,0.5,0.129836,0.4995,0.363657
418581,0.5,0.07124,0.4995,0.20467
418583,0.5,0.125,0.4995,0.34007
418584,0.5,0.1056053,0.4995,0.232075
418585,0.5,0.1187,0.4995,0.4677
