hostId,cpuCapacity,freeCpu,memCapacity,freeMem
5,0.5,0.1612626,0.2493,6.6E-4
6,0.5,9.9E-6,0.2493,0.0028
7,0.5,0.001952,0.2493,0.002261
10,0.5,0.203151,0.2493,0.003144
13,0.5,0.1021753,0.2493,7.06E-4
14,0.5,0.008864,0.2493,0.039583
19,0.5,0.075606,0.2493,0.002796
21,0.5,0.10772,0.2493,0.001658
23,0.5,0.2400213,0.2493,0.001505
25,0.5,0.13128,0.2493,0.00268
26,0.5,0.143143,0.2493,0.003566
27,0.5,0.1624893,0.2493,0.001226
28,0.5,0.097675,0.2493,5.17E-4
36,0.5,0.15311,0.2493,4.83E-4
37,0.5,0.00501,0.2493,0.00315
38,0.5,0.11637,0.2493,0.0022
39,0.5,0.11877,0.2493,0.00156
41,0.5,0.14996,0.2493,0.00216
43,0.5,0.1556253,0.2493,0.002898
45,0.5,0.04446,0.2493,3.61E-4
46,0.5,0.146881,0.2493,0.001342
49,0.5,0.118752,0.2493,8.48E-4
52,0.5,0.10943,0.2493,6.59E-4
54,0.5,0.1368853,0.2493,4.76E-4
56,0.5,0.07941,0.2493,0.002053
60,0.5,0.036214,0.2493,3.648E-4
61,0.5,0.065092,0.2493,6.7E-4
62,0.5,0.004834,0.2493,0.001123
63,0.5,0.002322,0.2493,2.24E-4
67,0.5,0.031264,0.2493,5.338E-4
68,0.5,0.14377,0.2493,0.003064
72,0.5,6.1E-4,0.2493,0.11569
73,0.5,0.12374,0.2493,0.00217
74,0.5,0.07318,0.2493,8.55E-4
75,0.5,0.08444,0.2493,0.002583
121306,0.5,0.005652,0.2493,0.034996
243096,0.5,0.19931,0.2493,0.001081
381113,0.5,5.373E-4,0.4995,0.023382
381126,0.5,0.06735,0.4995,0.00242
381128,0.5,0.0,0.4995,0.27376
381129,0.5,2.0E-6,0.4995,0.19725
381133,0.5,0.00379,0.4995,0.07383
381139,0.5,0.0,0.4995,0.037123
381227,0.5,7.0E-5,0.4995,0.031083
381233,0.5,0.005526,0.4995,3.5E-5
381234,0.5,0.009401,0.4995,0.150635
381235,0.5,0.003152,0.4995,0.123446
381236,0.5,0.0,0.4995,0.294341
381352,0.5,0.00768,0.4995,0.187097
381361,0.5,0.008654,0.2493,0.0011678
381364,0.5,0.092352,0.4995,0.0018228
381365,0.5,1.3E-5,0.4995,0.045145
381368,0.5,0.0023865,0.4995,0.002429
381369,0.5,0.006784,0.4995,0.0027792
381370,0.5,0.0019712,0.4995,0.001751
381371,0.5,0.12362,0.4995,0.00245
381374,0.5,0.11111,0.4995,2.21E-4
381378,0.5,5.646E-4,0.4995,0.010517
381381,0.5,0.0,0.4995,0.304412
381384,0.5,0.024164,0.4995,7.36E-4
381386,0.5,0.03386,0.4995,4.3E-4
381389,0.5,0.004894,0.4995,0.164596
410692,0.5,5.825E-4,0.4995,4.46E-4
410695,0.5,0.0149,0.4995,7.6E-4
418535,0.5,0.0,0.4995,0.24518
418536,0.5,0.031282,0.4995,0.0023918
418547,0.5,4.0E-5,0.4995,0.028397
418548,0.5,0.00168,0.4995,0.16798
418549,0.5,3.0E-5,0.4995,0.07979
418551,0.5,0.001262,0.4995,0.270777
418552,0.5,0.00187,0.4995,0.28414
418559,0.5,0.0,0.4995,0.291675
418560,0.5,1.4E-5,0.4995,0.002073
418561,0.5,1.26E-5,0.4995,0.010188
418562,0.5,0.01192,0.4995,0.22205
418564,0.5,0.06735,0.4995,0.00242
418565,0.5,3.2E-5,0.4995,0.204587
418566,0.5,0.00313,0.4995,0.11202
418570,0.5,0.003063,0.4995,0.145705
418572,0.5,0.0031059,0.4995,7.01E-4
418574,0.5,0.0050526,0.4995,0.206614
418581,0.5,0.037512,0.4995,0.0015358
418583,0.5,0.0,0.4995,0.2723
418584,0.5,0.0029585,0.4995,0.022413
418585,0.5,0.10626,0.4995,0.002313
418586,0.5,0.0018,0.4995,0.06606
418588,0.5,6.1E-4,0.4995,0.242113
418589,0.5,0.01877,0.4995,7.59E-4
418689,0.5,0.0093353,0.4995,0.119349
418690,0.5,1.0E-5,0.4995,0.290032
418691,0.5,0.04238,0.4995,4.56E-4
418695,0.5,2.1E-5,0.4995,0.031232
418697,0.5,1.153E-4,0.4995,0.007942
418708,0.5,0.108,0.4995,0.00213
421565,0.5,0.00114,0.4995,0.00353
421569,0.5,0.0012793,0.4995,0.03655
421571,0.5,0.0093,0.4995,0.27858
421574,0.5,0.0,0.4995,0.273591
421578,0.5,0.00885,0.4995,3.9E-4
421587,0.5,0.10626,0.4995,0.002313
421592,0.5,6.1E-4,0.4995,0.26247
421593,0.5,0.001842,0.4995,0.080028
422053,0.5,0.003864,0.4995,4.908E-4
422055,0.5,0.00366,0.4995,0.062014
422069,0.5,0.0018673,0.4995,0.096636
422080,0.5,8.07E-4,0.4995,1.59E-4
422082,0.5,0.0013653,0.4995,0.003387
422084,0.5,0.0030799,0.4995,0.011614
422087,0.5,0.005452,0.4995,0.090044
422090,0.5,0.0024283,0.4995,0.04379
422091,0.5,0.00627,0.4995,0.28918
450799,0.5,0.06735,0.4995,0.00242
485231,0.5,9.6E-6,0.4995,0.039051
485241,0.5,0.004882,0.4995,0.063717
486699,0.5,5.62E-4,0.4995,0.011218
486702,0.5,0.007504,0.4995,0.162494
486703,0.5,0.002024,0.4995,0.074168
486704,0.5,6.1E-4,0.4995,0.02293
486707,0.5,0.001248,0.4995,0.093784
486711,0.5,2.2E-6,0.4995,0.029578
486805,0.5,0.0010838,0.4995,9.3E-5
486816,0.5,0.11111,0.4995,3.03E-4
486820,0.5,0.11734,0.4995,2.21E-4
486821,0.5,0.00155,0.4995,0.05796
486826,0.5,5.193E-4,0.4995,0.00297
486827,0.5,0.0,0.4995,0.01726
486956,0.5,0.0023346,0.4995,0.02517
486957,0.5,0.0055223,0.4995,0.041442
486958,0.5,0.004894,0.4995,6.2E-4
486959,0.5,0.001262,0.4995,9.56E-4
486961,0.5,0.00874,0.4995,0.230078
487295,0.5,0.0024283,0.4995,0.039767
487385,0.5,0.01173,0.4995,0.21758
487386,0.5,0.00315,0.4995,0.393214
487390,0.5,0.003014,0.4995,0.001223
487391,0.5,0.003088,0.4995,0.053136
487397,0.5,0.01108,0.4995,0.07629
487399,0.5,0.001732,0.4995,0.003268
487402,0.5,5.153E-4,0.4995,0.011896
487403,0.5,0.003142,0.4995,0.002647
487404,0.5,0.0044073,0.4995,0.001813
487407,0.5,0.08752,0.4995,5.51E-4
487411,0.5,0.00435,0.4995,0.26585
487414,0.5,1.2E-5,0.4995,0.053713
487535,0.5,8.2E-5,0.4995,0.022536
487538,0.5,0.11111,0.4995,2.21E-4
487541,0.5,0.07501,0.4995,0.002713
487545,0.5,0.010548,0.4995,1.97E-4
487547,0.5,0.0042506,0.4995,0.003405
487548,0.5,0.0018799,0.4995,0.036377
495767,0.5,0.0041793,0.4995,9.51E-4
514995,0.5,0.00626,0.4995,0.08887
514996,0.5,0.0,0.4995,0.311978
567335,0.5,0.0119,0.4995,0.352438
567336,0.5,0.06735,0.4995,0.00242
567341,0.5,5.972E-4,0.4995,0.003286
567345,0.5,0.001754,0.4995,0.148893
567348,0.5,0.050022,0.4995,6.12E-4
567376,0.5,0.003206,0.4995,0.255652
567377,0.5,5.949E-4,0.4995,0.004141
567382,0.5,0.006262,0.4995,0.279333
567383,0.5,0.0030059,0.4995,0.038961
567596,0.5,0.003144,0.4995,0.144814
567597,0.5,0.0018965,0.4995,5.48E-4
567599,0.5,4.23E-4,0.4995,0.039128
567601,0.5,0.0025253,0.4995,0.140441
567604,0.5,0.0118853,0.4995,0.148878
567608,0.5,0.0986,0.4995,0.00297
567610,0.5,0.001304,0.4995,0.051797
567611,0.5,0.0050126,0.4995,0.001812
567616,0.5,3.123E-4,0.4995,0.017707
567617,0.5,5.82E-4,0.4995,3.28E-4
567618,0.5,0.00372,0.4995,0.29949
567624,0.5,0.0052623,0.4995,0.020155
567626,0.5,0.0049353,0.4995,0.001607
567748,0.5,0.003104,0.4995,0.132201
567752,0.5,0.0361,0.4995,4.0E-4
567756,0.5,2.003E-4,0.4995,9.03E-4
567757,0.5,0.0,0.4995,0.34838
567763,0.5,0.005694,0.4995,0.090488
567764,0.5,0.0018212,0.4995,0.004058
567769,0.5,0.0,0.4995,0.34838
567777,0.5,0.00489,0.4995,0.074429
567780,0.5,0.0041753,0.4995,0.001657
567782,0.5,6.4E-5,0.4995,0.015469
567783,0.5,0.003122,0.4995,0.06604
567790,0.5,0.004902,0.4995,0.090198
567902,0.5,0.0,0.4995,0.27524
567907,0.5,9.73E-5,0.4995,0.013178
567909,0.5,0.06735,0.4995,0.00242
567910,0.5,0.003442,0.4995,0.088864
567917,0.5,0.035524,0.4995,3.608E-4
567920,0.5,0.0036,0.4995,0.129723
567924,0.5,0.00175,0.4995,0.07027
567929,0.5,0.01053,0.4995,3.01E-4
567930,0.5,0.0056293,0.4995,0.1234892
567933,0.5,6.34E-4,0.4995,0.082524
568912,0.5,6.3E-4,0.4995,0.12612
595665,0.5,3.1E-5,0.4995,0.00117
595666,0.5,0.005106,0.4995,0.0026058
595672,0.5,0.00991,0.4995,0.20423
595677,0.5,0.025032,0.4995,0.0023128
599601,0.5,7.99E-5,0.4995,0.017684
599604,0.5,3.72E-5,0.4995,0.010296
599605,0.5,0.0012279,0.4995,0.007262
599607,0.5,0.11734,0.4995,2.21E-4
599610,0.5,0.0,0.4995,0.27084
599614,0.5,0.004372,0.4995,0.126957
599619,0.5,0.0036,0.4995,0.129723
599620,0.5,0.00673,0.4995,0.076447
599621,0.5,0.12985,0.4995,0.0026
599623,0.5,0.0,0.4995,0.00919
599624,0.5,0.0,0.4995,0.27843
599626,0.5,0.005596,0.4995,0.087254
599632,0.5,0.00168,0.4995,0.054654
599637,0.5,5.113E-4,0.4995,1.72E-4
599756,0.5,0.00118,0.4995,0.002276
599757,0.5,0.12985,0.4995,0.0026
599758,0.5,6.1E-4,0.4995,0.04248
599760,0.5,0.01244,0.4995,0.172964
599763,0.5,0.0046456,0.4995,3.55E-4
599764,0.5,0.05627,0.4995,8.06E-4
599765,0.5,0.0013946,0.4995,0.002117
599770,0.5,6.392E-4,0.4995,0.002437
599788,0.5,0.00621,0.4995,0.195273
599792,0.5,0.00751,0.4995,0.256284
599793,0.5,0.0050453,0.4995,8.6E-4
599794,0.5,2.76E-5,0.4995,0.012785
602943,0.5,1.4E-5,0.4995,0.00377
602945,0.5,0.00617,0.4995,0.003253
602946,0.5,0.018174,0.4995,0.0021574
602948,0.5,0.0010833,0.4995,7.91E-4
602949,0.5,0.0036812,0.4995,0.004897
602951,0.5,0.0112,0.4995,0.278707
602953,0.5,0.0018806,0.4995,0.021325
602954,0.5,2.8E-5,0.4995,0.052863
602955,0.5,0.004326,0.4995,0.025848
602962,0.5,0.0010255,0.4995,0.017865
602971,0.5,0.0025365,0.4995,0.033975
602972,0.5,0.001234,0.4995,0.074101
602973,0.5,6.4E-5,0.4995,0.008458
602974,0.5,0.0136573,0.4995,6.13E-4
602978,0.5,1.4E-5,0.4995,0.014361
602979,0.5,0.06735,0.4995,0.001046
602980,0.5,1.6E-4,0.4995,0.231174
602981,0.5,0.012452,0.4995,0.143818
602982,0.5,0.001144,0.4995,0.0019505
602985,0.5,0.003133,0.4995,0.202042
602987,0.5,5.573E-4,0.4995,0.004625
603107,0.5,2.0E-5,0.4995,0.045802
603108,0.5,0.00309,0.4995,0.304323
603109,0.5,0.00621,0.4995,0.195273
603110,0.5,0.062385,0.4995,0.003014
603111,0.5,0.00435,0.4995,0.28184
603115,0.5,0.00435,0.4995,0.28184
603116,0.5,3.2E-5,0.4995,0.221551
603117,0.5,0.009352,0.4995,5.29E-4
603122,0.5,0.0567753,0.4995,0.003061
603126,0.5,8.388E-4,0.4995,0.031034
603128,0.5,0.11111,0.4995,3.03E-4
603129,0.5,0.004892,0.4995,0.072503
603131,0.5,0.00366,0.4995,0.05591
627966,0.5,2.2E-5,0.4995,0.054476
627967,0.5,0.001124,0.4995,0.062033
627969,0.5,5.6E-4,0.4995,0.06505
631942,0.5,0.0049706,0.4995,0.001301
631943,0.5,0.0,0.4995,0.29851
631945,0.5,4.738E-4,0.4995,0.030455
631946,0.5,0.00617,0.4995,9.02E-4
631947,0.5,0.0012802,0.4995,0.003382
631949,0.5,0.017392,0.4995,1.328E-4
631951,0.5,0.00435,0.4995,0.28184
631952,0.5,0.00373,0.4995,0.139916
631954,0.5,2.12E-4,0.4995,0.00121
631956,0.5,3.0E-5,0.4995,0.024682
634701,0.5,0.07055,0.4995,0.00266
634703,0.5,0.0,0.4995,0.2924
634705,0.5,0.0024753,0.4995,0.272956
634715,0.5,0.0016746,0.4995,0.0024078
638197,0.5,0.0020673,0.4995,0.003027
638204,0.5,0.0042393,0.4995,0.122255
638207,0.5,0.0042679,0.4995,0.032991
638217,0.5,0.0,0.4995,0.296818
638221,0.5,0.00488,0.4995,0.05678
638224,0.5,0.0,0.4995,0.28482
638230,0.5,0.11734,0.4995,2.21E-4
638232,0.5,0.01981,0.4995,7.74E-4
638341,0.5,0.00305,0.4995,0.15584
638347,0.5,0.00488,0.4995,0.00109
638356,0.5,0.009331,0.4995,0.157719
638368,0.5,0.0031299,0.4995,0.027456
638375,0.5,0.11734,0.4995,2.21E-4
653445,0.5,0.00435,0.4995,0.28184
660235,0.5,0.004352,0.4995,0.0016828
660255,0.5,0.0,0.4995,0.03087
660258,0.5,0.0,0.4995,0.34838
660262,0.5,5.026E-4,0.4995,0.026553
660265,0.5,0.0036732,0.4995,9.35E-4
660272,0.5,0.05483,0.4995,1.97E-4
660385,0.5,0.0049373,0.4995,7.25E-4
660389,0.5,5.9E-4,0.4995,0.074679
660394,0.5,0.0052833,0.4995,0.001089
660402,0.5,0.004262,0.4995,7.878E-4
660404,0.5,0.005629,0.4995,0.080271
660405,0.5,0.0,0.4995,0.2867
660408,0.5,6.24E-4,0.4995,0.071949
660410,0.5,0.023832,0.4995,0.0020028
660411,0.5,0.001202,0.4995,0.06482
660766,0.5,0.00991,0.4995,0.27858
660769,0.5,0.005054,0.4995,0.116791
