hostId,cpuCapacity,freeCpu,memCapacity,freeMem
5,0.5,0.068762,0.2493,0.006352
6,0.5,0.1794,0.2493,0.0027
7,0.5,0.009418,0.2493,0.0020156
10,0.5,0.021842,0.2493,7.62E-4
13,0.5,0.07818,0.2493,7.61E-4
14,0.5,0.10173,0.2493,0.001601
19,0.5,0.070024,0.2493,0.003921
21,0.5,0.226762,0.2493,0.007473
23,0.5,0.15625,0.2493,0.00967
25,0.5,0.0719,0.2493,0.00439
26,0.5,0.08996,0.2493,0.00262
27,0.5,0.05877,0.2493,0.00242
28,0.5,0.0556773,0.2493,0.0021148
36,0.5,0.048668,0.2493,0.003711
37,0.5,0.25,0.2493,0.01521
38,0.5,0.08695,0.2493,0.005518
39,0.5,0.16876,0.2493,0.00139
41,0.5,0.0018612,0.2493,6.3E-5
43,0.5,0.31735,0.2493,5.5E-4
45,0.5,6.0E-5,0.2493,0.046325
46,0.5,0.001841,0.2493,0.034893
49,0.5,0.09375,0.2493,3.9E-4
52,0.5,0.09492,0.2493,0.00161
54,0.5,0.187514,0.2493,0.003975
56,0.5,0.09574,0.2493,0.001084
60,0.5,0.229872,0.2493,0.002847
61,0.5,0.1875,0.2493,0.00636
62,0.5,0.1469,0.2493,0.00123
63,0.5,0.125,0.2493,0.00441
67,0.5,0.0368873,0.2493,3.15E-4
68,0.5,0.181252,0.2493,0.007132
72,0.5,0.0074773,0.2493,0.003862
73,0.5,0.158002,0.2493,3.25E-4
74,0.5,0.1394,0.2493,0.00257
75,0.5,0.033842,0.2493,0.001355
121306,0.5,0.13127,0.2493,0.00211
243096,0.5,0.00129,0.2493,0.039804
381113,0.5,0.00622,0.4995,0.076103
381126,0.5,0.015661,0.4995,0.197561
381128,0.5,0.0062483,0.4995,0.003052
381129,0.5,0.0649373,0.4995,0.006739
381133,0.5,7.506E-4,0.4995,0.023275
381139,0.5,0.0,0.4995,0.24121
381227,0.5,6.7E-4,0.4995,0.06593
381233,0.5,0.1486,0.4995,0.003897
381234,0.5,6.259E-4,0.4995,0.005762
381235,0.5,0.01562,0.4995,0.266004
381236,0.5,0.00689,0.4995,0.175925
381352,0.5,4.33E-5,0.4995,0.016011
381361,0.5,0.12756,0.2493,0.00656
381364,0.5,0.0037679,0.4995,0.034702
381365,0.5,6.347E-4,0.4995,0.008228
381368,0.5,0.005552,0.4995,0.278661
381369,0.5,0.00162,0.4995,0.137182
381370,0.5,5.966E-4,0.4995,0.0221208
381371,0.5,5.953E-4,0.4995,0.0338744
381374,0.5,0.0013279,0.4995,0.001298
381378,0.5,0.00618,0.4995,0.151919
381381,0.5,2.0E-5,0.4995,0.051816
381384,0.5,0.0025,0.4995,0.34784
381386,0.5,0.0156,0.4995,0.303102
381389,0.5,5.6E-4,0.4995,0.093813
410692,0.5,1.21E-4,0.4995,0.014707
410695,0.5,0.03814,0.4995,0.255791
418535,0.5,4.0E-5,0.4995,0.10279
418536,0.5,2.0E-5,0.4995,0.056093
418547,0.5,0.0,0.4995,0.322829
418548,0.5,0.00932,0.4995,3.1E-4
418549,0.5,0.0562,0.4995,0.42809
418551,0.5,0.00366,0.4995,5.1E-5
418552,0.5,0.196181,0.4995,0.002473
418559,0.5,0.0011916,0.4995,0.005895
418560,0.5,0.0030726,0.4995,3.4E-5
418561,0.5,0.008252,0.4995,0.1497473
418562,0.5,6.132E-4,0.4995,0.024243
418564,0.5,0.0,0.4995,0.318959
418565,0.5,0.00618,0.4995,0.151919
418566,0.5,3.383E-4,0.4995,0.017234
418570,0.5,0.006212,0.4995,0.059762
418572,0.5,0.001281,0.4995,0.11409
418574,0.5,0.0180733,0.4995,0.002626
418581,0.5,0.0267,0.4995,0.2795
418583,0.5,0.096812,0.4995,9.32E-4
418584,0.5,7.7E-5,0.4995,0.136384
418585,0.5,0.005635,0.4995,0.245507
418586,0.5,0.0117,0.4995,0.32419
418588,0.5,0.0558683,0.4995,0.003724
418589,0.5,0.13566,0.4995,1.2E-4
418689,0.5,0.0,0.4995,0.283639
418690,0.5,0.01562,0.4995,0.250566
418691,0.5,0.001097,0.4995,0.003658
418695,0.5,4.2E-5,0.4995,0.038156
418697,0.5,1.7E-5,0.4995,0.024095
418708,0.5,4.16E-5,0.4995,0.005309
421565,0.5,6.6E-4,0.4995,0.251816
421569,0.5,9.406E-4,0.4995,0.02633
421571,0.5,0.08608,0.4995,0.003103
421574,0.5,6.72E-4,0.4995,0.144682
421578,0.5,0.001661,0.4995,0.106881
421587,0.5,0.03126,0.4995,0.260324
421592,0.5,0.0017936,0.4995,0.032147
421593,0.5,0.00306,0.4995,0.33353
422053,0.5,0.03125,0.4995,0.232091
422055,0.5,6.62E-4,0.4995,0.13005
422069,0.5,5.0E-5,0.4995,0.08916
422080,0.5,0.006264,0.4995,0.186781
422082,0.5,0.006152,0.4995,0.138257
422084,0.5,0.0043459,0.4995,0.003
422087,0.5,0.001864,0.4995,0.141474
422090,0.5,0.007395,0.4995,0.200044
422091,0.5,0.002492,0.4995,0.0025988
450799,0.5,0.003151,0.4995,0.111393
485231,0.5,1.4E-5,0.4995,0.0064248
485241,0.5,2.1E-4,0.4995,0.009444
486699,0.5,0.0087513,0.4995,0.111293
486702,0.5,0.00796,0.4995,0.001386
486703,0.5,0.001967,0.4995,0.052136
486704,0.5,4.2E-5,0.4995,0.093129
486707,0.5,0.003141,0.4995,0.180002
486711,0.5,0.013591,0.4995,0.265161
486805,0.5,0.0038306,0.4995,0.09317
486816,0.5,0.00809,0.4995,0.22174
486820,0.5,0.02999,0.4995,0.00146
486821,0.5,3.1E-5,0.4995,0.065647
486826,0.5,0.006281,0.4995,0.058132
486827,0.5,0.011112,0.4995,0.0024138
486956,0.5,0.001862,0.4995,0.102513
486957,0.5,0.005713,0.4995,0.128269
486958,0.5,0.008252,0.4995,0.123354
486959,0.5,0.002536,0.4995,0.052143
486961,0.5,0.0,0.4995,0.155238
487295,0.5,6.37E-4,0.4995,0.0544848
487385,0.5,0.003798,0.4995,0.054044
487386,0.5,5.6E-5,0.4995,0.0527626
487390,0.5,0.0019512,0.4995,0.003291
487391,0.5,0.00628,0.4995,0.160031
487397,0.5,0.00115,0.4995,0.002008
487399,0.5,0.12504,0.4995,0.00875
