tid,jid,cpuReq,memReq,priority
0,6467460828,0.04187,0.9551,9
1,6467460828,0.04187,0.9551,9
5,6318562796,0.4375,0.09412,8
6,6318562796,0.4375,0.09412,8
7,6318562796,0.4375,0.09412,8
8,6318562796,0.4375,0.09412,8
9,6318562796,0.4375,0.09412,8
10,6318562796,0.4375,0.09412,8
11,6318562796,0.4375,0.09412,8
12,6318562796,0.4375,0.09412,8
13,6318562796,0.4375,0.09412,8
14,6318562796,0.4375,0.09412,8
15,6318562796,0.4375,0.09412,8
16,6318562796,0.4375,0.09412,8
17,6318562796,0.4375,0.09412,8
18,6318562796,0.4375,0.09412,8
19,6318562796,0.4375,0.09412,8
20,6318562796,0.4375,0.09412,8
21,6318562796,0.4375,0.09412,8
22,6318562796,0.4375,0.09412,8
23,6318562796,0.4375,0.09412,8
24,6318562796,0.4375,0.09412,8
25,6318562796,0.4375,0.09412,8
26,6318562796,0.4375,0.09412,8
27,6318562796,0.4375,0.09412,8
28,6318562796,0.4375,0.09412,8
29,6318562796,0.4375,0.09412,8
30,6318562796,0.4375,0.09412,8
31,6318562796,0.4375,0.09412,8
32,6318562796,0.4375,0.09412,8
33,6318562796,0.4375,0.09412,8
34,6318562796,0.4375,0.09412,8
0,6063710427,0.05627,0.9551,2
0,6378409430,0.2812,0.167,1
0,6433971105,0.2812,0.167,1
1,6433971105,0.2812,0.167,1
0,6463864418,0.2812,0.167,1
1,6463864418,0.2812,0.167,1
4,5307854452,0.2437,0.06213,1
11,6257748110,0.1875,0.09937,1
12,6257748110,0.1875,0.09937,1
13,6257748110,0.1875,0.09937,1
14,6257748110,0.1875,0.09937,1
15,6257748110,0.1875,0.09937,1
16,6257748110,0.1875,0.09937,1
17,6257748110,0.1875,0.09937,1
18,6257748110,0.1875,0.09937,1
19,6257748110,0.1875,0.09937,1
1184,6454369144,0.0625,0.03961,0
1185,6454369144,0.0625,0.03961,0
1186,6454369144,0.0625,0.03961,0
1187,6454369144,0.0625,0.03961,0
1188,6454369144,0.0625,0.03961,0
1189,6454369144,0.0625,0.03961,0
1190,6454369144,0.0625,0.03961,0
1191,6454369144,0.0625,0.03961,0
1192,6454369144,0.0625,0.03961,0
1193,6454369144,0.0625,0.03961,0
1194,6454369144,0.0625,0.03961,0
1195,6454369144,0.0625,0.03961,0
1196,6454369144,0.0625,0.03961,0
1197,6454369144,0.0625,0.03961,0
1198,6454369144,0.0625,0.03961,0
1199,6454369144,0.0625,0.03961,0
1200,6454369144,0.0625,0.03961,0
1201,6454369144,0.0625,0.03961,0
1202,6454369144,0.0625,0.03961,0
1203,6454369144,0.0625,0.03961,0
1204,6454369144,0.0625,0.03961,0
1205,6454369144,0.0625,0.03961,0
1206,6454369144,0.0625,0.03961,0
1207,6454369144,0.0625,0.03961,0
1208,6454369144,0.0625,0.03961,0
1209,6454369144,0.0625,0.03961,0
1210,6454369144,0.0625,0.03961,0
1211,6454369144,0.0625,0.03961,0
1212,6454369144,0.0625,0.03961,0
1213,6454369144,0.0625,0.03961,0
1214,6454369144,0.0625,0.03961,0
1215,6454369144,0.0625,0.03961,0
1216,6454369144,0.0625,0.03961,0
1217,6454369144,0.0625,0.03961,0
1218,6454369144,0.0625,0.03961,0
