hostId,cpuCapacity,freeCpu,memCapacity,freeMem
5,0.5,0.2868873,0.2493,0.057655
6,0.5,0.12817,0.2493,0.03354
7,0.5,0.065042,0.2493,0.016265
10,0.5,0.30188,0.2493,0.066395
13,0.5,0.22504,0.2493,0.025364
14,0.5,0.16434,0.2493,0.04866
19,0.5,0.092352,0.2493,0.026395
21,0.5,0.25001,0.2493,0.036251
23,0.5,0.25,0.2493,0.03527
25,0.5,0.10437,0.2493,0.0043
26,0.5,0.3118,0.2493,0.0489
27,0.5,0.275002,0.2493,0.060363
28,0.5,0.1344,0.2493,0.03225
36,0.5,0.21555,0.2493,0.03342
37,0.5,0.060022,0.2493,0.016075
38,0.5,0.13309,0.2493,0.02071
39,0.5,0.2468,0.2493,0.04163
41,0.5,0.125,0.2493,0.00441
43,0.5,0.2493853,0.2493,0.051528
45,0.5,0.20625,0.2493,0.02681
46,0.5,0.275002,0.2493,0.060363
49,0.5,0.25,0.2493,0.03527
52,0.5,0.15003,0.2493,0.02181
54,0.5,0.25,0.2493,0.03527
56,0.5,0.24377,0.2493,0.04019
60,0.5,0.10122,0.2493,0.0104
61,0.5,0.10124,0.2493,0.00651
62,0.5,0.21635,0.2493,0.03911
63,0.5,0.17316,0.2493,0.03573
67,0.5,0.28125,0.2493,0.04295
68,0.5,0.278143,0.2493,0.019622
72,0.5,0.125,0.2493,0.00441
73,0.5,0.16122,0.2493,0.02615
74,0.5,0.13627,0.2493,0.02655
75,0.5,0.060652,0.2493,0.023886
121306,0.5,0.0819,0.2493,0.01272
243096,0.5,0.2993793,0.2493,0.060059
381113,0.5,0.09574,0.4995,0.27245
381126,0.5,0.06262,0.4995,0.11039
381128,0.5,0.14813,0.4995,0.379913
381129,0.5,0.125,0.4995,0.330973
381133,0.5,0.046902,0.4995,0.038391
381139,0.5,0.084302,0.4995,0.075791
381227,0.5,0.032461,0.4995,0.065103
381233,0.5,0.21875,0.4995,0.0771
381234,0.5,0.125,0.4995,0.32555
381235,0.5,0.08614,0.4995,0.043264
381236,0.5,0.12686,0.4995,0.02268
381352,0.5,0.121882,0.4995,0.240279
381361,0.5,0.125,0.2493,0.00441
381364,0.5,0.132392,0.4995,0.071323
381365,0.5,0.125,0.4995,0.34626
381368,0.5,0.1274773,0.4995,0.285447
381369,0.5,0.1362,0.4995,0.25277
381370,0.5,0.11557,0.4995,0.378834
381371,0.5,0.0455,0.4995,0.04778
381374,0.5,0.061397,0.4995,0.133655
381378,0.5,0.0825053,0.4995,0.0465
381381,0.5,0.0551,0.4995,0.196076
381384,0.5,0.07624,0.4995,0.18596
381386,0.5,0.1217873,0.4995,0.257444
381389,0.5,0.099252,0.4995,0.204395
410692,0.5,0.06748,0.4995,0.172803
410695,0.5,0.10627,0.4995,0.077186
418535,0.5,0.05627,0.4995,0.05629
418536,0.5,0.118752,0.4995,0.312873
418547,0.5,0.03489,0.4995,0.085121
418548,0.5,0.10626,0.4995,0.314361
418549,0.5,0.12058,0.4995,0.32288
418551,0.5,0.09245,0.4995,0.20901
418552,0.5,0.13864,0.4995,0.07909
418559,0.5,0.10184,0.4995,0.26087
418560,0.5,0.125,0.4995,0.32632
418561,0.5,0.043685,0.4995,0.082575
418562,0.5,0.1125,0.4995,0.26873
418564,0.5,0.10116,0.4995,0.072872
418565,0.5,0.19235,0.4995,0.0185
418566,0.5,0.125,0.4995,0.376552
